"sim","min","5_percent","1_quart","mean","median","3_quart","95_percent","max","mae","rmse"
"1",-6.5,-3.1,-0.9,0,0.1,1,3,5.1,1.4,1.8
"2",-13,-7,-3.5,-1.9,-1.8,-0.3,2.5,8.5,2.7,3.6
"3",-12,-7.1,-3.6,-1.3,-1.5,0.7,5.8,11.6,3.2,4
"4",-12.1,-5.9,-2.2,-1.4,-0.9,0,1.7,5.9,1.9,2.8
