"sim","min","5_percent","1_quart","mean","median","3_quart","95_percent","max","mae","rmse"
"1",-6.5,-3.9,-1.3,0,-0.1,0.9,4.2,6.2,1.7,2.3
"2",-22.8,-9.5,-4.5,-2.6,-2,-0.4,3,10.2,3.5,4.7
"3",-14.8,-8.8,-5.3,-2.1,-2.2,0.4,5.9,17.9,4.1,5.1
"4",-17.4,-7.2,-2.6,-1.3,-0.6,0.3,2.3,5.6,2.1,3.2
