"sim","min","5_percent","1_quart","mean","median","3_quart","95_percent","max","mae","rmse"
"1",-6.4,-3.8,-1.3,0,-0.2,0.8,4.2,6.2,1.7,2.3
"2",-15.5,-7.7,-3.9,-2.1,-1.8,-0.1,2.8,7.2,3,4
"3",-12.4,-7.9,-4.4,-1.1,-1.3,1.6,7.3,17.9,3.9,5
"4",-9.7,-5.3,-1.8,-0.9,-0.4,0.5,2.3,4.9,1.8,2.6
