"";"afn_inf_sens";"int_conv_he";"conv_hge_walls";"conv_hge_floor";"conv_hge_roof";"conv_hge_fens";"afn_air_change";"temp_95";"uncomf_cold";"uncomf_hot";"comf";"hvac_total_ce"
"72";-44,3;51,3;52,7;40,5;18,2;-0,4;3,8;38;6,5;96,8;95,2;284,8
"73";-146,8;25,9;14,2;12,7;4,9;-2,2;2,7;25,3;0;0;17,7;0
"74";-120,4;32,4;29,4;16,1;8,2;-0,2;3,4;28,9;0;3,8;42,8;9,6
"75";-103,3;35,5;34,8;18,9;9,4;0,7;3,7;31,1;0,2;22,2;75,8;43,6
"76";-107,2;35,4;37,7;22;10,2;0,6;3,7;31,1;1,7;29,6;68,7;59,4
"77";-93,1;36,7;45,9;29,5;12;1,5;4;33,5;1,8;57,2;90,1;104,5
"78";-74,2;47,6;61,8;37,7;17,8;3,1;4,5;37,6;13,9;82,3;99,8;183,2
"79";-139,7;29,4;4,3;5,6;4,1;-5,6;2,4;25,6;0;6,9;3,2;8
"80";-110,4;34,8;16,6;11,7;7,5;-3,8;2,9;28,6;0;40,6;20;67,8
"81";-87,7;37,7;26;16,8;9,2;-3,1;3,2;31;0;58;41,9;117
"82";-91;38,4;26,1;19,8;9,8;-3,1;3,2;30,9;0,5;58,5;41;124,7
"83";-73,1;40,3;33,1;29,3;12;-2,3;3,4;33,1;0,3;80;58,8;173,7
"84";-51,7;51,2;52,2;40,5;18,2;-0,6;3,8;38;6,4;96,8;92,1;283,9
"85";-149,6;25,9;15,8;8;4,6;-4;2,6;25;0;0;17,2;0
"86";-120,7;32,4;30,8;15,3;8;-2,3;3,4;28,8;0;3,8;43,2;9,2
"87";-101,2;35,4;36,9;18,3;9,4;-1,5;3,7;31,2;0,2;22,4;75,7;43,6
"88";-105,9;35,4;39,7;21;10;-1,7;3,7;31,1;1,8;29,2;69;59,5
"89";-92,1;36,7;48,2;29,5;11,6;-1,1;4;33,4;1,8;56,8;91,1;103,5
"90";-68,9;47,7;66,2;38;17,9;-0,2;4,5;37,7;14,2;82,8;99,7;188,3
"91";-139,7;29,4;4,3;5,6;4,1;-5,6;2,4;25,6;0;6,9;3,2;8
"92";-110,4;34,8;16,6;11,7;7,5;-3,8;2,9;28,6;0;40,6;20;67,8
"93";-87,7;37,7;26;16,8;9,2;-3,1;3,2;31;0;58;41,9;117
"94";-91;38,4;26,1;19,8;9,8;-3,1;3,2;30,9;0,5;58,5;41;124,7
"95";-73,1;40,3;33,1;29,3;12;-2,3;3,4;33,1;0,3;80;58,8;173,7
"96";-51,7;51,2;52,2;40,5;18,2;-0,6;3,8;38;6,4;96,8;92,1;283,9
