"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp"
"60",51.3,44.8,20.3,64.6,-1,5.8,-45.6,3.8,97,6.8,97.3,42.7,22.3
"61",27.1,10.7,3.6,7.1,-6.7,2.3,-138.3,2.8,0.1,0,29.4,28.8,12.4
"62",33.1,15.4,8.1,27.7,-4.5,3.8,-105.9,4.1,1.3,0,48.8,32,15.6
"63",36.1,18.5,9.9,37.8,-3.7,4.9,-96.1,4.8,15.4,0.2,83.7,34.1,17
"64",36.1,20.8,10.8,38.4,-3.8,4.9,-97.7,5.2,24.6,1.9,73.6,34.1,17.2
"65",37.8,26.6,13.9,49.1,-3,5.8,-87.1,6.2,51.2,2.3,91.4,36.2,19.2
"66",47.8,35.5,18.4,66.8,-1.4,9.2,-70.8,8.9,70.6,14.8,99.6,40.4,21.1
"67",28.9,9.9,5.6,11,-6.5,1.4,-144,2.3,9.7,0,3.5,29.5,13.4
"68",34.9,15.2,8.7,22.7,-4.8,2.1,-109.2,2.9,36.6,0,19.6,32.5,15.6
"69",37.5,19.6,10.9,32.6,-4.3,3,-95.8,3.1,57.9,0,42,34.8,17.4
"70",38.2,21.1,11.4,31,-4.3,2.9,-95.2,3.1,57.8,0.4,41.8,35,17.6
"71",40.1,26.9,14.4,38.7,-3.7,3.5,-78.1,3.3,80.4,0.2,62.2,37.3,19.9
"72",50.9,36.1,18.7,52.2,-2.7,4.8,-56.4,3.8,96.5,5.6,88,42.8,22
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
