"","simp","min","5_percent","1_quart","mean","median","3_quart","95_percent","max","mae","rmse"
"1",1,-4.3,-2.7,-1.1,-0.3,-0.3,0.2,2.1,4.2,1,1.4
"2",2,-3.8,-2.7,-1.3,-0.2,-0.3,0.6,2.8,6.8,1.2,1.6
"3",3,-5.2,-4.2,-1.4,-0.5,-0.4,0.4,2.5,4.9,1.3,1.8
"4",4,-20.5,-12.8,-4,-1.9,-1.5,0.3,7.5,13.9,4,5.7
"5",8,-9.6,-5.6,-1.9,0.8,0,1.9,9.4,15.1,3.1,4.4
