"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp"
"1",26.4,12.2,2.5,12.2,-7.2,1.6,-133.8,2.6,0,0,21.8,27.5,11.5
"2",32.7,17.5,7.1,31.4,-5.4,2.1,-113.9,3.3,1.9,0,41.5,32.1,15.5
"3",35.6,20.8,8.6,36.1,-4.6,2.6,-102.9,3.6,19.6,0,79,34.8,17.4
"4",35.5,22.4,9.6,37.4,-4.8,2.5,-103.9,3.6,28.7,1.7,69.7,34.7,17.4
"5",36.6,27.2,12.9,44.2,-4.1,2.9,-93,3.9,58.5,1.8,91.1,37,19.3
"6",47.6,35.6,17.7,57.1,-2.7,4,-77.2,4.3,78.2,15.6,100,42.1,21
"7",29.7,7.8,4.1,3.6,-8.2,1.6,-122.9,2.4,5.9,0,4,28.8,12.6
"8",35.4,12,6.2,13.8,-6.4,2.6,-94.1,2.9,35.6,0,16.8,32.4,15.3
"9",38.4,16.4,9,20.7,-5.8,3.3,-83.4,3,56.8,0,43.2,35,17.6
"10",38.7,18.6,9.5,20.8,-5.8,3.4,-84.5,3,57.1,0.4,42.5,35,18
"11",40.2,25.2,12.4,27.7,-5.2,4.1,-72,3.2,83.2,0.2,62.9,37.4,20.6
"12",51.2,37.7,18.3,43.5,-3.6,5.9,-55.2,3.6,96,5.4,93.8,42.7,23.5
"13",26.3,12,2.4,11.3,-7.3,1.5,-139.7,2.5,0,0,19.3,27.7,11.4
"14",32.6,16.9,6.8,29,-5.3,2,-115.8,3.3,2.3,0,43.5,32.3,15.2
"15",35.6,20.2,8.2,34.1,-4.7,2.7,-103.2,3.6,19.2,0.1,79.5,35,17.1
"16",35.5,22.3,9.6,37.1,-4.8,2.6,-103.6,3.6,28.8,1.8,69.4,35,17.2
"17",36.6,28,13.2,45.8,-4.1,3,-89.1,3.9,56.5,2,90.7,37.2,19.3
"18",47.6,36.5,18.1,62.1,-2.9,4.2,-73.2,4.3,80.7,16,100,42.2,21
"19",29.6,6.7,3.6,2.5,-8.4,0.9,-128.5,2.3,6.1,0,3.9,29.1,12.3
"20",35.1,11.7,6.2,15.3,-6.5,1.5,-99.4,2.8,37.5,0,17.6,32.7,14.6
"21",38.3,16.5,9.3,23.3,-5.8,2.3,-87.2,3.1,57.6,0,42.2,35.5,17.5
"22",38.6,19,9.7,23.7,-5.9,2.3,-86.2,3.1,57.7,0.5,41.8,35.5,17.7
"23",40.3,26.6,13.2,31.2,-5.1,2.9,-70.3,3.3,82.4,0.3,61.2,38.1,20.3
"24",51.1,39.3,19.1,49.2,-3.8,4.4,-52.3,3.7,96.1,6.3,93.2,43.1,23.4
"25",26.1,11.9,2.5,12.6,-7.3,1.7,-143.3,2.6,0,0,19.3,27.1,11.2
"26",32.7,17.7,7.4,32.3,-5.3,2.1,-110.2,3.3,2.5,0,40.7,31.9,14.5
"27",35.5,20.7,9.5,36.9,-4.6,2.5,-103,3.7,20.9,0.1,77.6,34.8,17.2
"28",35.5,22.3,9.6,38,-4.7,2.6,-104.4,3.6,28.8,1.7,69.5,34.6,17.1
"29",36.6,26.8,11.1,43.3,-4,2.9,-94,3.9,59.3,2,90.3,37,19.4
"30",47.6,37.1,17.4,60.7,-2.5,4.4,-77.7,4.3,80.7,16.3,99.9,42.6,21.3
"31",29.5,7.9,4.6,4.6,-8.7,1.7,-129.2,2.4,5.5,0,3.2,28.3,12
"32",35.2,11.5,6.6,14.5,-6.3,2.7,-95.2,2.9,37,0,15.9,32.2,15.5
"33",38.2,16.3,8.4,20.6,-5.6,3.4,-82.2,3,55,0,45,35,18.3
"34",38.7,19,8.8,21,-5.8,3.4,-84.5,3,56.8,0.6,42.6,34.9,18
"35",40.2,26.5,10.2,25.6,-5,4,-70.9,3.2,84.1,0.3,62.7,37.4,20
"36",51.2,39.2,17.6,45,-3.4,6,-56.2,3.6,96.8,6.6,94.4,43.5,23.7
"37",25.9,11.6,2.5,11.9,-7.3,1.6,-145.3,2.5,0,0,17.5,27.4,11.1
"38",32.5,17,7.4,30,-5.3,2.1,-111.8,3.3,2.7,0,42.6,32.2,14.5
"39",35.5,20.4,9.1,35,-4.7,2.6,-103.2,3.6,19.9,0.2,78,35,16.8
"40",35.5,22.2,9.5,37.7,-4.7,2.6,-103.9,3.6,28.8,1.8,69.4,34.8,17
"41",36.6,27,11.2,44.8,-4.1,3,-91.3,3.9,57.4,2.1,90.6,37.4,19.3
"42",47.6,37.8,17.8,64.3,-2.6,4.5,-74.6,4.4,82.5,16.5,99.9,42.6,21.1
"43",29.3,7.4,4.4,3.5,-8.8,0.9,-134.9,2.3,6.2,0,3.2,28.7,11.8
"44",34.9,11.3,6.6,16,-6.4,1.6,-99.4,2.9,38.1,0,17.5,32.8,14.6
"45",38.2,16.1,8.5,23,-5.7,2.2,-82.8,3.1,55.2,0,44.8,35.3,17.8
"46",38.6,19.3,8.9,23.9,-5.8,2.3,-86.1,3,57.4,0.6,42,35.4,17.7
"47",40.3,27.9,10.4,30.5,-5,2.8,-70.8,3.2,82.5,0.4,61,38.1,19.8
"48",51.1,40.7,18.3,50.5,-3.5,4.5,-53.3,3.7,96.8,6.9,93.5,43.7,23.6
"49",25.9,8.6,2.6,12,-7.3,1.2,-145.2,2.5,0,0,17.5,26.9,11.1
"50",32.5,14.4,6.8,27.1,-5.2,2,-112.5,3.2,2.7,0,45.2,32.5,14.4
"51",35.5,18.4,8.5,34.5,-4.5,2.6,-101.3,3.6,19.9,0.3,78.2,35,16.6
"52",35.6,20.3,9.2,36.6,-4.6,2.6,-100.6,3.5,28.1,2.1,69.8,34.9,16.8
"53",36.8,27.3,11.3,45,-3.8,3.1,-84.8,3.8,54.8,2.4,91.3,37.6,19.2
"54",47.8,37.9,17.8,64.1,-2.2,4.7,-64.8,4.4,82.5,16.9,99.7,42.6,21.3
"55",29.3,2.2,2.9,3.1,-8.8,0.7,-135.1,2.2,3.2,0,3.2,28.3,11.7
"56",34.9,9.6,6.4,14,-6.3,1.5,-99.3,2.8,34.9,0,20.9,32.8,14.5
"57",38.2,16.2,8.4,22.9,-5.6,2.2,-83,3,54.6,0,45.3,35.2,17.2
"58",38.7,18,8.6,23.4,-5.6,2.2,-84.2,3,55.9,0.7,43.4,35.4,17.5
"59",40.7,28,10.4,30.4,-4.7,2.8,-66.4,3.3,79.1,0.5,63.2,38.1,19.9
"60",51.4,40.7,18.3,50.6,-3.4,4.5,-44.9,3.7,96.8,6.9,94.6,43.7,23.6
"61",25.9,7.5,4.4,12.9,-6.8,2.2,-147.9,2.5,0,0,17.2,26.9,11.7
"62",32.4,14.6,7.6,28.1,-4.9,3.8,-120.7,3.4,3.6,0,44.5,32.6,14.9
"63",35.5,18.3,9.4,34,-4.3,4.8,-101.8,3.7,22,0.3,76.4,35.5,16.7
"64",35.5,20.6,9.9,36.6,-4.4,4.9,-104.5,3.6,28.8,1.9,69.3,35.1,17
"65",36.8,29.5,11.8,45.5,-3.7,5.9,-88.4,3.9,55.5,2.1,91.2,37.8,19.2
"66",47.8,37.7,17.8,61.9,-2.2,8.6,-63.9,4.5,82.8,14.6,99.7,43.2,21.3
"67",29.4,2.1,2.9,2.6,-8.5,0.6,-138.8,2.2,2.8,0,3.2,28.1,12.4
"68",34.9,9.5,7.3,14.3,-6,1.5,-109.3,2.9,36,0,20.4,32.9,15.2
"69",38.1,16.3,9.1,25.4,-5.3,2.4,-85,3.1,54.9,0,44.7,35.8,17.4
"70",38.6,18.6,9.4,25.2,-5.4,2.4,-88.3,3.1,56.8,0.6,42.6,35.8,17.7
"71",40.4,29.3,11.9,32.8,-4.7,3.2,-71.1,3.4,79.6,0.4,60.7,38.6,20.2
"72",51.3,40.5,18.2,52.7,-3.4,5.2,-44.3,3.8,96.8,6.5,95.2,45,23.6
