"Model","Sample","RMSE","R²","MAE"
"LM","Test",13.59320743838,0.382406823479729,10.2796456455334
"GBRT","Train",4.02908055314478,0.942212107176605,2.51417361601608
"GBRT","Test",3.16248207832825,0.96804068966721,1.94595069108169
"QRF","Train",3.05745950718457,0.965837974272907,1.61903512821153
"QRF","Test",0.253242263330284,0.999787148631746,0.0356345171939431
"SVM","Train",3.72625758623094,0.949254853916355,2.31794536568582
"SVM","Test",2.71873631963677,0.975310972817234,1.5103740072128
"BRNN","Train",6.98118545498146,0.821862863036416,5.26427917285048
"BRNN","Test",6.39819487946837,0.863367095619115,4.74657418514184
