"sim","min","5_percent","1_quart","mean","median","3_quart","95_percent","max","mae","rmse"
"01",-4.3,-1.8,-0.6,0.1,0,0.9,2.4,4.9,1,1.4
"02",-8.6,-4.6,-2.3,-1.1,-1.1,0.4,2.3,4.7,1.8,2.3
"03",-12.7,-7.4,-4.5,-2,-2.5,0.9,3.7,5.7,3.4,4.1
"04",-6.9,-3.9,-1.8,-0.9,-0.7,0,1.5,3.4,1.4,1.9
