"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
54,-55.9,-0.2,2.4,-5.3,-2.4,0,1.3,2.5,-8.8,-3.5,0.7,2.2,27.3,14.5,0,23,77,0,"linear","ref",1,"corner","ne","dorm1","curitiba"
57.5,-70.2,-0.2,5.3,4.2,2.3,0.8,3.5,11.2,0.8,-3.5,1.1,2.6,26.5,15.6,0,9,91,0,"linear","ref",1,"corner","ne","dorm2","curitiba"
40.5,-40.2,-1.2,2.8,1.5,0,1.4,1.9,6.6,-1.8,-2.8,0.6,2.4,26.2,15.7,0.2,2.1,97.7,0,"linear","ref",1,"corner","ne","liv","curitiba"
54,-56.5,-0.1,2,-5.6,1.1,-0.1,-5.5,2.3,-12.2,-3.5,0.6,2.2,27.4,14.5,0,23,77,0,"linear","ref",1,"corner","nw","dorm1","curitiba"
57.5,-70.6,-0.4,5.3,4,3.7,0.7,2.1,10.6,-0.1,-3.6,1.1,2.6,26.5,15.6,0,9.1,90.9,0,"linear","ref",1,"corner","nw","dorm2","curitiba"
40.3,-34.6,-1.6,2.4,1,1.6,1.1,-0.9,5.4,-2.6,-3,0.4,1.8,26.2,15.7,0.2,2.1,97.7,0,"linear","ref",1,"corner","nw","liv","curitiba"
54.1,-50.3,0.7,-0.8,-7,-2.1,-2.8,-0.7,0.1,-12.7,-4.4,0.4,2,27.2,14.4,0,26.9,73.1,0,"linear","ref",1,"corner","se","dorm1","curitiba"
57.6,-61.4,0.8,1.3,-6.6,-0.1,3,1.1,6.1,-8.6,-4.5,0.7,2.4,26.1,15.5,0,15.8,84.2,0,"linear","ref",1,"corner","se","dorm2","curitiba"
40.7,-34.2,0.1,1.9,-0.7,0.1,3.3,0.8,5.5,-2.2,-2.9,0.3,2,26.2,15.7,0.1,3.2,96.7,0,"linear","ref",1,"corner","se","liv","curitiba"
54.1,-50.9,1.1,-1.3,-6.9,-0.8,-3.2,-5,0,-15.8,-4.3,0.4,2.1,27.4,14.4,0,26.7,73.3,0,"linear","ref",1,"corner","sw","dorm1","curitiba"
57.6,-61.8,0.8,1.3,-6.5,1.3,2.8,-0.3,5.6,-8.3,-4.5,0.7,2.4,26,15.5,0,15.9,84.1,0,"linear","ref",1,"corner","sw","dorm2","curitiba"
40.6,-30.3,0.1,1.5,-0.9,0.6,3.1,-0.8,4.9,-2.9,-3,0.2,1.6,26.2,15.7,0.1,3.3,96.7,0,"linear","ref",1,"corner","sw","liv","curitiba"
44.2,-46.7,0.2,0.9,-14,2.7,1,-2,-12.1,-0.2,-2.9,0.4,1.8,25.8,15.3,0,16.4,83.6,0,"linear","ref",1,"middle","ne","dorm1","curitiba"
56.6,-67.3,-0.5,5.1,3.5,3.9,0.5,1.9,9.3,0.5,-3.6,1,2.5,26.6,15.5,0,9.6,90.4,0,"linear","ref",1,"middle","ne","dorm2","curitiba"
44.2,-34.3,-1.2,3.4,-2.2,1.8,0.9,0.7,1.2,0,-3,0.3,1.5,26.2,15.7,0.2,2,97.8,0,"linear","ref",1,"middle","ne","liv","curitiba"
44.2,-46.5,0.2,0.9,-14,-2,1,2.7,-12.1,-0.2,-2.9,0.4,1.8,25.8,15.3,0,16.5,83.5,0,"linear","ref",1,"middle","nw","dorm1","curitiba"
56.6,-66.9,-0.5,5.1,3.5,1.9,0.5,3.9,9.3,0.5,-3.6,1,2.5,26.6,15.5,0,9.6,90.4,0,"linear","ref",1,"middle","nw","dorm2","curitiba"
44.2,-33.8,-1.1,3.4,-2.2,0.6,0.9,1.8,1.1,0,-3,0.3,1.5,26.2,15.7,0.2,2,97.9,0,"linear","ref",1,"middle","nw","liv","curitiba"
44.3,-37.7,2.8,-2.2,-5.6,1.1,-13.6,-0.9,-12.9,-6.1,-3.7,-0.3,1.6,25.2,15,0,25.7,74.3,0,"linear","ref",1,"middle","se","dorm1","curitiba"
56.7,-54.3,1.8,0.6,-9.2,2.1,1.4,0,3.5,-9.2,-4.3,0.5,2.2,25.6,15.4,0,20.1,79.9,0,"linear","ref",1,"middle","se","dorm2","curitiba"
44.8,-25.5,1.2,0.5,-3.6,1.8,-1.4,-0.2,0.6,-4,-3.6,0,1.2,25.6,15.6,0,6.3,93.7,0,"linear","ref",1,"middle","se","liv","curitiba"
44.3,-38,2.6,-2.2,-5.7,-1,-13.7,1,-13.1,-6.2,-3.8,-0.3,1.6,25.2,15,0,25.7,74.3,0,"linear","ref",1,"middle","sw","dorm1","curitiba"
56.7,-54.2,1.8,0.6,-9.1,0,1.5,2.1,3.6,-9.1,-4.3,0.5,2.2,25.6,15.4,0,20.1,79.9,0,"linear","ref",1,"middle","sw","dorm2","curitiba"
44.8,-25.4,1.2,0.5,-3.6,-0.2,-1.4,1.7,0.5,-3.9,-3.6,0,1.2,25.6,15.5,0,6.6,93.4,0,"linear","ref",1,"middle","sw","liv","curitiba"
53.6,-65,7,1.8,-5.5,-4.2,-1.5,1.9,3.6,-12.8,-3.8,0.9,2.3,28.3,13.6,0,22.5,77.5,0,"linear","ref",2,"corner","ne","dorm1","curitiba"
57.1,-82.3,10.2,5.4,5.9,3.3,-0.5,5.1,15.8,-0.5,-3.8,1.6,2.7,27.4,14.8,0,9.4,90.6,0,"linear","ref",2,"corner","ne","dorm2","curitiba"
40.3,-50.1,6.9,3.1,2.8,0.6,2.1,3,10.7,-2.2,-3,1,3.2,27.4,14.9,2.8,3.4,93.8,0,"linear","ref",2,"corner","ne","liv","curitiba"
53.6,-65.8,6.2,1.3,-5.9,1.6,-1.7,-7.2,3.1,-16.3,-3.8,0.8,2.3,28.4,13.5,0,22.5,77.5,0,"linear","ref",2,"corner","nw","dorm1","curitiba"
57,-83.4,9.9,5.4,5.7,5.2,-0.6,3,15,-1.8,-3.9,1.5,2.8,27.4,14.8,0,9.5,90.5,0,"linear","ref",2,"corner","nw","dorm2","curitiba"
40,-41.5,5.8,2.5,2,2.5,1.6,-0.4,8.7,-3,-3.2,0.8,2.3,27.3,14.9,2.4,3.4,94.1,0,"linear","ref",2,"corner","nw","liv","curitiba"
53.8,-55.7,3.5,-1.3,-7.5,-3.5,-3.1,-0.6,0.6,-15.2,-4.5,0.6,2.1,28.4,13.4,0,27.5,72.5,0,"linear","ref",2,"corner","se","dorm1","curitiba"
57.3,-68.4,4.9,1.3,-6.8,0.3,4.2,2.3,9,-9,-4.7,1,2.5,27.3,14.6,0,17.4,82.6,0,"linear","ref",2,"corner","se","dorm2","curitiba"
40.6,-41.7,6,2.3,-0.1,0.5,5.2,1.4,9.3,-2.3,-3,0.7,2.7,27.4,14.8,1.6,5.4,93,0,"linear","ref",2,"corner","se","liv","curitiba"
53.8,-56.5,2.9,-1.8,-7.5,-0.8,-3.5,-6.2,0.3,-18.3,-4.5,0.5,2.1,28.4,13.4,0,27.4,72.6,0,"linear","ref",2,"corner","sw","dorm1","curitiba"
57.3,-69,4.7,1.3,-6.9,2.4,3.9,0,8.2,-8.8,-4.7,1,2.5,27.1,14.6,0,17.6,82.4,0,"linear","ref",2,"corner","sw","dorm2","curitiba"
40.4,-35.1,5.2,1.8,-0.5,1.1,4.8,-0.4,8,-3,-3.1,0.5,2,27.3,14.8,1.4,5.7,92.9,0,"linear","ref",2,"corner","sw","liv","curitiba"
43.9,-53.6,4,0.4,-15.1,3.5,0,-3,-13,-1.6,-3.1,0.6,1.9,26.5,14.3,0,17.4,82.6,0,"linear","ref",2,"middle","ne","dorm1","curitiba"
