"sim","min","5_percent","1_quart","mean","median","3_quart","95_percent","max","mae","rmse"
"01",-6.5,-3.9,-1.2,0,-0.1,0.9,4.1,5.9,1.7,2.3
"02",-22.8,-9.9,-4.8,-2.8,-2.1,-0.6,3.1,10.2,3.7,5.1
"03",-14.5,-9,-5.8,-3.4,-3.4,-1.3,2.4,8.8,4.1,5
"04",-18.4,-7.4,-3.4,-2.3,-1.6,-0.6,1,6.3,2.7,3.8
