"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.3,1,0,0.6,1,0.5,50,11.5065851553445,0.529599316132472,9.16510365838715,0.0325895700534127,0.00816073123775385,0.0196269632839331
0.3,1,0,0.6,1,0.625,50,11.5459384925557,0.528865195386903,9.18384065242253,0.0376606498172871,0.00853692532670891,0.02287738150158
0.3,1,0,0.6,1,0.75,50,11.5508930427064,0.531161344059127,9.20029261175334,0.00362114191491585,0.0022912172629678,0.014044656200929
0.3,1,0,0.6,1,0.875,50,11.5295592148756,0.530835400231471,9.1908647277733,0.0737821155449428,0.0107264965448884,0.0700246185290435
0.3,1,0,0.6,1,1,50,11.5351157242307,0.528990666005205,9.17408161867436,0.068488618891927,0.00663663348493825,0.0411889859091788
0.3,1,0,0.8,1,0.5,50,11.4884987288761,0.528706252082733,9.15146565785762,0.0385357178480311,0.00188737782448708,0.030580158958776
0.3,1,0,0.8,1,0.625,50,11.5028423034292,0.532992660422675,9.15654132468455,0.0177508674779204,0.00463940973866285,0.028650958143694
0.3,1,0,0.8,1,0.75,50,11.5174633602945,0.5386305652591,9.1751965164266,0.0283835832960252,0.00606782418307623,0.0174773041383036
0.3,1,0,0.8,1,0.875,50,11.5003623387962,0.533544539156661,9.15962875810776,0.0321814112046249,0.00539276550410371,0.0288808913757972
0.3,1,0,0.8,1,1,50,11.5107563148706,0.529675800692603,9.16225278898842,0.0509987823198408,0.00553179318791834,0.044390179227149
0.4,1,0,0.6,1,0.5,50,11.0224138156289,0.561243809790275,8.74095502937489,0.0210680983291233,0.0033504181696653,0.00354486374233206
0.4,1,0,0.6,1,0.625,50,11.0190755622373,0.561386869759636,8.7608305021426,0.174765199089465,0.0143963536125474,0.13673256181376
0.4,1,0,0.6,1,0.75,50,10.9727027451992,0.562033471037125,8.68795604332276,0.0290643820653805,0.00258921947033132,0.0323754952025457
0.4,1,0,0.6,1,0.875,50,10.9542484027119,0.564539681243529,8.68291994883302,0.0572731119926865,0.0107361482007106,0.0305855679665396
0.4,1,0,0.6,1,1,50,11.0062359426278,0.555524206461781,8.73014053183403,0.0207626199247849,0.00232750194985328,0.022730568690443
0.4,1,0,0.8,1,0.5,50,10.9323582291655,0.562977600868038,8.66379073460972,0.0367447515915347,0.004587949514237,0.0215157060872166
0.4,1,0,0.8,1,0.625,50,10.9596905515347,0.565420383591955,8.68717765678301,0.0817814295978413,0.01340723379319,0.0624453358755328
0.4,1,0,0.8,1,0.75,50,10.9261189648665,0.567884091392852,8.65968515347064,0.0479773974608631,0.00685397806657815,0.0248507559711025
0.4,1,0,0.8,1,0.875,50,10.934945508686,0.564321363946044,8.67483664968196,0.0525030190197049,0.00170278890967502,0.0440594757024409
0.4,1,0,0.8,1,1,50,10.955130682392,0.563853140872763,8.68167675609086,0.06631215069742,0.0100947915323977,0.0341412816419457
0.3,2,0,0.6,1,0.5,50,8.82292661557972,0.70219809637318,6.85434589017055,0.462769246681356,0.0296616810857212,0.346265966731342
0.3,2,0,0.6,1,0.625,50,8.75305503680552,0.707995158277658,6.82456299311608,0.0991898430475702,0.0060254735451497,0.113544646438457
0.3,2,0,0.6,1,0.75,50,8.73497802058748,0.708389709338691,6.79937531401757,0.0336667335861732,0.00442798591888664,0.0122676752113607
0.3,2,0,0.6,1,0.875,50,8.63614443054012,0.717379619712009,6.72024006053877,0.0913359346718885,0.00703370601563843,0.0498973600681469
0.3,2,0,0.6,1,1,50,8.71520223618301,0.711705914301903,6.77367908993322,0.123443769147542,0.00951533984101049,0.0526953791186052
0.3,2,0,0.8,1,0.5,50,8.64021587380692,0.713737126718406,6.71187870407541,0.170215149043151,0.0129619692472212,0.0913833393208949
0.3,2,0,0.8,1,0.625,50,8.56715835734317,0.721155314794747,6.65073182081018,0.0708672704030548,0.00400896086750491,0.0279798245984406
0.3,2,0,0.8,1,0.75,50,8.61929671292117,0.716737595877986,6.69386435874907,0.0403667470394447,0.00107250023732381,0.0597035191441702
0.3,2,0,0.8,1,0.875,50,8.60610132726821,0.71744734814351,6.6887135110581,0.0431382649166334,0.00225931247061095,0.0165881032841045
0.3,2,0,0.8,1,1,50,8.51633406532669,0.726809408831538,6.6219669067988,0.00660570131371968,0.000666842138638704,0.0160002005614163
0.4,2,0,0.6,1,0.5,50,8.50011823980683,0.715891694928213,6.59041424523922,0.150785655656318,0.0110032690113674,0.0936295701616848
0.4,2,0,0.6,1,0.625,50,8.42043110778225,0.721134367326903,6.49965952646996,0.0860059362641874,0.00815362407820783,0.0534513612062604
0.4,2,0,0.6,1,0.75,50,8.41657254784837,0.7233707413852,6.51784860182044,0.211299565368539,0.0131307286269584,0.130524930069838
0.4,2,0,0.6,1,0.875,50,8.43023454615175,0.72204066718346,6.53400371567369,0.143104363655898,0.0112792103839455,0.117357674319557
0.4,2,0,0.6,1,1,50,8.45604103892463,0.719271701416254,6.52847441732082,0.261202192243096,0.0172687419628497,0.198681043052975
0.4,2,0,0.8,1,0.5,50,8.21042106381137,0.73599680304981,6.3565586051533,0.00221309089662233,0.00187879661216088,0.00812259973899068
0.4,2,0,0.8,1,0.625,50,8.24092591222505,0.733630750753178,6.40610758083145,0.0949271702227725,0.00799771974448287,0.135294443777358
0.4,2,0,0.8,1,0.75,50,8.22916934290116,0.734561142664329,6.36685583716561,0.022751478235091,0.0039838458575356,0.0621070337524286
0.4,2,0,0.8,1,0.875,50,8.24704821348764,0.733040642845732,6.4082519084937,0.0387817323201308,0.00289357167554428,0.0392414305216194
0.4,2,0,0.8,1,1,50,8.18842871826276,0.737454157963595,6.34605999233611,0.131921646353723,0.00816817375348268,0.0794550488698866
0.3,3,0,0.6,1,0.5,50,7.58765792091559,0.774787177356932,5.86596242078848,0.0510333354109751,0.00490170977758081,0.0548612695723414
0.3,3,0,0.6,1,0.625,50,7.58281616956611,0.775673083581244,5.86402003571468,0.0272564224254693,0.000431796836660438,0.025541593621863
0.3,3,0,0.6,1,0.75,50,7.7499046447712,0.76581283902666,5.98582465573434,0.207883943128547,0.01162062629555,0.130761204159304
0.3,3,0,0.6,1,0.875,50,7.57124162565687,0.77740592931285,5.87364532637894,0.0177360407304792,0.000520069377941853,0.0103080563332764
0.3,3,0,0.6,1,1,50,7.61693504489984,0.773960203901527,5.90850020428038,0.0737351773778531,0.00428488934995841,0.0268916298088695
