"set","seed","area","ratio","height","storey","azimuth","shell_wall","shell_roof","abs_wall","abs_roof","wwr_liv","wwr_dorm","u_window","shgc","open_factor","epw","phft"
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,68.2016742770167
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,61.7671232876712
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,55.0315829528158
"train",2,39.665625,1.2789453125,3.183828125,1,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,67.4353120243531
"train",2,39.665625,1.2789453125,3.183828125,2,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,56.1362252663623
"train",2,39.665625,1.2789453125,3.183828125,3,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,49.3588280060883
"train",1,117.421875,1.2789453125,3.183828125,1,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,71.1012176560122
"train",1,117.421875,1.2789453125,3.183828125,2,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,62.7077625570776
"train",1,117.421875,1.2789453125,3.183828125,3,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,54.5015220700152
"train",1,39.665625,1.0077734375,3.183828125,1,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,69.1423135464231
"train",1,39.665625,1.0077734375,3.183828125,2,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,62.5319634703196
"train",1,39.665625,1.0077734375,3.183828125,3,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,55.4490106544901
"train",1,39.665625,1.2789453125,3.510859375,1,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,70.5734398782344
"train",1,39.665625,1.2789453125,3.510859375,2,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,65.2754946727549
"train",1,39.665625,1.2789453125,3.510859375,3,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,57.5951293759513
"train",1,39.665625,1.2789453125,3.183828125,1,264.459375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,73.1700913242009
"train",1,39.665625,1.2789453125,3.183828125,2,264.459375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,70.4326484018265
"train",1,39.665625,1.2789453125,3.183828125,3,264.459375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,64.3797564687976
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,4,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,54.8508371385084
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,4,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,52.6232876712329
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,4,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,50.9733637747336
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,7,3,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,69.4657534246575
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,7,3,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,65.6133942161339
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,7,3,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,62.6316590563166
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,7,1,0.780921875,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,67.6259512937595
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,7,1,0.780921875,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,61.2237442922374
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,7,1,0.780921875,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,54.7469558599696
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,7,1,0.749234375,0.524984375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,68.0224505327245
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,7,1,0.749234375,0.524984375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,61.2758751902588
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,7,1,0.749234375,0.524984375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,54.1906392694064
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,7,1,0.749234375,0.500609375,0.5604296875,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,76.310502283105
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,7,1,0.749234375,0.500609375,0.5604296875,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,73.0745814307458
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,7,1,0.749234375,0.500609375,0.5604296875,0.1978515625,3.5107265625,0.31592578125,0.5895703125,60,65.7979452054795
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.7964609375,3.5107265625,0.31592578125,0.5895703125,60,78.5624048706241
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.7964609375,3.5107265625,0.31592578125,0.5895703125,60,75.0719178082192
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.7964609375,3.5107265625,0.31592578125,0.5895703125,60,69.2332572298326
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,2.8627578125,0.31592578125,0.5895703125,60,68.1468797564688
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,2.8627578125,0.31592578125,0.5895703125,60,61.6541095890411
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,2.8627578125,0.31592578125,0.5895703125,60,54.9079147640791
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.86913671875,0.5895703125,60,52.2834855403349
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.86913671875,0.5895703125,60,49.5772450532724
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.86913671875,0.5895703125,60,47.5110350076103
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.4209765625,60,58.7260273972603
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.4209765625,60,53.6879756468798
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.4209765625,60,49.5483257229833
"train",1,39.665625,1.2789453125,3.183828125,1,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,141,80.0821917808219
"train",1,39.665625,1.2789453125,3.183828125,2,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,141,76.0848554033486
"train",1,39.665625,1.2789453125,3.183828125,3,97.734375,7,1,0.749234375,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,141,70.1248097412481
"train",1,117.421875,1.0077734375,3.510859375,1,264.459375,4,3,0.780921875,0.524984375,0.5604296875,0.7964609375,2.8627578125,0.86913671875,0.4209765625,141,69.0102739726027
"train",1,117.421875,1.0077734375,3.510859375,2,264.459375,4,3,0.780921875,0.524984375,0.5604296875,0.7964609375,2.8627578125,0.86913671875,0.4209765625,141,67.089802130898
"train",1,117.421875,1.0077734375,3.510859375,3,264.459375,4,3,0.780921875,0.524984375,0.5604296875,0.7964609375,2.8627578125,0.86913671875,0.4209765625,141,66.027397260274
"train",2,39.665625,1.0077734375,3.510859375,1,264.459375,4,3,0.780921875,0.524984375,0.5604296875,0.7964609375,2.8627578125,0.86913671875,0.4209765625,141,67.4345509893455
