"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95"
"65",36.8,29.5,11.8,45.5,-3.7,5.9,-88.4,3.9,55.5,2.1,91.2,37.8,33.5
"66",47.8,37.7,17.8,61.9,-2.2,8.6,-63.9,4.5,82.8,14.6,99.7,43.2,37.6
"67",29.4,2.1,2.9,2.6,-8.5,0.6,-138.8,2.2,2.8,0,3.2,28.1,25
"68",34.9,9.5,7.3,14.3,-6,1.5,-109.3,2.9,36,0,20.4,32.9,28.5
"69",38.1,16.3,9.1,25.4,-5.3,2.4,-85,3.1,54.9,0,44.7,35.8,30.9
"70",38.6,18.6,9.4,25.2,-5.4,2.4,-88.3,3.1,56.8,0.6,42.6,35.8,30.8
"71",40.4,29.3,11.9,32.8,-4.7,3.2,-71.1,3.4,79.6,0.4,60.7,38.6,33.1
"72",51.3,40.5,18.2,52.7,-3.4,5.2,-44.3,3.8,96.8,6.5,95.2,45,38
"73",25.9,12.7,4.9,14.2,-6.8,2.7,-146.8,2.7,0,0,17.7,27.6,25.3
"74",32.4,16.1,8.2,29.4,-4.9,4.1,-120.4,3.4,3.8,0,42.7,32.6,28.9
"75",35.5,18.9,9.4,34.8,-4.3,5,-103.3,3.7,22.2,0.2,75.8,35.4,31.1
"76",35.4,22,10.2,37.7,-4.5,5.1,-107.2,3.7,29.6,1.7,68.7,35.1,31.1
"77",36.7,29.5,12,45.9,-3.9,5.9,-93.1,4,57.3,1.8,90.1,37.7,33.5
"78",47.6,37.7,17.8,61.8,-2.7,8.2,-74.2,4.5,82.3,13.9,99.8,43.3,37.6
"79",29.4,5.6,4.1,4.3,-8.6,1,-139.7,2.4,6.9,0,3.2,29,25.6
"80",34.8,11.7,7.5,16.6,-6.2,1.8,-110.4,2.9,40.6,0,20,33,28.6
"81",37.7,16.8,9.2,26,-5.6,2.5,-87.7,3.2,58,0,41.9,35.8,31
"82",38.4,19.8,9.8,26.1,-5.7,2.5,-91,3.2,58.5,0.5,41,35.9,30.9
"83",40.3,29.3,12,33.1,-5,3.2,-73.1,3.4,80,0.3,58.8,38.7,33.1
"84",51.2,40.5,18.2,52.2,-4,5,-51.7,3.8,96.8,6.4,92.1,44.9,38
"85",25.9,8,4.6,15.8,-6.8,1.3,-149.6,2.6,0,0,17.2,27.1,25
"86",32.4,15.3,8,30.8,-4.9,2.2,-120.7,3.4,3.8,0,43.2,32.4,28.8
"87",35.4,18.3,9.4,36.9,-4.3,2.6,-101.2,3.7,22.4,0.2,75.7,35.3,31.2
"88",35.4,21,10,39.7,-4.4,2.7,-105.9,3.7,29.2,1.8,69,35.1,31.1
"89",36.7,29.5,11.6,48.2,-3.8,3.2,-92.1,4,56.8,1.8,91.1,37.7,33.4
"90",47.7,38,17.9,66.2,-2.6,4.5,-68.9,4.5,82.8,14.2,99.7,43.4,37.7
"91",29.4,5.6,4.1,4.3,-8.6,1,-139.7,2.4,6.9,0,3.2,29,25.6
"92",34.8,11.7,7.5,16.6,-6.2,1.8,-110.4,2.9,40.6,0,20,33,28.6
"93",37.7,16.8,9.2,26,-5.6,2.5,-87.7,3.2,58,0,41.9,35.8,31
"94",38.4,19.8,9.8,26.1,-5.7,2.5,-91,3.2,58.5,0.5,41,35.9,30.9
"95",40.3,29.3,12,33.1,-5,3.2,-73.1,3.4,80,0.3,58.8,38.7,33.1
"96",51.2,40.5,18.2,52.2,-4,5,-51.7,3.8,96.8,6.4,92.1,44.9,38
