"","val","var","sim","dwel","room","weather"
"80",391.7,"int_conv_he","Simp.","NW","Dorm. 1","Rio de Janeiro"
"81",391.7,"int_conv_he","Simp.","NW","Dorm. 2","Rio de Janeiro"
"82",784,"int_conv_he","Simp.","NW","Living","Rio de Janeiro"
"83",392.5,"int_conv_he","Simp.","SE","Dorm. 1","Rio de Janeiro"
"84",392.5,"int_conv_he","Simp.","SE","Dorm. 2","Rio de Janeiro"
"85",785.5,"int_conv_he","Simp.","SE","Living","Rio de Janeiro"
"86",392.5,"int_conv_he","Simp.","SW","Dorm. 1","Rio de Janeiro"
"87",392.5,"int_conv_he","Simp.","SW","Dorm. 2","Rio de Janeiro"
"88",785.5,"int_conv_he","Simp.","SW","Living","Rio de Janeiro"
"89",382,"int_conv_he","Simp.","W","Dorm. N","Rio de Janeiro"
"90",382.7,"int_conv_he","Simp.","W","Dorm. S","Rio de Janeiro"
"91",760.1,"int_conv_he","Simp.","W","Living","Rio de Janeiro"
"92",385.7,"int_conv_he","Simp.","E","Dorm. N","São Paulo"
"93",388.9,"int_conv_he","Simp.","E","Dorm. S","São Paulo"
"94",762.1,"int_conv_he","Simp.","E","Living","São Paulo"
"95",395.3,"int_conv_he","Simp.","NE","Dorm. 1","São Paulo"
"96",395,"int_conv_he","Simp.","NE","Dorm. 2","São Paulo"
"97",786.2,"int_conv_he","Simp.","NE","Living","São Paulo"
"98",395.3,"int_conv_he","Simp.","NW","Dorm. 1","São Paulo"
"99",395,"int_conv_he","Simp.","NW","Dorm. 2","São Paulo"
"100",786.2,"int_conv_he","Simp.","NW","Living","São Paulo"
"101",399.3,"int_conv_he","Simp.","SE","Dorm. 1","São Paulo"
"102",398.7,"int_conv_he","Simp.","SE","Dorm. 2","São Paulo"
"103",788.1,"int_conv_he","Simp.","SE","Living","São Paulo"
"104",399.3,"int_conv_he","Simp.","SW","Dorm. 1","São Paulo"
"105",398.7,"int_conv_he","Simp.","SW","Dorm. 2","São Paulo"
"106",788.1,"int_conv_he","Simp.","SW","Living","São Paulo"
"107",385.6,"int_conv_he","Simp.","W","Dorm. N","São Paulo"
"108",388.7,"int_conv_he","Simp.","W","Dorm. S","São Paulo"
"109",762.2,"int_conv_he","Simp.","W","Living","São Paulo"
"110",197.1,"conv_hge_floor","Base","E","Dorm. N","Curitiba"
"111",100.3,"conv_hge_floor","Base","E","Dorm. S","Curitiba"
"112",448.6,"conv_hge_floor","Base","E","Living","Curitiba"
"113",295.1,"conv_hge_floor","Base","NE","Dorm. 1","Curitiba"
"114",299.3,"conv_hge_floor","Base","NE","Dorm. 2","Curitiba"
"115",430.4,"conv_hge_floor","Base","NE","Living","Curitiba"
"116",300.2,"conv_hge_floor","Base","NW","Dorm. 1","Curitiba"
"117",305.6,"conv_hge_floor","Base","NW","Dorm. 2","Curitiba"
