"","val","var","sim","dwel","room","weather"
"136",671.9,"conv_hge_floor","Base","NW","Living","Rio de Janeiro"
"137",375.9,"conv_hge_floor","Base","SE","Dorm. 1","Rio de Janeiro"
"138",377.8,"conv_hge_floor","Base","SE","Dorm. 2","Rio de Janeiro"
"139",634.6,"conv_hge_floor","Base","SE","Living","Rio de Janeiro"
"140",377.2,"conv_hge_floor","Base","SW","Dorm. 1","Rio de Janeiro"
"141",377.8,"conv_hge_floor","Base","SW","Dorm. 2","Rio de Janeiro"
"142",635,"conv_hge_floor","Base","SW","Living","Rio de Janeiro"
"143",248.7,"conv_hge_floor","Base","W","Dorm. N","Rio de Janeiro"
"144",270.5,"conv_hge_floor","Base","W","Dorm. S","Rio de Janeiro"
"145",561.3,"conv_hge_floor","Base","W","Living","Rio de Janeiro"
"146",97.7,"conv_hge_floor","Base","E","Dorm. N","São Paulo"
"147",123.7,"conv_hge_floor","Base","E","Dorm. S","São Paulo"
"148",269.6,"conv_hge_floor","Base","E","Living","São Paulo"
"149",143,"conv_hge_floor","Base","NE","Dorm. 1","São Paulo"
"150",142.9,"conv_hge_floor","Base","NE","Dorm. 2","São Paulo"
"151",384.4,"conv_hge_floor","Base","NE","Living","São Paulo"
"152",142.8,"conv_hge_floor","Base","NW","Dorm. 1","São Paulo"
"153",141.9,"conv_hge_floor","Base","NW","Dorm. 2","São Paulo"
"154",379.1,"conv_hge_floor","Base","NW","Living","São Paulo"
"155",177.7,"conv_hge_floor","Base","SE","Dorm. 1","São Paulo"
"156",174.1,"conv_hge_floor","Base","SE","Dorm. 2","São Paulo"
"157",360.1,"conv_hge_floor","Base","SE","Living","São Paulo"
"158",178.5,"conv_hge_floor","Base","SW","Dorm. 1","São Paulo"
"159",174.1,"conv_hge_floor","Base","SW","Dorm. 2","São Paulo"
"160",360.3,"conv_hge_floor","Base","SW","Living","São Paulo"
"161",106,"conv_hge_floor","Base","W","Dorm. N","São Paulo"
"162",132.4,"conv_hge_floor","Base","W","Dorm. S","São Paulo"
"163",333.9,"conv_hge_floor","Base","W","Living","São Paulo"
"164",46.3,"conv_hge_floor","Simp.","E","Dorm. N","Curitiba"
"165",72.2,"conv_hge_floor","Simp.","E","Dorm. S","Curitiba"
"166",179.7,"conv_hge_floor","Simp.","E","Living","Curitiba"
"167",53.4,"conv_hge_floor","Simp.","NE","Dorm. 1","Curitiba"
"168",47.4,"conv_hge_floor","Simp.","NE","Dorm. 2","Curitiba"
"169",240.1,"conv_hge_floor","Simp.","NE","Living","Curitiba"
"170",53.6,"conv_hge_floor","Simp.","NW","Dorm. 1","Curitiba"
"171",47.4,"conv_hge_floor","Simp.","NW","Dorm. 2","Curitiba"
"172",240,"conv_hge_floor","Simp.","NW","Living","Curitiba"
"173",86.8,"conv_hge_floor","Simp.","SE","Dorm. 1","Curitiba"
"174",76.6,"conv_hge_floor","Simp.","SE","Dorm. 2","Curitiba"
"175",226,"conv_hge_floor","Simp.","SE","Living","Curitiba"
"176",86.8,"conv_hge_floor","Simp.","SW","Dorm. 1","Curitiba"
"177",76.6,"conv_hge_floor","Simp.","SW","Dorm. 2","Curitiba"
"178",225.9,"conv_hge_floor","Simp.","SW","Living","Curitiba"
"179",47.1,"conv_hge_floor","Simp.","W","Dorm. N","Curitiba"
"180",71.2,"conv_hge_floor","Simp.","W","Dorm. S","Curitiba"
"181",233.1,"conv_hge_floor","Simp.","W","Living","Curitiba"
"182",251.1,"conv_hge_floor","Simp.","E","Dorm. N","Rio de Janeiro"
"183",266.7,"conv_hge_floor","Simp.","E","Dorm. S","Rio de Janeiro"
"184",491.3,"conv_hge_floor","Simp.","E","Living","Rio de Janeiro"
"185",362.5,"conv_hge_floor","Simp.","NE","Dorm. 1","Rio de Janeiro"
"186",366,"conv_hge_floor","Simp.","NE","Dorm. 2","Rio de Janeiro"
"187",693.4,"conv_hge_floor","Simp.","NE","Living","Rio de Janeiro"
"188",363.4,"conv_hge_floor","Simp.","NW","Dorm. 1","Rio de Janeiro"
"189",366,"conv_hge_floor","Simp.","NW","Dorm. 2","Rio de Janeiro"
"190",693.3,"conv_hge_floor","Simp.","NW","Living","Rio de Janeiro"
"191",386.3,"conv_hge_floor","Simp.","SE","Dorm. 1","Rio de Janeiro"
"192",387.6,"conv_hge_floor","Simp.","SE","Dorm. 2","Rio de Janeiro"
"193",654.7,"conv_hge_floor","Simp.","SE","Living","Rio de Janeiro"
