"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",0.599999999999966,-17.7,-0.199999999999996,-19.6,-2.4,-1.7,-0.699999999999996,-14.7,1.09999999999999,-0.5,0.3,34.6,0,-0.600000000000001,0.3,-4.07777777777778,"E","Dorm. N","Curitiba","Hyp.","TV","02"
"year1",0.199999999999989,4.1,-8.4,-3.7,-1.59999999999999,-1.8,-2,1.7,0,-0.5,-0.899999999999999,11.7,0,-2.6,-0.899999999999999,-1.31111111111111,"E","Dorm. S","Curitiba","Hyp.","TV","02"
"year2",0,-21,-14.6,-63,-4.40000000000001,-8.7,-7,-42.9,-0.700000000000003,20,0,80,0,-7.4,0,-5.40666666666668,"E","Living","Curitiba","Hyp.","TV","02"
"year3",1.30000000000001,-58.1,-19.8,-115.5,-64.8,-12.3,-5.1,-33.2,4.2,-8.5,0,201.1,0.3,-4.3,0,-16.8416666666667,"NE","Dorm. 1","Curitiba","Hyp.","TV","02"
"year4",1.40000000000003,-65.9,-27.8,-148.5,-62.1,-49.1,-3.7,-33.6,5,-8.8,0,249,0.3,-4,0,-20.7416666666667,"NE","Dorm. 2","Curitiba","Hyp.","TV","02"
"year5",1.70000000000005,-438.1,-186.2,-304.9,-149.2,0,-36.2,-57,14.6,2,0,890.6,1.5,-1.1,0,-44.765,"NE","Living","Curitiba","Hyp.","TV","02"
"year6",0.900000000000034,-52.5,-16.1,-94.2,-63.8,-14.8,-4.8,-10.8,3.10000000000001,-3.4,0,164,0.3,-4.7,0,-13.7583333333333,"NW","Dorm. 1","Curitiba","Hyp.","TV","02"
"year7",1.10000000000002,-57.9,-23,-121.3,-60.2,-35,-3,-23,4,-3.7,0,201.6,0.2,-4.4,0,-16.8833333333333,"NW","Dorm. 2","Curitiba","Hyp.","TV","02"
"year8",0.400000000000091,-100,-31.1,-185,-115.3,-26.5,-9.7,0,5.70000000000002,17.3,0,289.8,1.5,-4.1,0,-13.795,"NW","Living","Curitiba","Hyp.","TV","02"
"year9",-0.899999999999977,5.2,-8.6,11.8,-5.09999999999999,-3.5,21.5,-1.1,-2.59999999999999,-0.199999999999999,-1.2,2.80000000000001,-0.1,-5.7,-1.3,-0.0250000000000057,"SE","Dorm. 1","Curitiba","Hyp.","TV","02"
"year10",-0.0999999999999659,1.60000000000001,-11.5,1,-3,-0.5,7.8,-3.2,-0.899999999999991,0.100000000000001,0,14.9,-0.1,-5.2,0,-1.19166666666668,"SE","Dorm. 2","Curitiba","Hyp.","TV","02"
"year11",-0.300000000000068,8.80000000000001,-21.5,-10.2,-9.40000000000001,0,1.09999999999999,-5,-4.5,17.7,0,3.39999999999986,-0.1,-6.6,0,-0.365000000000009,"SE","Living","Curitiba","Hyp.","TV","02"
"year12",-0.899999999999977,5.3,-8.6,11.6,-4.59999999999999,-0.899999999999999,20.7,-3.6,-2.39999999999999,-0.199999999999999,-1.2,2.69999999999999,-0.1,-5.6,-1.3,-0.0249999999999915,"SW","Dorm. 1","Curitiba","Hyp.","TV","02"
"year13",-0.0999999999999659,1.7,-11.5,1.09999999999999,-3,-3.2,7.7,-0.5,-0.899999999999991,0.100000000000001,0,14.8000000000001,-0.1,-5.2,0,-1.18333333333333,"SW","Dorm. 2","Curitiba","Hyp.","TV","02"
"year14",-0.300000000000068,9.10000000000002,-21.4,-10,-9.1,-5,0.899999999999977,0,-4.39999999999998,17.7,0,3,-0.1,-6.6,0,-0.334999999999994,"SW","Living","Curitiba","Hyp.","TV","02"
"year15",0.5,-16.6,-1,-19.6,-4.4,-12.3,-1.1,-1.7,1,-1.1,0.2,34.4000000000001,0,0.800000000000001,0.2,-4.04444444444444,"W","Dorm. N","Curitiba","Hyp.","TV","02"
"year16",0.100000000000023,4.39999999999999,-9.5,-5.8,-1.7,1.3,-3.8,-1.6,0,-1,-0.8,11.9,0,1,-0.8,-1.40000000000001,"W","Dorm. S","Curitiba","Hyp.","TV","02"
"year17",-0.0999999999999091,-47.5,-4.09999999999999,-90.1,-4.8,-70.3,-6.90000000000001,-8.2,0.700000000000003,28.7,0,104.3,0.3,-1.7,0,-6.98666666666668,"W","Living","Curitiba","Hyp.","TV","02"
"year18",0,-9.79999999999995,0.200000000000017,-17.7,-2.90000000000001,-2.5,-1.19999999999999,-11.1,0.5,-0.600000000000001,0,28.5999999999999,-0.0999999999999999,0.399999999999999,0,-3.19999999999999,"E","Dorm. N","Rio de Janeiro","Hyp.","TV","02"
"year19",0,10.4,-7.7,-2.10000000000002,-1.5,-1.90000000000001,-2,3.30000000000001,-0.300000000000001,-0.400000000000006,0,-0.0999999999999091,0,1.4,0,-0.0555555555555713,"E","Dorm. S","Rio de Janeiro","Hyp.","TV","02"
"year20",0.100000000000023,-29.5,-9,-129.7,-5.69999999999999,-11.5,-7.5,-105.1,-1.6,47.1,0,104.5,0.4,-1.6,0,-6.84,"E","Living","Rio de Janeiro","Hyp.","TV","02"
"year21",0.199999999999989,-45.3,-12.1,-102.6,-54.9,-11.8,-6.90000000000001,-29,2.5,-7.6,0,176.5,0.6,-0.9,0,-14.2,"NE","Dorm. 1","Rio de Janeiro","Hyp.","TV","02"
"year22",0.300000000000011,-41.8,-13.1,-103.2,-38.2,-39.4,-4,-21.6,2.5,-7.5,0,173.7,0.5,-1,0,-13.975,"NE","Dorm. 2","Rio de Janeiro","Hyp.","TV","02"
"year23",0.799999999999955,-473.8,-183.1,-340.2,-170.4,0,-48.5,-57.1,5.2,25.4,0,938.3,-1.7,-3,0,-46.48,"NE","Living","Rio de Janeiro","Hyp.","TV","02"
"year24",0.199999999999989,-36.7,-6.90000000000001,-73.2,-50.1,-9.59999999999999,-5,-8.5,1.7,-2,0,124.8,0.7,-1.1,0,-9.95833333333334,"NW","Dorm. 1","Rio de Janeiro","Hyp.","TV","02"
"year25",0.199999999999989,-32.2,-7.59999999999999,-72,-35.2,-21.2,-2.69999999999999,-12.9,1.7,-1.8,0,118.9,0.5,-1.1,0,-9.47499999999999,"NW","Dorm. 2","Rio de Janeiro","Hyp.","TV","02"
"year26",0.199999999999932,-61.6000000000001,-3,-162.4,-117.9,-13.9,-8.40000000000003,0,0.700000000000003,47.2,0,174.7,-1.7,-5.1,0,-7.73499999999999,"NW","Living","Rio de Janeiro","Hyp.","TV","02"
"year27",0,23.8,3.39999999999998,48.4000000000001,-0.200000000000003,2.69999999999999,39.1,6.90000000000001,-1.6,2,0,-73.1000000000001,0.9,-8.2,0,8.97500000000001,"SE","Dorm. 1","Rio de Janeiro","Hyp.","TV","02"
"year28",0,25.4,5.59999999999999,54.8000000000001,-0.400000000000006,11,33.6,10.6,-1.8,2.2,0,-83.8,1,-7.5,0,9.78333333333332,"SE","Dorm. 2","Rio de Janeiro","Hyp.","TV","02"
"year29",-0.0999999999999091,43.6,3.90000000000003,15.8,-5.20000000000002,0,2.80000000000001,5.59999999999999,-6.8,42.3,0,-134.6,11.9,-5.6,0,13.245,"SE","Living","Rio de Janeiro","Hyp.","TV","02"
"year30",0,24.7,4,51,0.0999999999999943,7.2,40.6,3.20000000000002,-1.7,2,0,-77.3000000000002,1,-8.1,0,9.33333333333333,"SW","Dorm. 1","Rio de Janeiro","Hyp.","TV","02"
"year31",0,25.5,5.59999999999999,54.9,-0.400000000000006,10.7,33.6,11.1,-1.8,2.1,0,-84,1,-7.5,0,9.79999999999998,"SW","Dorm. 2","Rio de Janeiro","Hyp.","TV","02"
"year32",-0.0999999999999091,43.9,4.10000000000002,16.7,-5,5.69999999999999,3.10000000000002,0,-6.7,42.4,0,-136.2,11.9,-5.6,0,13.32,"SW","Living","Rio de Janeiro","Hyp.","TV","02"
"year33",0,-7,1.19999999999999,-11.5,-1.40000000000001,-7.5,-0.800000000000011,-1.79999999999998,0.4,-0.299999999999997,0,18.4000000000001,-0.2,0.6,0,-2.17777777777781,"W","Dorm. N","Rio de Janeiro","Hyp.","TV","02"
"year34",0,12.5,-6.39999999999999,0.299999999999955,-1.09999999999999,3.90000000000001,-0.800000000000011,-1.70000000000002,-0.300000000000001,-0.199999999999996,0,-6.40000000000009,-0.2,1.8,0,0.333333333333343,"W","Dorm. S","Rio de Janeiro","Hyp.","TV","02"
"year35",0,-32.5,8.19999999999999,-105.2,-3.5,-88.7,-4.80000000000001,-8.19999999999999,-1.6,56.5,0,54.7999999999997,0,-0.9,0,-4,"W","Living","Rio de Janeiro","Hyp.","TV","02"
"year36",0.199999999999989,-15.2,-2,-22.4,-4.2,-2.7,-1.5,-13.8,0.599999999999994,-0.899999999999999,-0.1,38.5999999999999,-0.1,0.9,-0.1,-4.43333333333334,"E","Dorm. N","São Paulo","Hyp.","TV","02"
"year37",0.100000000000023,4.59999999999999,-9.4,-7.30000000000001,-1.9,-2.1,-3.40000000000001,0.200000000000003,0,-0.800000000000001,-0.2,14,0,0.200000000000003,-0.2,-1.56666666666666,"E","Dorm. S","São Paulo","Hyp.","TV","02"
"year38",0.0999999999999091,-30,-15.6,-103.2,-6,-10.5,-7.89999999999998,-78.7,-0.5,31.3,0,111.5,0.1,-4.5,0,-7.56666666666666,"E","Living","São Paulo","Hyp.","TV","02"
"year39",0.399999999999977,-54,-19.8,-117.1,-64.1,-13.9,-7.3,-31.8,2.8,-8.3,0,198.5,0.9,-1,0,-16.175,"NE","Dorm. 1","São Paulo","Hyp.","TV","02"
"year40",0.299999999999955,-56.6,-24.6,-135.3,-54.2,-45.7,-4.9,-30.5,3,-8.4,0,223.8,0.9,-1,0,-18.2333333333333,"NE","Dorm. 2","São Paulo","Hyp.","TV","02"
"year41",0.699999999999932,-440.4,-180.3,-321.3,-158.4,0,-42.1,-57.3,9.1,11.4,0,887.5,4,0.6,0,-43.81,"NE","Living","São Paulo","Hyp.","TV","02"
"year42",0.300000000000011,-46.9,-15.4,-91.6,-60.6,-13.7,-6,-11.2,2,-3.2,0,154.2,0.9,-1.2,0,-12.5416666666667,"NW","Dorm. 1","São Paulo","Hyp.","TV","02"
"year43",0.299999999999955,-48.2,-19.5,-107.1,-51.8,-30.7,-3.9,-20.8,2.3,-3.4,0,174.5,0.9,-1.2,0,-14.2166666666667,"NW","Dorm. 2","São Paulo","Hyp.","TV","02"
"year44",0.199999999999932,-84,-24.4,-180.3,-117.3,-22.3,-11,0,2.9,29,0,241.4,4,-1.6,0,-10.91,"NW","Living","São Paulo","Hyp.","TV","02"
"year45",-0.5,9.20000000000002,-5.89999999999999,19.4,-2.3,-1.5,22.1,1.09999999999999,-1.09999999999999,0.4,0,-5.5,0,-16.7,0,1.40000000000001,"SE","Dorm. 1","São Paulo","Hyp.","TV","02"
"year46",0.0999999999999659,7.20000000000002,-6.40000000000001,14.5,-1.4,2.30000000000001,13.4,0.200000000000003,-0.300000000000004,0.5,0,-0.700000000000045,-0.1,-16.3,0,0.841666666666669,"SE","Dorm. 2","São Paulo","Hyp.","TV","02"
"year47",0,16.5,-14.3,-11.8,-7.7,0,-5,-3,-4.2,26.8,0,-12.1000000000001,0.6,-18.9,0,1.56,"SE","Living","São Paulo","Hyp.","TV","02"
"year48",-0.400000000000034,9.70000000000002,-5.40000000000001,21.1,-2.1,1.3,23,-1.09999999999999,-1.1,0.4,0,-8.39999999999998,-0.1,-16.6,0,1.64166666666667,"SW","Dorm. 1","São Paulo","Hyp.","TV","02"
