"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year",394.7,140.8,-16.3,10.5,35.6,-59.8,-36.7,71.4,-72.9,7.7,19.7,-450.8,0.3,-20.5,19.7,56.4444444444444,"E","Dorm. N","Curitiba","Hyp.","TV","Base"
"year1",400.4,68.7,-16.2,-55.9,-76.5,-57.1,38.8,38.9,-75.6,9.1,36,-346.6,0.1,-18.5,36.1,43.6888888888889,"E","Dorm. S","Curitiba","Hyp.","TV","Base"
"year2",768,358.9,112.8,385.9,76.7,33.3,104.9,171,-97.8,73.2,0.4,-1580.9,0.5,-38.1,0.5,125.446666666667,"E","Living","Curitiba","Hyp.","TV","Base"
"year3",401.4,230.4,-13,152.3,74.9,70.8,-41.4,48,-100.5,11.7,10.4,-655.3,0.4,-23.4,10.4,60.2916666666667,"NE","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year4",399.6,243.5,-12.2,224.6,58.3,74.3,-29.4,121.3,-100.1,11.3,4.1,-732.4,0.4,-22.7,4.1,67.2,"NE","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year5",791,335.5,165.4,590.9,174,0,73.1,181.3,-112.3,95,0.3,-1879.9,2.6,-24.8,0.3,109.665,"NE","Living","Curitiba","Hyp.","TV","Base"
"year6",400.9,237.3,-13.4,167.1,75.4,59.7,-41.7,73.7,-101.6,15.9,8.7,-679.7,0.4,-23.8,8.7,62.375,"NW","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year7",399.2,250.8,-12.5,237.1,58.6,120.6,-29.6,87.5,-101.2,14.2,3.1,-755.1,0.4,-22.9,3.1,69.1083333333333,"NW","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year8",789.6,655.7,178.4,642.2,188.2,196.7,84.3,0,-120.6,101.5,0,-2247.9,2.5,-26.9,0,128.86,"NW","Living","Curitiba","Hyp.","TV","Base"
"year9",407.6,114.5,-12.4,65.6,-93.2,41.6,79.6,37.6,-101.7,8.2,26.6,-482.9,0.1,-21.2,26.6,44.8083333333333,"SE","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year10",405.5,125.6,-14,118.6,-67.1,53.5,60.7,71.6,-102.1,8,16,-530.5,0.1,-20.5,16.1,49.1333333333333,"SE","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year11",794.6,341.4,133.2,342,-31.3,0,151.6,112.6,-140.3,62.8,1.4,-1532.1,0.6,-25.8,1.4,90.57,"SE","Living","Curitiba","Hyp.","TV","Base"
"year12",407.4,115.6,-12.4,70.2,-93.1,37.9,79.8,45.6,-101.9,8.2,26.3,-487.7,0.1,-21.3,26.3,45.2416666666667,"SW","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year13",405.5,125.6,-14,118.7,-67.1,71.7,60.7,53.4,-102.1,8,16,-530.6,0.1,-20.5,16.1,49.15,"SW","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year14",794.6,341.8,133.2,342.6,-31.3,113.4,151.6,0,-140.4,62.8,1.4,-1533.1,0.6,-25.8,1.4,90.63,"SW","Living","Curitiba","Hyp.","TV","Base"
"year15",393.6,155.4,-13.6,57.5,44.7,80,-34,-33.3,-73.5,9.8,18.5,-513.6,0.5,-21,18.5,63.6333333333333,"W","Dorm. N","Curitiba","Hyp.","TV","Base"
"year16",398.9,79.8,-14.5,-12.8,-74,42.3,46.8,-27.9,-76.9,11,33.2,-396.7,0.1,-19.6,33.2,49.4888888888889,"W","Dorm. S","Curitiba","Hyp.","TV","Base"
"year17",767.2,472.5,142.4,554,96.7,210,124,123.3,-83.4,94,0.7,-1955.3,1.5,-18.2,0.8,151.066666666667,"W","Living","Curitiba","Hyp.","TV","Base"
"year18",382.5,346,179.6,724.6,163.2,188.4,144,229,-4.5,38.5,0,-1615.1,1.4,-6.4,0,193.033333333333,"E","Dorm. N","Rio de Janeiro","Hyp.","TV","Base"
"year19",383.1,235.9,167,579.2,83.1,176.4,149.2,170.5,-12.5,36.3,0,-1361.9,0.9,-21,0,166.3,"E","Dorm. S","Rio de Janeiro","Hyp.","TV","Base"
"year20",760.8,712.4,462.8,1301.9,221.2,390.9,252.6,437.1,26.7,186.2,0,-3503.9,2.2,-8.1,0,262.553333333333,"E","Living","Rio de Janeiro","Hyp.","TV","Base"
"year21",392.3,481.3,253.3,935.3,313.3,244.9,205.3,171.9,-1.4,42.4,0,-2051,1.6,-6.6,0,181.6,"NE","Dorm. 1","Rio de Janeiro","Hyp.","TV","Base"
"year22",392.3,473.5,255,955.7,235.8,249.3,140.7,329.8,0.2,41.3,0,-2068.3,1.8,-6.3,0,183.108333333333,"NE","Dorm. 2","Rio de Janeiro","Hyp.","TV","Base"
"year23",785.5,701.1,618.4,1538.1,428.8,0,392.6,362.2,52.8,198.4,0,-3963.9,1.8,-10.6,0,218.19,"NE","Living","Rio de Janeiro","Hyp.","TV","Base"
"year24",392.3,487.2,254.4,948.2,315.1,183.2,206.1,243.8,-1.7,46,0,-2077.1,1.6,-6.6,0,183.733333333333,"NW","Dorm. 1","Rio de Janeiro","Hyp.","TV","Base"
"year25",392.3,482.4,256.3,974.3,237.5,329.5,141.3,265.9,-0.4,44.5,0,-2102.4,1.8,-6.4,0,185.925,"NW","Dorm. 2","Rio de Janeiro","Hyp.","TV","Base"
"year26",785.2,1086,648.3,1635.8,457.8,388.7,414.1,0,48.2,209.9,0,-4469,1.8,-12.4,0,243.805,"NW","Living","Rio de Janeiro","Hyp.","TV","Base"
"year27",392.9,312.7,236.1,739.2,123.1,189.2,285.3,141.6,-10.2,33.7,0,-1678.7,1.3,-18,0,152.525,"SE","Dorm. 1","Rio de Janeiro","Hyp.","TV","Base"
"year28",392.9,306.6,236.3,741.3,82.1,201.2,213.8,244.2,-9.3,33.9,0,-1676.8,1.4,-17.1,0,152.45,"SE","Dorm. 2","Rio de Janeiro","Hyp.","TV","Base"
"year29",786.2,664.4,565.7,1175.6,242.6,0,383.3,270.4,15.8,154.6,0,-3417.9,19,-12,0,197.72,"SE","Living","Rio de Janeiro","Hyp.","TV","Base"
"year30",392.9,311.1,236.2,736.4,123.1,141.3,285.1,186.9,-9.9,33.7,0,-1675.2,1.3,-17.8,0,152.225,"SW","Dorm. 1","Rio de Janeiro","Hyp.","TV","Base"
"year31",392.9,306.6,236.3,741.2,82.1,244,213.8,201.4,-9.3,33.9,0,-1676.8,1.4,-17.1,0,152.441666666667,"SW","Dorm. 2","Rio de Janeiro","Hyp.","TV","Base"
"year32",786.2,664.2,565.7,1175.2,242.7,271.3,383.3,0,15.9,154.4,0,-3416.6,19,-12,0,197.655,"SW","Living","Rio de Janeiro","Hyp.","TV","Base"
"year33",382.4,351,184.8,747.2,166.2,238.5,149.5,192.9,-1.8,38.8,0,-1650.6,1.6,-6,0,196.744444444444,"W","Dorm. N","Rio de Janeiro","Hyp.","TV","Base"
"year34",383.1,240.9,171.6,600.2,89,178.3,152.7,180.2,-10.3,36.5,0,-1394.7,1.2,-20.4,0,169.788888888889,"W","Dorm. S","Rio de Janeiro","Hyp.","TV","Base"
"year35",761.2,778.4,486.9,1429.4,233.7,473.3,264.2,458.3,43.3,204.2,0,-3776.6,0.9,-5,0,279.9,"W","Living","Rio de Janeiro","Hyp.","TV","Base"
"year36",387.6,213.3,43.5,270.5,80.8,36,28.4,125.3,-46.5,18.5,2.5,-855.9,0.6,-12.7,2.5,104.311111111111,"E","Dorm. N","São Paulo","Hyp.","TV","Base"
"year37",391.4,132.2,41.5,186.2,-14.7,35.9,78.9,86.1,-50,19,4.2,-690.5,0.1,-28.5,4.2,85.2555555555555,"E","Dorm. S","São Paulo","Hyp.","TV","Base"
"year38",763,502.1,224.2,737.1,132.3,179.6,160,265.2,-47.7,115.4,0,-2303.8,0.7,-19.1,0.1,176.2,"E","Living","São Paulo","Hyp.","TV","Base"
"year39",395.9,315.9,69.1,423.1,152.5,132.4,48.2,90,-61.3,22.3,1.2,-1132,0.9,-13.2,1.2,101.966666666667,"NE","Dorm. 1","São Paulo","Hyp.","TV","Base"
"year40",395.1,321.5,71.5,476.3,116.7,133.9,33.2,192.5,-59.9,21.5,0.5,-1192.2,0.9,-12.7,0.5,107.325,"NE","Dorm. 2","São Paulo","Hyp.","TV","Base"
"year41",787.4,469.5,306.2,923.9,258.8,0,193.2,243.7,-46.9,131,0,-2610.3,6.5,-14.3,0,147.88,"NE","Living","São Paulo","Hyp.","TV","Base"
"year42",395.7,321.3,69.3,434.2,153.4,100.7,48.4,131.7,-61.8,25.8,1.1,-1153.7,0.9,-13.3,1.1,103.775,"NW","Dorm. 1","São Paulo","Hyp.","TV","Base"
"year43",394.9,329.4,72.1,491.3,117.7,191.7,33.5,148.5,-60.6,24.4,0.4,-1220.1,0.9,-12.9,0.4,109.641666666667,"NW","Dorm. 2","São Paulo","Hyp.","TV","Base"
"year44",787,806.2,323.6,993.4,278.8,263.2,208.3,0,-53,139.5,0,-3023.9,6.4,-15.9,0,169.085,"NW","Living","São Paulo","Hyp.","TV","Base"
"year45",399.7,187.3,65.3,306.7,-9.4,95.5,147,73.7,-64.3,17,1.9,-876.8,0.2,-29.8,1.9,80.175,"SE","Dorm. 1","São Paulo","Hyp.","TV","Base"
"year46",398.3,191.3,63.9,337.7,-9.2,104.4,110.7,131.8,-64.1,16.9,0.9,-907.6,0.2,-29.4,0.9,82.9583333333333,"SE","Dorm. 2","São Paulo","Hyp.","TV","Base"
"year47",788.5,460.7,268.2,646.6,78.7,0,229.2,169.3,-76.2,95,0.1,-2180.8,2.4,-33.7,0.1,126.22,"SE","Living","São Paulo","Hyp.","TV","Base"
"year48",399.6,186.3,65.3,305.5,-9.4,73.5,146.9,94.5,-64.1,17,1.9,-874.9,0.2,-29.7,1.9,80.0166666666667,"SW","Dorm. 1","São Paulo","Hyp.","TV","Base"
"year49",398.3,191.3,63.9,337.7,-9.2,131.8,110.7,104.5,-64.1,16.9,0.9,-907.6,0.2,-29.4,0.9,82.9583333333333,"SW","Dorm. 2","São Paulo","Hyp.","TV","Base"
"year50",788.5,460.6,268.2,646.3,78.7,169.9,229.3,0,-76.2,94.9,0.1,-2180.3,2.4,-33.7,0.1,126.195,"SW","Living","São Paulo","Hyp.","TV","Base"
"year51",387.2,218.8,47.4,290.8,83.4,132.3,32.5,42.7,-44.9,18.9,2.3,-887.9,0.8,-11.8,2.3,107.811111111111,"W","Dorm. N","São Paulo","Hyp.","TV","Base"
"year52",390.8,136.2,44.5,205.3,-10.4,90.4,81.6,43.7,-48.8,19.3,3.8,-715.6,0.1,-29.3,3.8,88.0444444444444,"W","Dorm. S","São Paulo","Hyp.","TV","Base"
"year53",763.2,549.9,244.5,828.6,141.3,289.6,168.5,229.2,-35.6,128.2,0.1,-2513.3,3.2,-6.4,0.1,190.4,"W","Living","São Paulo","Hyp.","TV","Base"
"year54",395.2,138.5,-15.2,18.7,33.9,-57.9,-35.5,78.2,-72.4,7.2,25.3,-463.5,0.4,-19.1,25.3,57.7888888888889,"E","Dorm. N","Curitiba","Hyp.","TV","Simp."
"year55",401.2,63.2,-15.1,-55.6,-74.2,-54.6,37.8,35.3,-74.1,8.7,44.5,-356.5,0.1,-15.1,44.5,44.6888888888889,"E","Dorm. S","Curitiba","Hyp.","TV","Simp."
"year56",769.2,337.8,119.6,425.5,77.1,39.8,107.9,200.7,-94.2,49.5,1.5,-1591.3,0.4,-28.1,1.5,125.753333333333,"E","Living","Curitiba","Hyp.","TV","Simp."
"year57",400.9,233.2,-11.5,209.3,114.2,73.7,-39.9,61.3,-102.3,15.1,13.8,-729.9,0.1,-15.5,13.9,66.4333333333333,"NE","Dorm. 1","Curitiba","Hyp.","TV","Simp."
"year58",399.2,240.2,-9.7,291.5,95.3,93.6,-28,130.6,-101.6,14.8,7.2,-812.3,0.1,-14.7,7.2,73.7333333333333,"NE","Dorm. 2","Curitiba","Hyp.","TV","Simp."
"year59",790,636.9,190.2,754,264.3,0,92.9,204.8,-117.6,79.4,0.2,-2335,0.5,-17.6,0.2,132.42,"NE","Living","Curitiba","Hyp.","TV","Simp."
"year60",400.8,234.2,-11.2,213.8,115,62.3,-39.6,76,-102.4,16.2,13.9,-736.5,0.1,-15.5,13.9,67,"NW","Dorm. 1","Curitiba","Hyp.","TV","Simp."
"year61",399.2,240.2,-9.7,291.2,95.3,132.3,-28,91.6,-101.6,14.6,7.2,-811.9,0.1,-14.7,7.2,73.7,"NW","Dorm. 2","Curitiba","Hyp.","TV","Simp."
"year62",790,636.9,190.1,754,264.3,206.9,92.9,0,-117.6,78.9,0.2,-2334.5,0.5,-17.6,0.2,132.39,"NW","Living","Curitiba","Hyp.","TV","Simp."
"year63",409.4,102,-9.4,49.2,-88.5,42.4,60.7,34.6,-97.7,7.3,42.3,-487.9,0.2,-11.9,42.3,44.9666666666667,"SE","Dorm. 1","Curitiba","Hyp.","TV","Simp."
"year64",407.5,110.3,-10.7,107.3,-63.4,49.4,52.1,69.2,-97.9,7.1,31.1,-537.6,0.2,-11.4,31.1,49.4583333333333,"SE","Dorm. 2","Curitiba","Hyp.","TV","Simp."
"year65",797.3,293.7,142.3,329.9,-23.5,0,143.8,109,-131.7,39.9,5.9,-1472.4,0.7,-14.3,6,87.28,"SE","Living","Curitiba","Hyp.","TV","Simp."
"year66",409.2,102.7,-9.5,54.1,-88.4,34.8,61.4,46.3,-97.9,7.3,41.8,-492.3,0.2,-12,41.9,45.3666666666667,"SW","Dorm. 1","Curitiba","Hyp.","TV","Simp."
"year67",407.5,110.4,-10.7,107.4,-63.4,69.3,52.2,49.3,-97.9,7.1,31,-537.7,0.2,-11.4,31.1,49.4666666666667,"SW","Dorm. 2","Curitiba","Hyp.","TV","Simp."
"year68",797.2,293.9,142.3,330.6,-23.4,109.7,144,0,-131.8,39.9,5.9,-1473.3,0.7,-14.3,6,87.33,"SW","Living","Curitiba","Hyp.","TV","Simp."
"year69",394.2,150.4,-12.3,65.6,44.3,85.2,-32.5,-31.3,-72.8,9.6,24.2,-523.4,0.5,-21.6,24.2,64.6666666666667,"W","Dorm. N","Curitiba","Hyp.","TV","Simp."
"year70",399.8,72.8,-13,-9.5,-71.3,39.2,47.4,-24.7,-75.2,11.1,41.1,-404.8,0.1,-20.7,41.2,50.3444444444444,"W","Dorm. S","Curitiba","Hyp.","TV","Simp."
"year71",768.1,472.7,150.3,624.1,98.2,266.1,127.7,132.1,-80,62.8,2.4,-2001.8,1.1,-15.2,2.5,154,"W","Living","Curitiba","Hyp.","TV","Simp."
"year72",382.4,361.5,180.1,738.6,165,189.7,144.6,239.3,-5.8,38.8,0,-1644.1,1.5,-6.7,0,196.311111111111,"E","Dorm. N","Rio de Janeiro","Hyp.","TV","Simp."
"year73",383.1,247.6,168.5,588.1,85.3,179,151.8,171.9,-12.5,36.9,0,-1382.4,1,-23.3,0,168.6,"E","Dorm. S","Rio de Janeiro","Hyp.","TV","Simp."
"year74",760.6,753,470.7,1406.7,226.9,399.2,261,519.6,27.8,127.7,0,-3570.3,1.6,-5.8,0,266.8,"E","Living","Rio de Janeiro","Hyp.","TV","Simp."
"year75",392,526.3,256.7,993.8,341.3,254.6,208.2,189.7,-5,46.7,0,-2173.2,0.8,-4.2,0,190.95,"NE","Dorm. 1","Rio de Janeiro","Hyp.","TV","Simp."
"year76",392,517.5,259.1,1021.1,255.6,274.7,142.7,348,-3.2,45.7,0,-2196.9,0.9,-3.9,0,193.008333333333,"NE","Dorm. 2","Rio de Janeiro","Hyp.","TV","Simp."
"year77",785,1160,660.9,1781.4,555.6,0,424.9,404.1,49.4,153.9,0,-4619.3,3.3,-4.2,0,249.525,"NE","Living","Rio de Janeiro","Hyp.","TV","Simp."
"year78",392,524.9,256.6,989.6,340.3,189.4,208.2,251.6,-4.7,46.9,0,-2168.3,0.8,-4.2,0,190.533333333333,"NW","Dorm. 1","Rio de Janeiro","Hyp.","TV","Simp."
"year79",392,517.4,259,1021,255.6,347.8,142.6,275,-3.2,45.5,0,-2196.2,0.9,-3.9,0,192.958333333333,"NW","Dorm. 2","Rio de Janeiro","Hyp.","TV","Simp."
"year80",785,1159.7,660.7,1780.7,555.4,406.4,424.8,0,49.4,153.3,0,-4617,3.3,-4.2,0,249.41,"NW","Living","Rio de Janeiro","Hyp.","TV","Simp."
"year81",392.9,329.6,236,701.2,124.5,191.1,245.7,139.9,-9.7,33,0,-1664.6,0.9,-2.1,0,147.875,"SE","Dorm. 1","Rio de Janeiro","Hyp.","TV","Simp."
"year82",392.8,328.1,237,712.5,83.7,199.7,183.4,245.8,-8.9,33.4,0,-1676.5,1,-2,0,149.041666666667,"SE","Dorm. 2","Rio de Janeiro","Hyp.","TV","Simp."
"year83",786.3,687.9,568.7,1172,246.8,0,385.4,271.2,19.8,100.7,0,-3342.7,3.4,-2.6,0,184.95,"SE","Living","Rio de Janeiro","Hyp.","TV","Simp."
"year84",392.9,328.2,236.1,697.6,124.4,139.6,244.8,188.7,-9.4,33.1,0,-1660.3,0.9,-2.1,0,147.508333333333,"SW","Dorm. 1","Rio de Janeiro","Hyp.","TV","Simp."
"year85",392.8,328,237,712.4,83.7,245.6,183.4,199.8,-8.9,33.3,0,-1676.4,1,-2,0,149.033333333333,"SW","Dorm. 2","Rio de Janeiro","Hyp.","TV","Simp."
"year86",786.3,687.7,568.7,1171.4,246.8,272,385.3,0,19.8,100.4,0,-3341.3,3.4,-2.6,0,184.88,"SW","Living","Rio de Janeiro","Hyp.","TV","Simp."
"year87",382.3,366.5,185.5,758.8,167.1,247.5,150.3,193.8,-2.9,38.9,0,-1677.6,1.7,-6.7,0,199.911111111111,"W","Dorm. N","Rio de Janeiro","Hyp.","TV","Simp."
"year88",383,253.2,173.5,609.2,91.4,180.1,154.8,182.9,-10.2,36.9,0,-1415.5,1.3,-23.8,0,172.477777777778,"W","Dorm. S","Rio de Janeiro","Hyp.","TV","Simp."
"year89",761.2,836.8,494.7,1529,239.5,549,272.6,468,45.8,138,0,-3847.1,0.7,-3.6,0,285.053333333333,"W","Living","Rio de Janeiro","Hyp.","TV","Simp."
"year90",387.9,212.4,44.1,280.2,80.6,37.6,29.4,132.5,-46.5,18.4,3.7,-866.2,0.6,-13.5,3.7,105.433333333333,"E","Dorm. N","São Paulo","Hyp.","TV","Simp."
"year91",392.1,128.8,42.9,190.1,-12.5,38.4,79.7,84.5,-48.9,19.1,6,-697.9,0.1,-28.4,6,85.9888888888889,"E","Dorm. S","São Paulo","Hyp.","TV","Simp."
"year92",763.3,496.5,230.4,807.9,134,186,164,323.9,-45.6,78.6,0.2,-2331.4,0.6,-13.2,0.2,177.98,"E","Living","São Paulo","Hyp.","TV","Simp."
"year93",395.8,328.6,71.6,484.9,191.7,137.7,51,104.4,-63.1,25.9,2.2,-1217.5,0.1,-9.5,2.2,108.625,"NE","Dorm. 1","São Paulo","Hyp.","TV","Simp."
"year94",395.1,329.2,74.4,543.4,149.5,154.2,35.2,204.6,-61.5,25.1,1.3,-1279.1,0.1,-8.9,1.3,114.041666666667,"NE","Dorm. 2","São Paulo","Hyp.","TV","Simp."
"year95",787.1,807.8,334.8,1116.3,363.5,0,217.3,273.2,-50.4,105.5,0.1,-3111.4,1.3,-10.4,0.1,172.035,"NE","Living","São Paulo","Hyp.","TV","Simp."
"year96",395.8,327.8,71.6,482.5,191.1,104.5,51.1,135.9,-62.9,26.4,2.2,-1215.2,0.1,-9.5,2.2,108.425,"NW","Dorm. 1","São Paulo","Hyp.","TV","Simp."
"year97",395.1,329.2,74.4,543.2,149.4,204.7,35.1,153.9,-61.5,25,1.3,-1278.7,0.1,-8.9,1.3,114,"NW","Dorm. 2","São Paulo","Hyp.","TV","Simp."
"year98",787.1,807.6,334.7,1115.9,363.4,274.8,217.3,0,-50.4,105,0.1,-3109.9,1.3,-10.4,0.1,171.96,"NW","Living","São Paulo","Hyp.","TV","Simp."
"year99",401.1,179.4,66.4,284.8,-6.9,95.5,125.3,70.9,-62.1,16.1,4.2,-876.1,0.2,-6.8,4.2,79.0083333333333,"SE","Dorm. 1","São Paulo","Hyp.","TV","Simp."
"year100",399.7,183.2,65.4,320.7,-7.1,100.7,97.2,129.8,-61.9,16.1,2.6,-910.8,0.2,-6.5,2.6,82.125,"SE","Dorm. 2","São Paulo","Hyp.","TV","Simp."
"year101",789.3,427.7,270.8,634.8,82.3,0,227.7,165.4,-70.8,61.1,0.4,-2112.1,1.4,-8.1,0.4,121.01,"SE","Living","São Paulo","Hyp.","TV","Simp."
"year102",401,178.5,66.4,283,-6.9,70.7,124.8,94.4,-62,16.1,4.2,-873.5,0.2,-6.7,4.2,78.7916666666667,"SW","Dorm. 1","São Paulo","Hyp.","TV","Simp."
"year103",399.7,183.2,65.4,320.7,-7.1,129.7,97.2,100.8,-61.9,16.1,2.6,-910.7,0.2,-6.5,2.6,82.1166666666667,"SW","Dorm. 2","São Paulo","Hyp.","TV","Simp."
"year104",789.3,427.7,270.8,634.5,82.4,165.9,227.7,0,-70.8,61,0.4,-2111.5,1.4,-8.1,0.4,120.98,"SW","Living","São Paulo","Hyp.","TV","Simp."
"year105",387.6,217.4,48.2,298.5,82.9,138,33.6,44.1,-44.7,18.8,3.4,-895.9,0.8,-12.1,3.4,108.666666666667,"W","Dorm. N","São Paulo","Hyp.","TV","Simp."
"year106",391.6,133.2,46.6,211.8,-7.6,89.6,82.6,47.2,-47.4,19.5,5.7,-721.1,0.1,-34.3,5.7,88.7111111111111,"W","Dorm. S","São Paulo","Hyp.","TV","Simp."
"year107",763.5,556.1,251.2,899.4,143.1,346.8,172.6,236.9,-32.5,86.4,0.2,-2541.4,2.1,-5.2,0.2,192.013333333333,"W","Living","São Paulo","Hyp.","TV","Simp."
