"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year59",786.4,321.6,263.4,704.5,233.8,0,134.8,167.8,-131.1,75,0,-2006.7,0.5,-22.3,0,116.055,"NE","Living","Curitiba","Hyp.","SF","Simp."
"year60",394.1,61.8,74.6,222.8,81.7,48.8,29.4,63,-110.9,12.6,0,-618.3,0,-19.3,0,58.575,"NW","Dorm. 1","Curitiba","Hyp.","SF","Simp."
"year61",394,60.1,78.1,253.3,64.7,95.2,21.7,71.7,-107.2,11.1,0,-654,0,-17.7,0,61.7,"NW","Dorm. 2","Curitiba","Hyp.","SF","Simp."
"year62",786.4,321.7,263.5,705.8,233.9,173,134.8,0,-131.1,74.4,0,-2007.6,0.5,-22.3,0,116.1,"NW","Living","Curitiba","Hyp.","SF","Simp."
"year63",394.4,99.2,54.3,142.3,2.3,45.3,59.9,34.9,-121.1,8.3,0,-553,0.1,-17,0,53.0083333333333,"SE","Dorm. 1","Curitiba","Hyp.","SF","Simp."
"year64",394.3,98,57.8,168.8,2.7,53.1,48.3,64.8,-117.3,8.7,0,-587,0.1,-15.6,0,56.0083333333333,"SE","Dorm. 2","Curitiba","Hyp.","SF","Simp."
"year65",787.4,296.5,175.7,442.2,64.7,0,157.6,110.2,-167.4,44.3,0,-1557.2,0.5,-21,0,93.1,"SE","Living","Curitiba","Hyp.","SF","Simp."
"year66",394.4,99.3,54.5,143,2.4,35.3,60,45.2,-121.1,8.4,0,-554.1,0.1,-17,0,53.1083333333333,"SW","Dorm. 1","Curitiba","Hyp.","SF","Simp."
"year67",394.3,98,57.8,168.9,2.7,65.1,48.3,52.7,-117.3,8.7,0,-587,0.1,-15.6,0,56.0083333333333,"SW","Dorm. 2","Curitiba","Hyp.","SF","Simp."
"year68",787.4,296.5,175.7,442.4,64.7,111.3,157.6,0,-167.4,44.2,0,-1557.4,0.5,-21,0,93.11,"SW","Living","Curitiba","Hyp.","SF","Simp."
"year69",384.5,41,45.9,137.1,36.2,58.2,14.9,27.8,-83.6,7.5,0,-494.8,0,-17,0,64.1,"W","Dorm. N","Curitiba","Hyp.","SF","Simp."
"year70",384.9,67.7,32.6,78.8,-5.4,36.7,29.6,17.8,-92.4,8.9,0,-454.9,0,-15.3,0,59.3777777777778,"W","Dorm. S","Curitiba","Hyp.","SF","Simp."
"year71",762.3,298.6,205.5,699.8,121.9,276,126.4,175.5,-93.7,69.7,0,-1943.5,0.4,-16.8,0,150.54,"W","Living","Curitiba","Hyp.","SF","Simp."
"year72",383.1,245.2,122.8,541.7,117,159.7,110.2,154.9,-3.7,30.6,0,-1282.4,0.8,-4.1,0,154.788888888889,"E","Dorm. N","Rio de Janeiro","Hyp.","SF","Simp."
"year73",383.3,271.5,105.8,466.8,86,143,107.8,130.1,-12.3,31.9,0,-1229.9,0.8,-8.5,0,150.111111111111,"E","Dorm. S","Rio de Janeiro","Hyp.","SF","Simp."
"year74",760.7,486.1,292.3,928.3,158.2,257.1,164.6,348.4,11.5,95.4,0,-2566.3,1.5,-4.7,0,195.333333333333,"E","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year75",392.9,343.1,178.9,653.5,209.6,163,154.1,126.7,-2.6,34.8,0,-1563.9,0.8,-4.7,0,139.825,"NE","Dorm. 1","Rio de Janeiro","Hyp.","SF","Simp."
"year76",392.9,343.7,179.8,669.2,157.4,185.8,105.8,220.2,-1.7,33.5,0,-1581.7,1,-4.3,0,141.416666666667,"NE","Dorm. 2","Rio de Janeiro","Hyp.","SF","Simp."
"year77",784.8,707.8,443.1,1183.9,377.6,0,270.1,269.2,36.1,118.2,0,-3271.9,3.4,-5.9,0,181.885,"NE","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year78",392.9,343.4,179,652.9,209.7,126.5,154.2,162.4,-2.5,35,0,-1564.3,0.8,-4.7,0,139.858333333333,"NW","Dorm. 1","Rio de Janeiro","Hyp.","SF","Simp."
"year79",392.9,343.7,179.8,669.6,157.4,220.4,105.8,185.9,-1.7,33.3,0,-1581.8,1,-4.3,0,141.416666666667,"NW","Dorm. 2","Rio de Janeiro","Hyp.","SF","Simp."
"year80",784.8,708,443.2,1185.1,377.7,272.8,270.2,0,36.1,117.7,0,-3272.9,3.4,-5.8,0,181.935,"NW","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year81",393.1,381.7,154.2,552,121.3,138.1,182.6,110.1,-12.7,29.7,0,-1479.8,0.8,-2.8,0,132.65,"SE","Dorm. 1","Rio de Janeiro","Hyp.","SF","Simp."
"year82",393.1,383.4,155.1,563.9,82.7,158.4,137.2,185.6,-11.7,30.1,0,-1496.3,1,-2.6,0,134.15,"SE","Dorm. 2","Rio de Janeiro","Hyp.","SF","Simp."
"year83",786,678.4,337.3,892.9,191.9,0,293.8,203.9,-2.6,83.1,0,-2752.7,3.4,-4.6,0,155.075,"SE","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year84",393.1,382,154.5,551.9,121.4,109.9,182.7,137.9,-12.6,29.7,0,-1480.4,0.8,-2.8,0,132.708333333333,"SW","Dorm. 1","Rio de Janeiro","Hyp.","SF","Simp."
"year85",393.1,383.3,155.1,563.9,82.7,185.4,137.2,158.7,-11.7,30.1,0,-1496.3,1,-2.6,0,134.15,"SW","Dorm. 2","Rio de Janeiro","Hyp.","SF","Simp."
"year86",786,678.4,337.3,893,191.9,204.9,293.9,0,-2.6,83,0,-2752.8,3.4,-4.6,0,155.075,"SW","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year87",383.1,248.6,127.8,539.7,115.4,156.3,111.1,156.9,-2.7,29.2,0,-1281.8,0.9,-4.2,0,154.633333333333,"W","Dorm. N","Rio de Janeiro","Hyp.","SF","Simp."
"year88",383.3,276,111,466.1,86.8,131.1,106.5,141.7,-11.7,30.1,0,-1229.7,0.8,-9.4,0,150.122222222222,"W","Dorm. S","Rio de Janeiro","Hyp.","SF","Simp."
"year89",760.6,602.9,336.6,1147.6,193.3,428.9,199,326.4,38.1,114.5,0,-3019.7,1,-3.4,0,225.726666666667,"W","Living","Rio de Janeiro","Hyp.","SF","Simp."
"year90",383.8,104.7,73.3,280.2,65.3,75.2,49,90.6,-50.4,15.9,0,-776.6,0.3,-9.5,0,96.8777777777778,"E","Dorm. N","São Paulo","Hyp.","SF","Simp."
"year91",384,131,59.3,219.6,29.2,62.1,58,70.3,-57.5,17.3,0,-730.9,0.1,-14.9,0,91.7777777777778,"E","Dorm. S","São Paulo","Hyp.","SF","Simp."
"year92",761.7,296.4,212.4,661.3,116.3,165.5,122.1,257.4,-62.8,69.6,0,-1929.9,0.5,-12,0,150.066666666667,"E","Living","São Paulo","Hyp.","SF","Simp."
"year93",393.6,152,114.2,380.6,128.4,101.6,74.1,76.4,-65.6,20.1,0,-961.4,0.1,-11.6,0,88,"NE","Dorm. 1","São Paulo","Hyp.","SF","Simp."
"year94",393.6,152.1,116.6,404.8,98.7,115.3,51.9,139,-63,19.2,0,-990.7,0.1,-10.6,0,90.5,"NE","Dorm. 2","São Paulo","Hyp.","SF","Simp."
"year95",785.8,442.8,331.1,883.8,287.6,0,185.3,206.4,-63.2,91.1,0,-2464.6,1.3,-13.8,0,139.415,"NE","Living","São Paulo","Hyp.","SF","Simp."
"year96",393.6,152.5,114.2,379.5,128.5,76.7,74.2,100.1,-65.5,20.6,0,-961.5,0.1,-11.5,0,88.0166666666667,"NW","Dorm. 1","São Paulo","Hyp.","SF","Simp."
"year97",393.6,152,116.6,405.2,98.7,140.3,51.9,114.3,-63,19,0,-990.8,0.1,-10.6,0,90.5083333333333,"NW","Dorm. 2","São Paulo","Hyp.","SF","Simp."
"year98",785.8,442.9,331.1,884.9,287.7,209.7,185.4,0,-63.2,90.7,0,-2465.6,1.3,-13.8,0,139.465,"NW","Living","São Paulo","Hyp.","SF","Simp."
"year99",393.8,189.1,92.4,294.5,47.3,79.6,105.1,62.5,-74,15.9,0,-891.5,0.1,-9.4,0,82.0833333333333,"SE","Dorm. 1","São Paulo","Hyp.","SF","Simp."
"year100",393.8,189.8,94.9,315.4,33,91.6,81.2,109.6,-71.3,16.3,0,-919.5,0.2,-8.6,0,84.4666666666667,"SE","Dorm. 2","São Paulo","Hyp.","SF","Simp."
"year101",786.8,418.8,239.1,623,116,0,212.2,147.8,-96.1,59.7,0,-2013.1,1.3,-12.4,0,116.275,"SE","Living","São Paulo","Hyp.","SF","Simp."
"year102",393.8,189.4,92.6,294.4,47.4,62.5,105.2,79.4,-73.9,15.9,0,-892.2,0.1,-9.4,0,82.1416666666667,"SW","Dorm. 1","São Paulo","Hyp.","SF","Simp."
"year103",393.8,189.7,94.9,315.4,33,109.5,81.2,91.7,-71.3,16.3,0,-919.4,0.2,-8.6,0,84.4666666666667,"SW","Dorm. 2","São Paulo","Hyp.","SF","Simp."
"year104",786.8,418.9,239.1,623.1,116,148.6,212.2,0,-96.1,59.6,0,-2013.1,1.3,-12.4,0,116.275,"SW","Living","São Paulo","Hyp.","SF","Simp."
"year105",383.8,107.3,77.1,281.8,64.4,93.1,49.9,74.3,-49.7,14.9,0,-779.5,0.3,-9.8,0,97.0666666666667,"W","Dorm. N","São Paulo","Hyp.","SF","Simp."
"year106",384,134.7,62.9,223.1,30.2,71.7,57.5,63.7,-56.8,16.2,0,-733.5,0,-17.6,0,92.0111111111111,"W","Dorm. S","São Paulo","Hyp.","SF","Simp."
"year107",761.7,387.1,248.4,842.4,145.5,322.6,150.4,223.8,-42.7,85.1,0,-2294.3,1.1,-7.4,0,174.406666666667,"W","Living","São Paulo","Hyp.","SF","Simp."
