"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year30",392.7,304.8,214.5,594.1,126.7,113.3,207.8,146.2,-23.8,28.7,0,-1468.8,1,-24.4,0,135.075,"SW","Dorm. 1","Rio de Janeiro","Hyp.","SF","Base"
"year31",392.7,301.8,214.3,596.5,85.1,194.7,154.8,161.8,-22.7,28.9,0,-1470.1,1.1,-23.5,0,135.216666666667,"SW","Dorm. 2","Rio de Janeiro","Hyp.","SF","Base"
"year32",785.6,701,572.5,1128.8,245.9,266.3,349.9,0,13.9,169.4,0,-3473.2,18.8,-13.3,0,201.065,"SW","Living","Rio de Janeiro","Hyp.","SF","Base"
"year33",382.1,358,157.6,636,137.5,191.2,129.3,177.9,-17.4,32.4,0,-1470.1,1.4,-8,0,177.022222222222,"W","Dorm. N","Rio de Janeiro","Hyp.","SF","Base"
"year34",382.8,227.9,156.3,483,90,139.2,111.4,142.4,-20,31.3,0,-1217.5,0.9,-26.3,0,150.344444444444,"W","Dorm. S","Rio de Janeiro","Hyp.","SF","Base"
"year35",760.2,817.2,492.8,1357.4,242.5,470,252.8,392.2,40.8,221.7,0,-3818.1,0.9,-5,0,283.326666666667,"W","Living","Rio de Janeiro","Hyp.","SF","Base"
"year36",384.8,255.4,17.9,337.1,78.7,87.2,58.3,112.9,-63.1,16.9,0.4,-891.9,0.2,-17.7,0.4,109.6,"E","Dorm. N","São Paulo","Hyp.","SF","Base"
"year37",387.4,150.1,25.8,222,28.4,59.9,60.1,73.6,-62.9,17.8,0.7,-692.5,0,-33.7,0.7,86.3555555555556,"E","Dorm. S","São Paulo","Hyp.","SF","Base"
"year38",761.7,574.8,222,831.1,154.8,223,164.8,288.5,-55,136.5,0,-2499.3,0.7,-21.3,0,189.9,"E","Living","São Paulo","Hyp.","SF","Base"
"year39",394.3,364.1,40.1,445,144.5,124.5,88.6,87.4,-82.7,18.7,0.3,-1120.8,0.3,-17.8,0.3,101.675,"NE","Dorm. 1","São Paulo","Hyp.","SF","Base"
"year40",394.1,364.5,41.1,473.2,109.9,131.5,61.4,170.4,-80.2,17.7,0.1,-1151.5,0.3,-17.1,0.1,104.383333333333,"NE","Dorm. 2","São Paulo","Hyp.","SF","Base"
"year41",786.4,536.3,308,942,273.3,0,201.8,236.9,-51.6,153.4,0,-2749.9,6.1,-15.8,0,155.21,"NE","Living","São Paulo","Hyp.","SF","Base"
"year42",394.2,369.2,39.8,451.9,146.1,92.3,89.8,123.6,-83.2,22.6,0.2,-1138.9,0.3,-18,0.2,103.125,"NW","Dorm. 1","São Paulo","Hyp.","SF","Base"
"year43",393.9,371.3,40.8,484.3,111.4,173.3,62.4,137.3,-80.9,21.1,0.1,-1174.5,0.3,-17.2,0.1,106.241666666667,"NW","Dorm. 2","São Paulo","Hyp.","SF","Base"
"year44",785.9,901.2,330.3,1091.6,317.5,274.8,237.1,0,-58.3,164.3,0,-3274.5,6.1,-17.7,0,182.025,"NW","Living","São Paulo","Hyp.","SF","Base"
"year45",397.3,206.2,48.7,301.3,46.5,82.7,110.2,61.8,-80.9,14.5,0.7,-835.8,0,-34.7,0.7,77.1333333333333,"SE","Dorm. 1","São Paulo","Hyp.","SF","Base"
"year46",396.7,207.6,48.4,315.4,31.6,89.1,83.4,111.3,-78.8,14.5,0.4,-853,0,-33.7,0.4,78.675,"SE","Dorm. 2","São Paulo","Hyp.","SF","Base"
"year47",787.3,528.1,285.5,744.3,147.6,0,231.9,182.7,-79.6,113,0,-2399,2.4,-34.4,0,137.85,"SE","Living","São Paulo","Hyp.","SF","Base"
"year48",397.3,205.8,48.9,300.5,46.5,61.8,110.2,82,-80.8,14.5,0.7,-834.9,0,-34.7,0.7,77.0583333333333,"SW","Dorm. 1","São Paulo","Hyp.","SF","Base"
"year49",396.7,207.6,48.4,315.4,31.6,111.3,83.4,89.1,-78.8,14.5,0.4,-853,0,-33.7,0.4,78.675,"SW","Dorm. 2","São Paulo","Hyp.","SF","Base"
"year50",787.3,528.1,285.6,744.5,147.7,183.6,232,0,-79.5,112.9,0,-2399.3,2.4,-34.4,0,137.86,"SW","Living","São Paulo","Hyp.","SF","Base"
"year51",384.7,254.5,22.1,335.4,77.2,115.2,58.8,84.3,-62.1,16,0.4,-892,0.3,-16.9,0.4,109.433333333333,"W","Dorm. N","São Paulo","Hyp.","SF","Base"
"year52",387.3,149.5,30.1,220.1,28.7,74,58.7,58.7,-62.1,16.7,0.7,-690.3,0,-34.5,0.7,85.9888888888889,"W","Dorm. S","São Paulo","Hyp.","SF","Base"
