"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",0.100000000000023,-1.2,13.1,-10.4,-1,-4.09999999999999,-2.8,-2.6,-0.199999999999996,0,0.7,-1.19999999999999,0,-1,0.7,0.200000000000003,"E","Dorm. N","Curitiba","Hyp.","C10","02"
"year1",0.900000000000034,6.59999999999999,-15,-5.69999999999999,-3.09999999999999,-3,0.700000000000003,-0.300000000000001,0.5,0,2.1,10.7,0,-1.2,2.1,-1.33333333333333,"E","Dorm. S","Curitiba","Hyp.","C10","02"
"year2",0.299999999999955,-7.60000000000002,2.89999999999999,-51.9,-6.8,-14.4,-1.30000000000001,-29.4,-1.8,14.2,0,42.3999999999999,0,-3.3,0,-3.13333333333334,"E","Living","Curitiba","Hyp.","C10","02"
"year3",0.5,1.6,21.7,-48.2,-39,1.6,-1.80000000000001,-9,0.400000000000006,-1.6,0,26.2,0.2,-0.400000000000002,0,-2.15833333333333,"NE","Dorm. 1","Curitiba","Hyp.","C10","02"
"year4",0.399999999999977,1.4,25.7,-48.4,-35.5,-12.3,-1.6,1,0.299999999999997,-1.4,0,22.8,0.2,-0.4,0,-1.84166666666667,"NE","Dorm. 2","Curitiba","Hyp.","C10","02"
"year5",0.700000000000045,9,-94.7,-108.5,-75.1,0,-10.2,-6.69999999999999,0.199999999999989,12,0,170.1,0.6,0.399999999999999,0,-8.42,"NE","Living","Curitiba","Hyp.","C10","02"
"year6",0.200000000000045,-0.800000000000004,25.9,-40.8,-40.4,0.399999999999999,-2.7,1.9,0,0.0999999999999996,0,15.1,0.2,-0.5,0,-1.2,"NW","Dorm. 1","Curitiba","Hyp.","C10","02"
"year7",0.299999999999955,-0.699999999999999,30.3,-38.9,-35.7,-1.89999999999999,-2.3,0.900000000000006,-0.100000000000009,0.0999999999999996,0,9,0.2,-0.5,0,-0.666666666666664,"NW","Dorm. 2","Curitiba","Hyp.","C10","02"
"year8",0.200000000000045,-3.5,52,-84.1,-68.8,0.5,-5.6,0,-0.5,18.6,0,10.2,0.6,-0.300000000000001,0,-0.0600000000000023,"NW","Living","Curitiba","Hyp.","C10","02"
"year9",0.0999999999999659,-0.700000000000003,-10.7,5.09999999999999,-9.59999999999999,-5.1,21.8,-2,-0.800000000000011,-0.5,0,8.39999999999998,-0.1,-0.800000000000001,0,-0.674999999999994,"SE","Dorm. 1","Curitiba","Hyp.","C10","02"
"year10",0.399999999999977,1.89999999999999,-7,-3.2,-6.70000000000002,-2,9.1,-3.6,-0.700000000000003,-0.4,0,9.59999999999997,-0.1,-0.699999999999999,0,-0.80833333333333,"SE","Dorm. 2","Curitiba","Hyp.","C10","02"
"year11",0.600000000000023,-9.5,-22.1,-27.6,-19.4,0,1.8,-8.3,-3.59999999999999,10.4,0,45.8000000000001,-0.2,-0.800000000000001,0,-2.7,"SE","Living","Curitiba","Hyp.","C10","02"
"year12",0.0999999999999659,-0.899999999999991,-9.8,5.30000000000001,-9.09999999999999,-1.9,20.9,-4.5,-0.799999999999997,-0.4,0,7.5,-0.1,-0.800000000000001,0,-0.600000000000001,"SW","Dorm. 1","Curitiba","Hyp.","C10","02"
"year13",0.399999999999977,1.89999999999999,-7,-3.1,-6.70000000000002,-3.6,9,-1.9,-0.599999999999994,-0.4,0,9.39999999999998,-0.1,-0.699999999999999,0,-0.791666666666664,"SW","Dorm. 2","Curitiba","Hyp.","C10","02"
"year14",0.600000000000023,-9.40000000000001,-21.7,-27,-18.9,-8.3,1.8,0,-3.59999999999999,10.5,0,44.5000000000001,-0.2,-0.800000000000001,0,-2.61499999999999,"SW","Living","Curitiba","Hyp.","C10","02"
"year15",0,-1.9,15.6,-9.2,-1.3,-0.900000000000006,-2.8,-4.09999999999999,-0.300000000000011,-0.0999999999999996,0.6,-4.5,0,-0.0999999999999996,0.6,0.55555555555555,"W","Dorm. N","Curitiba","Hyp.","C10","02"
"year16",0.600000000000023,5.3,-13,-5.7,-3,-0.5,0.200000000000003,-2.4,0.399999999999991,-0.100000000000001,1.8,9.80000000000001,0,0.4,1.8,-1.21111111111111,"W","Dorm. S","Curitiba","Hyp.","C10","02"
"year17",0.299999999999955,-2.70000000000002,24.7,-65.7,-4.5,-53.3,1.19999999999999,-9,-0.5,24.5,0,13.7,0.1,-0.800000000000001,0,-0.920000000000002,"W","Living","Curitiba","Hyp.","C10","02"
"year18",0,-10.2,10.7,-19.4,-4.40000000000001,-4.90000000000001,-3.59999999999999,-6.5,-0.4,-0.799999999999997,0,21.7,0,0.2,0,-2.41111111111113,"E","Dorm. N","Rio de Janeiro","Hyp.","C10","02"
"year19",0,-6.90000000000003,-17.9,-22.8000000000001,-5.5,-5.90000000000001,-4.89999999999998,-6.40000000000001,-0.200000000000001,-1.2,0,47.3999999999999,0,1.1,0,-5.43333333333334,"E","Dorm. S","Rio de Janeiro","Hyp.","C10","02"
"year20",0.0999999999999091,-20.8,-0.0999999999999659,-136.3,-9.59999999999999,-16.8,-3.80000000000001,-106.1,-1.8,43.3,0,87.6999999999998,-0.1,-0.5,0,-5.93333333333334,"E","Living","Rio de Janeiro","Hyp.","C10","02"
"year21",0.100000000000023,-11.5,9.10000000000002,-63,-42.2,-2.30000000000001,-3.79999999999995,-14.6,0.199999999999999,-2.8,0,72.8000000000002,0.1,0.3,0,-6.02500000000001,"NE","Dorm. 1","Rio de Janeiro","Hyp.","C10","02"
"year22",0.0999999999999659,-11.8,6.69999999999999,-54.1999999999999,-24.7,-20,-3.29999999999998,-6.30000000000001,0,-2.7,0,66.9000000000001,0.0999999999999999,0.2,0,-5.54166666666666,"NE","Dorm. 2","Rio de Janeiro","Hyp.","C10","02"
"year23",0.199999999999932,-22.1,-138.7,-178.1,-118.2,0,-17.9,-16.3,-1.2,36.9,0,269.4,-1.6,-0.8,0,-13.605,"NE","Living","Rio de Janeiro","Hyp.","C10","02"
"year24",0.100000000000023,-12.2,12.6,-50.0999999999999,-40.5,-3.69999999999999,-3.89999999999998,-2,0,-0.799999999999997,0,54,0.1,0.2,0,-4.48333333333329,"NW","Dorm. 1","Rio de Janeiro","Hyp.","C10","02"
"year25",0.0999999999999659,-12.3,11.5,-40.5,-23.9,-8,-3.5,-5.09999999999999,-0.299999999999999,-0.799999999999997,0,45.8999999999999,0.0999999999999999,0.1,0,-3.80000000000001,"NW","Dorm. 2","Rio de Janeiro","Hyp.","C10","02"
"year26",0.100000000000023,-20.9,25.2,-130.3,-103.9,-4.10000000000002,-8.30000000000001,0,-0.699999999999996,46.2,0,54.0999999999999,-1.6,-1.2,0,-2.68000000000001,"NW","Living","Rio de Janeiro","Hyp.","C10","02"
"year27",0.100000000000023,-11.1,-20.2,5.89999999999998,-9.90000000000001,-8.30000000000001,29.5,-5.39999999999998,-0.7,-1.2,0,27.8,0.4,-3.2,0,-0.941666666666663,"SE","Dorm. 1","Rio de Janeiro","Hyp.","C10","02"
