"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year30",393.2,279.8,149.4,622.1,115.3,116.3,231.7,158.9,-2.2,28.4,0,-1457.4,2.1,-9.8,0,133.508333333333,"SW","Dorm. 1","Rio de Janeiro","Hyp.","TV","Base"
"year31",393.3,272.4,146.6,609.1,76.8,196.3,172.3,163.8,-1.4,28.3,0,-1436.5,2.4,-9.1,0,131.8,"SW","Dorm. 2","Rio de Janeiro","Hyp.","TV","Base"
"year32",786.7,558.8,299.6,908,202.8,205,289.1,0,14.9,115,0,-2712.3,15.5,-8.1,0,159.4,"SW","Living","Rio de Janeiro","Hyp.","TV","Base"
"year33",382.4,345.8,172.2,743.7,158.2,229.7,154,201.8,2.1,37.1,0,-1637.8,1.4,-4.9,0,195.088888888889,"W","Dorm. N","Rio de Janeiro","Hyp.","TV","Base"
"year34",383.1,229.3,110.7,559.4,85.5,150.8,138,185.1,-5.4,33.6,0,-1293.7,1.5,-12.5,0,158.044444444444,"W","Dorm. S","Rio de Janeiro","Hyp.","TV","Base"
"year35",761.5,721.6,365.9,1273.3,201,397.2,238.5,436.6,44.4,176.7,0,-3390.3,0.8,-4.2,0,252.293333333333,"W","Living","Rio de Janeiro","Hyp.","TV","Base"
"year36",385,209.9,96.1,296.8,86,43.5,33.5,133.9,-46.7,20.1,0.2,-931.2,0.6,-11.1,0.2,113.644444444444,"E","Dorm. N","São Paulo","Hyp.","TV","Base"
"year37",388,124.1,48.1,172.6,-18.4,35.9,77.1,78,-50,19.4,0.5,-676.6,0.1,-22.9,0.5,84.0888888888889,"E","Dorm. S","São Paulo","Hyp.","TV","Base"
"year38",762.3,463.3,229.2,695.8,121.9,170.2,156.3,247.5,-52.7,107.4,0,-2205.6,0.6,-17.7,0,169.506666666667,"E","Living","São Paulo","Hyp.","TV","Base"
"year39",393.9,306.2,149.1,446.3,156.4,141.7,56.6,91.6,-60.5,22.8,0,-1227,1,-12,0,110.616666666667,"NE","Dorm. 1","São Paulo","Hyp.","TV","Base"
"year40",393.4,311.2,154.5,506.4,120.7,138,39.6,208.1,-58.8,22.3,0,-1298.9,1.1,-11.4,0,116.858333333333,"NE","Dorm. 2","São Paulo","Hyp.","TV","Base"
"year41",786.9,405.1,223.4,844.9,228.5,0,176.2,228.9,-53.3,119.9,0,-2361.9,5.3,-12.8,0,134.915,"NE","Living","São Paulo","Hyp.","TV","Base"
"year42",393.8,311.8,152.7,467.6,158.7,109.4,57.8,141.7,-61,28.3,0,-1265.6,1,-12.1,0,113.766666666667,"NW","Dorm. 1","São Paulo","Hyp.","TV","Base"
"year43",393.4,319.5,159.5,534.4,123,208.1,40.5,162.7,-59.5,27.2,0,-1347.5,1.1,-11.6,0,120.816666666667,"NW","Dorm. 2","São Paulo","Hyp.","TV","Base"
"year44",786.4,761.2,379.1,985.2,269.5,265.9,207.2,0,-59.5,136.9,0,-3006,5.3,-15,0,167.71,"NW","Living","São Paulo","Hyp.","TV","Base"
"year45",395.7,166.9,78.4,269.3,-15.6,85.2,133.7,66,-64.1,15.9,0,-833.3,0.2,-24.2,0,77.0166666666667,"SE","Dorm. 1","São Paulo","Hyp.","TV","Base"
"year46",394.7,169.3,82.6,299.8,-12.5,93.9,101.1,117.3,-63.6,15.9,0,-870.5,0.2,-23.6,0,80.5416666666667,"SE","Dorm. 2","São Paulo","Hyp.","TV","Base"
"year47",787.7,388.2,195,533.6,53.1,0,196,141.8,-83.8,78.9,0,-1888.2,2,-28.4,0,111.155,"SE","Living","São Paulo","Hyp.","TV","Base"
