"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year",388.8,43.9,51.2,0.8,28.1,-56,-27.7,56.4,-70.4,6.3,0,-395.2,0.1,-14.1,0,51.4111111111111,"E","Dorm. N","Curitiba","Hyp.","TV","Base"
"year1",392.3,80.5,2.6,-89,-85.7,-58.8,28.8,26.8,-78.4,7.2,0,-300.2,0.1,-12.6,0,39.5888888888889,"E","Dorm. S","Curitiba","Hyp.","TV","Base"
"year2",763.4,177.1,131.6,285,59.8,11.3,83.6,130.3,-102.9,55.6,0,-1297.7,0.3,-22.8,0,107.446666666667,"E","Living","Curitiba","Hyp.","TV","Base"
"year3",396.1,49.2,95.4,132.5,58.9,59.3,-26.4,40.7,-94.4,10.6,0,-562.8,0.3,-17.4,0,53.4333333333333,"NE","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year4",395.1,42.6,104.6,190.9,47.3,63.6,-16.9,96.9,-92.1,10.5,0,-626.6,0.3,-16.2,0,59.1416666666667,"NE","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year5",787.6,243.3,137.9,498.6,141,0,74.5,148.1,-114.5,77.1,0,-1629.5,1.2,-19.7,0,97.105,"NE","Living","Curitiba","Hyp.","TV","Base"
"year6",395.9,47.5,99.9,145.3,60.1,48.2,-25.5,62.5,-94.6,13.6,0,-581.8,0.3,-17.4,0,55.05,"NW","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year7",395,40.9,109,200.6,47.9,97.9,-16.6,71.3,-92.4,12.1,0,-641.1,0.3,-16.2,0,60.3333333333333,"NW","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year8",787.3,230.5,283.1,556,157.1,164.4,88.6,0,-115.7,83.7,0,-1819.7,1.2,-20.5,0,106.955,"NW","Living","Curitiba","Hyp.","TV","Base"
"year9",398.9,94.7,26.3,7.6,-105.8,29.4,56.6,27.3,-104.8,6.5,0,-411.3,0.1,-15.5,0,39.9333333333333,"SE","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year10",397.3,82.6,35.2,58.4,-74.8,39.1,43.8,50.3,-103.8,6.4,0,-458.5,0.1,-14.5,0,44.35,"SE","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year11",788.8,228.1,103.5,194,-68.9,0,107.1,78.8,-153.1,43.1,0,-1192,0.4,-19.4,0,74.35,"SE","Living","Curitiba","Hyp.","TV","Base"
"year12",398.8,94.3,27.5,13.4,-105,27.7,57.2,33.5,-104.7,6.5,0,-418,0.1,-15.5,0,40.5416666666667,"SW","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year13",397.3,82.5,35.3,58.6,-74.8,50.4,43.8,39.1,-103.8,6.4,0,-458.7,0.1,-14.5,0,44.3666666666667,"SW","Dorm. 2","Curitiba","Hyp.","TV","Base"
