"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.2","-67.5","21.2","11.4","6","11.1","8.6","12.3","16.2","21.9","-0.3","2.6","4.3","30.4","10.3","0","46.8","53.2","02","linear","ref","5","corner","ne","dorm1","curitiba"
"57.7","-76.5","23.2","12.2","12.3","14","9","15.5","40","9","-0.2","3.2","4.6","29.2","10.8","0","42","58","02","linear","ref","5","corner","ne","dorm2","curitiba"
"41.6","-144.3","23.7","14","14.4","10.9","11.8","13.1","45","5.2","0.2","4.4","13.9","29.5","10.2","6.1","27.9","66","02","linear","ref","5","corner","ne","liv","curitiba"
"54.1","-103.2","20.3","10.7","5.6","12","8","8.4","16","18","-0.5","2.7","6.1","30.3","9.5","0","45.8","54.2","02","linear","ref","5","corner","nw","dorm1","curitiba"
"57.6","-117.8","23.1","11.8","12.8","16.2","8.4","13.7","40.7","10.4","-0.4","3.2","6.7","29.1","10.5","0","40.2","59.8","02","linear","ref","5","corner","nw","dorm2","curitiba"
"41","-118","20.9","11.7","12.6","11.4","9.8","8.5","38.8","3.5","-0.3","3.7","8.9","29.4","9.5","7.1","25.8","67.1","02","linear","ref","5","corner","nw","liv","curitiba"
"54.2","-52.1","16.4","10.9","2.8","11.6","10.4","9.3","12.5","21.6","-1.2","2.2","3.3","30.5","9.5","0","49.1","50.9","02","linear","ref","5","corner","se","dorm1","curitiba"
"57.7","-57.6","16.3","11.1","3.1","10.4","10.2","12.1","31.4","4.4","-1.1","2.6","3.5","29.3","10.5","0","46","54","02","linear","ref","5","corner","se","dorm2","curitiba"
"41.9","-137.5","21.9","14","9.6","10.4","13.2","11.9","40.1","5","0.1","3.9","13.8","29.5","10.3","5.4","31.6","63.1","02","linear","ref","5","corner","se","liv","curitiba"
"54.1","-93.1","15.2","10.1","2.2","8.9","9.8","8.7","12.2","17.4","-1.3","2.3","5.7","30.5","9.9","0","48.1","51.9","02","linear","ref","5","corner","sw","dorm1","curitiba"
"57.7","-103.4","16","10.6","2.5","12.8","10.7","10","32","3.9","-1.3","2.6","6","29.3","10.8","0","43.2","56.8","02","linear","ref","5","corner","sw","dorm2","curitiba"
"41.3","-105.9","18.6","11.5","7.3","9.9","11.1","7.7","32.9","3.1","-0.5","3.1","8.3","29.6","10","5.8","29.7","64.5","02","linear","ref","5","corner","sw","liv","curitiba"
"43.9","-100.6","14","8","0.3","8.3","9.1","8.6","21","5.3","-1.1","1.8","4.6","28.6","11","0","38.7","61.3","02","linear","ref","5","middle","ne","dorm1","curitiba"
"56.4","-133.2","21.2","10","12.9","11.7","9.5","9.7","34.3","9.5","-1.1","3","6","29","11.1","0","37","63","02","linear","ref","5","middle","ne","dorm2","curitiba"
"44.4","-107","20.4","10.1","10.8","9.7","7.5","6.6","30.6","4","-0.9","3.2","4.9","29.1","11.1","9.7","19.7","70.6","02","linear","ref","5","middle","ne","liv","curitiba"
"43.9","-99.9","14","8","0.3","8.5","9","8.3","20.8","5.3","-1.1","1.8","4.5","28.6","11","0","38.6","61.4","02","linear","ref","5","middle","nw","dorm1","curitiba"
"56.3","-132.3","21.2","9.9","12.8","9.6","9.4","11.7","34.1","9.4","-1.2","3","6","29","11.1","0","37","63","02","linear","ref","5","middle","nw","dorm2","curitiba"
"44.4","-105.8","20.3","10.1","10.6","6.5","7.5","9.7","30.3","4","-0.9","3.1","4.9","29.1","11.1","9.7","19.7","70.6","02","linear","ref","5","middle","nw","liv","curitiba"
"44.1","-79.8","9.4","7.7","3.6","5.7","-4.6","5.3","9.1","0.9","-1.7","1.9","4","28.5","10.6","0","45.4","54.6","02","linear","ref","5","middle","se","dorm1","curitiba"
"56.6","-108.8","13.6","9.3","2.4","8.5","9.1","6.2","23.8","2.4","-1.7","2.2","5.3","29","10.7","0","42.7","57.3","02","linear","ref","5","middle","se","dorm2","curitiba"
"45.1","-87","15.8","9.7","3.7","7.2","8.4","4.9","23.1","1.1","-1.3","2.4","4.3","29.2","10.8","6.3","28.9","64.8","02","linear","ref","5","middle","se","liv","curitiba"
"44.1","-80.8","9.4","7.7","3.5","5.3","-4.4","5.7","9.2","0.9","-1.8","1.9","4","28.6","10.6","0","45.1","54.9","02","linear","ref","5","middle","sw","dorm1","curitiba"
"56.6","-108.6","13.6","9.3","2.4","6.3","9.2","8.4","23.9","2.4","-1.6","2.1","5.3","29","10.7","0","42.7","57.3","02","linear","ref","5","middle","sw","dorm2","curitiba"
"45.1","-86.6","15.7","9.7","3.7","4.8","8.2","7.2","22.8","1.1","-1.3","2.4","4.3","29.1","10.8","6.3","29","64.7","02","linear","ref","5","middle","sw","liv","curitiba"
"45.7","-108.4","22","10.6","7","14.5","10.7","13","17.3","27.9","0","2.9","5","35","16.4","29.3","1.3","69.4","02","linear","ref","5","corner","ne","dorm1","rio_de_janeiro"
"48.2","-122.2","23.7","11.6","13.3","14.5","11","17","42.5","11","0.2","3.4","5.4","34","17.3","34.2","0.3","65.5","02","linear","ref","5","corner","ne","dorm2","rio_de_janeiro"
"34.4","-116.9","20.9","11.2","12.9","9.8","10.4","11.7","39.7","5.2","0.1","3.8","8","34.2","17.1","51.5","0","48.5","02","linear","ref","5","corner","ne","liv","rio_de_janeiro"
"45.9","-106.6","21.7","10.6","7.2","13.1","11.3","12.3","17.2","26.6","0.3","2.9","5.5","35.2","16.4","28.3","1.3","70.4","02","linear","ref","5","corner","nw","dorm1","rio_de_janeiro"
"48.4","-118.2","24.1","11.9","13.3","17.7","11.7","14.7","42.7","14.7","0.4","3.4","6","33.8","17.2","33.1","0.3","66.6","02","linear","ref","5","corner","nw","dorm2","rio_de_janeiro"
"34.4","-114.8","20.5","11.1","12.7","11.5","10.6","9.4","39.4","4.8","0.1","3.8","8","34.2","17.1","51.4","0","48.6","02","linear","ref","5","corner","nw","liv","rio_de_janeiro"
