"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.2","-68.5","20.8","9.8","7.7","12.3","8.4","11.6","15.2","24.7","-0.1","2.5","4.2","28.2","10.9","0","43.9","56.1","00","linear","tv","4","corner","ne","dorm1","curitiba"
"57.8","-76.4","22.2","11","11.7","13.3","8.6","15.1","37.8","8.6","0","2.9","4.4","27.4","11.3","0","40.2","59.8","00","linear","tv","4","corner","ne","dorm2","curitiba"
"41.9","-130.7","21.1","9.2","10.7","9.4","9.9","10.6","36","4.6","0.1","4.8","12.6","27.6","10.7","2","29.5","68.5","00","linear","tv","4","corner","ne","liv","curitiba"
"54.2","-102","19.9","9.3","7.3","11.3","7.9","10.4","15","21.9","-0.2","2.6","6","28.2","10.3","0","42.5","57.5","00","linear","tv","4","corner","nw","dorm1","curitiba"
"57.8","-114","22.1","11","12.1","15.6","8.4","13.2","38.6","10.6","-0.2","3.1","6.5","27.2","10.9","0","38.5","61.5","00","linear","tv","4","corner","nw","dorm2","curitiba"
"41.4","-108.5","18.7","8.1","9.5","9","8.5","7.7","31.2","3.5","-0.3","4","8.1","27.6","9.9","1.8","26.9","71.3","00","linear","tv","4","corner","nw","liv","curitiba"
"54.3","-52.7","15.3","7.1","4.2","11.2","8.5","8.4","11.3","21","-1","2","3.2","28.3","10.2","0","47.5","52.5","00","linear","tv","4","corner","se","dorm1","curitiba"
"57.9","-57.7","15","7.3","4","9.2","9","10.9","27.7","5.4","-0.9","2.3","3.4","27.4","10.8","0","44.8","55.2","00","linear","tv","4","corner","se","dorm2","curitiba"
"42.2","-123.4","19.5","8.9","8.3","8.7","12.2","9","33.8","4.5","0.2","4.3","12.4","27.5","10.7","1.2","33.2","65.6","00","linear","tv","4","corner","se","liv","curitiba"
"54.3","-90","14.2","6.6","3.7","8","8","9.3","11","18.1","-1.1","2.1","5.5","28.3","10.5","0","46.2","53.8","00","linear","tv","4","corner","sw","dorm1","curitiba"
