"seed","area","ratio","height","storey","azimuth","shell_wall","abs_wall","shell_roof","abs_roof","wwr_liv","wwr_dorm","u_window","shgc","open_factor","blind","balcony","facade","epw","phft"
1,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.8991628614916
1,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,98.4391171993912
1,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,95.8177321156773
4,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.9330289193303
4,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,98.6624809741248
4,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,96.794901065449
1,118.153125,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,100
1,118.153125,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.5319634703196
1,118.153125,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,97.6522070015221
1,39.665625,1.2850390625,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.9022070015221
1,39.665625,1.2850390625,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,98.4501522070015
1,39.665625,1.2850390625,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,95.8032724505327
1,39.665625,1.2789453125,3.051796875,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.8888888888889
1,39.665625,1.2789453125,3.051796875,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,98.2081430745814
1,39.665625,1.2789453125,3.051796875,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,95.3470319634703
1,39.665625,1.2789453125,3.183828125,1,348.553125,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.9330289193303
1,39.665625,1.2789453125,3.183828125,2,348.553125,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,98.7998477929985
1,39.665625,1.2789453125,3.183828125,3,348.553125,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,96.7842465753425
1,39.665625,1.2789453125,3.183828125,1,97.734375,4,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.6145357686454
1,39.665625,1.2789453125,3.183828125,2,97.734375,4,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,98.1807458143075
1,39.665625,1.2789453125,3.183828125,3,97.734375,4,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,95.9029680365297
1,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.551796875,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.3732876712329
1,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.551796875,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,96.95700152207
1,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.551796875,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,93.5395738203957
1,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.212984375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.9558599695586
1,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.212984375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,98.8957382039574
1,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.212984375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,98.3493150684932
1,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.8490703125,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.2598934550989
1,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.8490703125,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,97.2964231354642
1,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.8490703125,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,94.6826484018265
1,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1793671875,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,99.9128614916286
1,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1793671875,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,98.2686453576865
1,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1793671875,3.5107265625,0.31592578125,0.5895703125,0,0,1,142,95.4783105022831
1,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.7699140625,0.31592578125,0.5895703125,0,0,1,142,99.8805175038052
1,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.7699140625,0.31592578125,0.5895703125,0,0,1,142,98.281202435312
1,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.7699140625,0.31592578125,0.5895703125,0,0,1,142,95.572298325723
1,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.30668359375,0.5895703125,0,0,1,142,99.9216133942161
1,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.30668359375,0.5895703125,0,0,1,142,98.5064687975647
1,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.30668359375,0.5895703125,0,0,1,142,95.9170471841705
1,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.4656640625,0,0,1,142,99.8082191780822
