"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.2","-82.3","23.3","10","10.6","13.9","8.4","11.7","15.6","29","-0.6","2.8","4.8","29.1","10.9","0","40","60","02","linear","sf","2","corner","ne","dorm1","curitiba"
"57.8","-90.4","24.9","11.1","12.9","13.7","8.9","16.9","40.6","8.9","-0.5","3.2","5.1","28.8","11.3","0","37.7","62.3","02","linear","sf","2","corner","ne","dorm2","curitiba"
"41.2","-129.3","21.5","8.9","11.2","8.7","8.8","10.1","34","4.8","-0.2","3.9","11.2","28.5","10.7","5","22.7","72.4","02","linear","sf","2","corner","ne","liv","curitiba"
"54.1","-115","23.1","9.8","10.3","11.5","8.2","13.1","15.4","27.7","-0.7","2.9","6.4","28.9","10.4","0","38.7","61.3","02","linear","sf","2","corner","nw","dorm1","curitiba"
"57.7","-126.5","25","11.2","13.1","17.3","9","13.8","41.3","11.9","-0.6","3.4","6.8","28.6","10.6","0","36.1","63.9","02","linear","sf","2","corner","nw","dorm2","curitiba"
"40.7","-110.8","20.2","8.2","10.4","9.4","8","7.9","31.5","4.2","-0.7","3.5","7.8","28.6","9.4","5.5","20.3","74.2","02","linear","sf","2","corner","nw","liv","curitiba"
"54.2","-62.5","15.9","7","5.4","10.6","8.8","8.2","11","21.9","-1.4","2.1","3.7","28.6","10.4","0","44.8","55.2","02","linear","sf","2","corner","se","dorm1","curitiba"
"57.9","-68","16.2","7.3","5.5","9.2","9.1","11.6","27.9","7.4","-1.4","2.4","3.9","28.4","10.6","0","43.1","56.9","02","linear","sf","2","corner","se","dorm2","curitiba"
"41.7","-116.4","18.6","7.5","7.4","7.5","9.5","8.6","28.7","4.2","-0.2","3.2","10.7","28.5","10.4","3.7","29.1","67.1","02","linear","sf","2","corner","se","liv","curitiba"
"54.2","-97.5","15.5","6.8","5.2","8","8.5","9.7","10.8","20.6","-1.5","2.2","5.7","28.9","10.2","0","43.3","56.7","02","linear","sf","2","corner","sw","dorm1","curitiba"
"57.8","-106.3","16.2","7.4","5.5","12","9.3","9.3","28.6","7.5","-1.5","2.6","6","28.5","10.6","0","41.4","58.6","02","linear","sf","2","corner","sw","dorm2","curitiba"
"41.2","-94.8","17.1","6.7","6.6","7.8","8.7","6.5","26","3.6","-0.7","2.7","7","28.7","10.1","3.6","26.5","69.9","02","linear","sf","2","corner","sw","liv","curitiba"
"44","-110.9","18.1","7.8","10.1","8","9.8","9.9","31.6","6.2","-1.2","2.2","5.2","28.5","11.5","0","34.1","65.9","02","linear","sf","2","middle","ne","dorm1","curitiba"
"56.5","-145","25","10.9","14.9","12.2","12.9","12","39.1","12.9","-1.2","3.5","6.9","29.1","11.4","0","33.4","66.6","02","linear","sf","2","middle","ne","dorm2","curitiba"
"44.2","-115.8","23","10.2","11.8","9.4","8.6","7.5","32.1","5.2","-1","3.4","5.6","28.6","11.3","8.1","15.1","76.8","02","linear","sf","2","middle","ne","liv","curitiba"
"44","-110.5","18.1","7.8","10.1","9.9","9.8","8.1","31.6","6.2","-1.2","2.2","5.2","28.5","11.5","0","34","66","02","linear","sf","2","middle","nw","dorm1","curitiba"
"56.5","-144.4","25","10.9","14.8","12","12.9","12.2","39.1","12.9","-1.3","3.5","6.9","29.1","11.4","0","33.3","66.7","02","linear","sf","2","middle","nw","dorm2","curitiba"
"44.2","-115","22.9","10.1","11.7","7.5","8.6","9.4","32","5.2","-1","3.4","5.6","28.6","11.3","8.1","15.2","76.7","02","linear","sf","2","middle","nw","liv","curitiba"
"44.2","-83.2","11.1","4.1","5.3","4.8","3.8","5.7","16.5","3.1","-1.8","1.7","4.4","27.6","10.6","0","42.3","57.7","02","linear","sf","2","middle","se","dorm1","curitiba"
"56.7","-112.3","15.4","7.1","7.8","8.1","9.8","7.8","25.8","7.8","-1.7","2.3","5.9","28.2","10.5","0","40.7","59.3","02","linear","sf","2","middle","se","dorm2","curitiba"
"45.2","-88.7","16.2","6.5","5.6","6.3","8.1","5.1","22","3.2","-1.3","2.3","4.8","28.2","10.4","3.3","25.8","70.9","02","linear","sf","2","middle","se","liv","curitiba"
