"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.1","-68.5","22.4","11.9","8.2","12.1","8.3","12.6","16.6","24.5","-0.2","2.8","4.3","30.5","10.2","0","45.9","54.1","01","linear","tv","5","corner","ne","dorm1","curitiba"
"57.7","-76.6","24.1","12.5","13","14.5","8.6","16.5","41.8","8.6","-0.1","3.2","4.6","29.6","10.7","0","42","58","01","linear","tv","5","corner","ne","dorm2","curitiba"
"41.5","-144.3","23.7","14","13","10.7","11.3","12.3","42.1","5.3","0.2","5.6","13.9","29.9","10.1","7.2","27.6","65.3","01","linear","tv","5","corner","ne","liv","curitiba"
"54.1","-105.6","21.5","11.1","7.7","12.2","7.6","10.3","16.2","21.5","-0.4","2.8","6.2","30.2","9.5","0","44.5","55.5","01","linear","tv","5","corner","nw","dorm1","curitiba"
"57.6","-118.5","23.9","12.1","13.3","16.9","8.2","14.2","42.1","10.4","-0.3","3.3","6.7","29.5","10.1","0","39.9","60","01","linear","tv","5","corner","nw","dorm2","curitiba"
"41","-118.1","21","11.7","11.4","10.4","9.5","8.7","36.1","3.9","-0.4","4.6","8.9","29.8","9.1","8.5","25.5","65.9","01","linear","tv","5","corner","nw","liv","curitiba"
"54.2","-53.4","16.9","11.1","4.3","11.1","9.6","9.8","13.2","21.6","-1.2","2.4","3.4","30.5","9.6","0","48.1","51.9","01","linear","tv","5","corner","se","dorm1","curitiba"
"57.7","-58.7","17.1","11.3","4.3","10.8","10.6","12.9","32.8","5.8","-1.1","2.7","3.5","29.7","10.3","0","45.3","54.7","01","linear","tv","5","corner","se","dorm2","curitiba"
"41.8","-140.1","22.5","14.2","9.9","10.2","14.4","11.1","40.6","5.1","0.1","5.3","13.8","29.9","10.1","6.5","30.7","62.8","01","linear","tv","5","corner","se","liv","curitiba"
"54.1","-95.6","15.9","10.3","3.7","9.2","9","9.2","12.6","18.5","-1.3","2.4","5.7","30.5","9.8","0","46.8","53.2","01","linear","tv","5","corner","sw","dorm1","curitiba"
"57.6","-105.4","16.8","10.8","3.9","13.1","10.8","10.5","32.9","5.4","-1.4","2.8","6.1","29.7","10.6","0","42.7","57.3","01","linear","tv","5","corner","sw","dorm2","curitiba"
"41.2","-108.1","19.3","11.6","7.9","8.8","12.1","7.9","33.2","3.5","-0.5","4.1","8.4","29.9","9.6","7.3","28.9","63.8","01","linear","tv","5","corner","sw","liv","curitiba"
"43.9","-97.5","14.1","8.2","2.3","7.8","8.3","5.8","19.4","4.8","-1","1.8","4.5","29","10.8","0","39.9","60.1","01","linear","tv","5","middle","ne","dorm1","curitiba"
"56.3","-130.6","22.1","10.4","13.3","11.5","10","10.4","35.2","10","-1","3","5.9","29.4","11","0","37.5","62.4","01","linear","tv","5","middle","ne","dorm2","curitiba"
"44.4","-103","19.8","10","7.1","7.6","7.4","6.9","24.9","4","-0.8","3.9","4.8","29.6","10.8","10.8","20.8","68.3","01","linear","tv","5","middle","ne","liv","curitiba"
"43.9","-97.1","14.1","8.2","2.3","5.7","8.2","7.7","19.2","4.7","-1","1.8","4.5","29","10.8","0","39.8","60.2","01","linear","tv","5","middle","nw","dorm1","curitiba"
"56.3","-130.1","22.1","10.4","13.3","10.4","10","11.5","35.1","10","-1.1","3","5.9","29.5","11","0","37.4","62.6","01","linear","tv","5","middle","nw","dorm2","curitiba"
"44.4","-102.3","19.9","10","7","6.8","7.4","8","25.3","4","-0.8","3.9","4.8","29.6","10.9","10.8","20.8","68.4","01","linear","tv","5","middle","nw","liv","curitiba"
"44","-83.2","10.7","8","4.3","5.6","0.2","5.4","13.8","1.7","-1.8","2.2","4","29","10.5","0","43.7","56.3","01","linear","tv","5","middle","se","dorm1","curitiba"
"56.5","-112.1","14.7","9.5","4.4","8.6","9.9","7.5","26","4.4","-1.7","2.3","5.4","29.5","10.4","0","41.8","58.1","01","linear","tv","5","middle","se","dorm2","curitiba"
"45","-88.9","16","9.6","4.5","6.3","6.5","5.4","20.8","1.9","-1.4","3.3","4.4","29.6","10.4","8.2","28.4","63.4","01","linear","tv","5","middle","se","liv","curitiba"
"44","-84.4","10.7","7.9","4.2","5.3","0.2","5.6","13.7","1.6","-1.8","2.3","4.1","29.1","10.5","0","43.5","56.5","01","linear","tv","5","middle","sw","dorm1","curitiba"
"56.5","-112.2","14.7","9.5","4.4","7.6","10","8.6","26.1","4.4","-1.7","2.3","5.4","29.5","10.4","0","41.8","58.2","01","linear","tv","5","middle","sw","dorm2","curitiba"
"45","-89","16.1","9.6","4.5","5.3","6.5","6.9","21.4","1.9","-1.4","3.3","4.4","29.6","10.4","8.2","28.4","63.4","01","linear","tv","5","middle","sw","liv","curitiba"
"45.5","-113.9","24.2","14.1","9.3","14.5","9.7","13.9","18.6","28.8","0","3.2","5.1","36.4","16","31.3","1.7","66.9","01","linear","tv","5","corner","ne","dorm1","rio_de_janeiro"
"48","-127.2","26.1","14.8","14.9","15.9","10","18.8","47","10","0.1","3.7","5.5","35.8","16.7","35.6","0.7","63.7","01","linear","tv","5","corner","ne","dorm2","rio_de_janeiro"
"33.9","-124.8","22.9","14.7","12.8","10.3","10.8","11.4","40.2","5.1","0.1","5.3","8.3","36","16.4","55.5","0","44.5","01","linear","tv","5","corner","ne","liv","rio_de_janeiro"
"45.6","-114.5","24","14.3","9.5","14","9.9","13.2","18.6","28","0.2","3.2","5.7","36.5","16","30.5","1.8","67.7","01","linear","tv","5","corner","nw","dorm1","rio_de_janeiro"
"48.2","-126.3","26.5","15.3","15.1","19.5","10.5","16.2","47.8","13.5","0.4","3.8","6.1","35.7","16.7","34.9","0.8","64.4","01","linear","tv","5","corner","nw","dorm2","rio_de_janeiro"
"33.8","-122","22.8","14.7","12.5","11.5","10.8","10","40","4.9","0","5.3","8.1","36.2","16.4","55.3","0","44.7","01","linear","tv","5","corner","nw","liv","rio_de_janeiro"
"45.8","-111.7","18.4","13.6","5.3","13.9","11.7","11.1","15.2","26.7","-1","2.9","6.7","36.5","15.5","29.4","2.6","68","01","linear","tv","5","corner","se","dorm1","rio_de_janeiro"
"48.4","-119.7","18.4","13.8","5.2","12.2","12.6","15.3","38.2","7","-1","3.3","7","36","16.1","33.1","1.7","65.2","01","linear","tv","5","corner","se","dorm2","rio_de_janeiro"
"34.3","-111.1","21.3","14.7","9","9.6","13.9","9.8","37.5","4.8","-0.1","4.8","7.1","36.2","16","51.2","0","48.8","01","linear","tv","5","corner","se","liv","rio_de_janeiro"
"45.9","-104.4","18.1","14","5.6","11.2","11.6","12.7","15.2","25.9","-0.8","2.9","6.8","36.5","15.5","28.4","2.7","68.9","01","linear","tv","5","corner","sw","dorm1","rio_de_janeiro"
"48.6","-111","18.6","14.3","5.6","15.6","12.6","12.4","38.5","7.7","-0.7","3.3","7.2","35.8","16","32.2","1.7","66.1","01","linear","tv","5","corner","sw","dorm2","rio_de_janeiro"
"34.4","-113.8","21.5","15.2","9.3","10.3","14.2","9.5","38.7","4.7","-0.1","5","8.1","36.2","16","50.7","0","49.3","01","linear","tv","5","corner","sw","liv","rio_de_janeiro"
"36.8","-106.7","16.9","11.6","5.4","9.4","11.3","8.5","27.6","7.1","-0.4","2.2","4.6","35.1","16.5","34.5","1","64.6","01","linear","tv","5","middle","ne","dorm1","rio_de_janeiro"
"47","-142.3","25.6","14","16","13.8","13.9","12.6","42.4","13.9","-0.2","3.6","6.1","35.4","16.7","36.3","0.7","63","01","linear","tv","5","middle","ne","dorm2","rio_de_janeiro"
"36.5","-113.7","22.9","13.8","9.6","10.2","9.8","8.4","32.2","5.8","-0.1","5","4.9","35.7","16.4","59.6","0","40.4","01","linear","tv","5","middle","ne","liv","rio_de_janeiro"
"36.8","-106.6","16.9","11.7","5.4","8.6","11.3","9.4","27.7","7.1","-0.4","2.2","4.6","35.1","16.5","34.4","1","64.6","01","linear","tv","5","middle","nw","dorm1","rio_de_janeiro"
"47","-142.1","25.6","14.1","16","12.6","14","13.8","42.4","14","-0.2","3.6","6","35.4","16.7","36.2","0.7","63.1","01","linear","tv","5","middle","nw","dorm2","rio_de_janeiro"
"36.5","-113.3","22.8","13.8","9.6","8.4","9.8","9.9","31.9","5.8","-0.1","5","4.9","35.6","16.4","59.4","0","40.6","01","linear","tv","5","middle","nw","liv","rio_de_janeiro"
"37.2","-91.5","12.7","11.2","6.2","6.8","2.3","7.8","20.1","3","-1.4","3","4.3","35.3","15.9","31.6","2.3","66.1","01","linear","tv","5","middle","se","dorm1","rio_de_janeiro"
"47.6","-120.3","16.8","12.9","6.7","10.3","12.1","9.2","31.6","6.7","-1.1","2.8","5.6","35.8","15.9","33.2","2.1","64.7","01","linear","tv","5","middle","se","dorm2","rio_de_janeiro"
"37.3","-97.9","18.5","13.1","6.1","8.8","8.9","6.7","27.5","3","-0.9","4.3","4.6","35.9","15.7","51.5","0","48.5","01","linear","tv","5","middle","se","liv","rio_de_janeiro"
"37.2","-91.2","12.7","11.2","6.2","7.8","2.3","6.8","20.1","3","-1.4","3","4.3","35.3","15.9","31.6","2.3","66.1","01","linear","tv","5","middle","sw","dorm1","rio_de_janeiro"
"47.6","-120.1","16.7","12.9","6.8","9.2","12.1","10.3","31.6","6.8","-1.1","2.8","5.6","35.8","15.9","33.2","2.1","64.7","01","linear","tv","5","middle","sw","dorm2","rio_de_janeiro"
"37.3","-97.6","18.4","13.1","6.1","6.6","8.9","8.4","27.1","3","-0.9","4.3","4.6","35.9","15.7","51.3","0","48.7","01","linear","tv","5","middle","sw","liv","rio_de_janeiro"
"52.2","-60.4","20.5","9.9","7.2","10.9","7.5","11.4","15","21.9","-0.6","2.5","4.8","32.4","10.9","2.8","25.6","71.6","01","linear","tv","5","corner","ne","dorm1","sao_paulo"
"55.6","-66.9","22.4","10.6","12","13.3","7.8","15.1","38.4","7.8","-0.5","3","5.1","31.8","11.5","3.5","23.1","73.4","01","linear","tv","5","corner","ne","dorm2","sao_paulo"
"39.2","-131.6","22.1","11.8","12.2","9.8","10.3","11.3","38.9","4.7","0","5.1","13.8","31.7","11","18.6","10.6","70.7","01","linear","tv","5","corner","ne","liv","sao_paulo"
"52","-101.4","19.1","9","6.6","10.6","6.8","8.7","14.2","18.5","-0.8","2.5","6.8","32.5","11.3","2.8","23.8","73.4","01","linear","tv","5","corner","nw","dorm1","sao_paulo"
"55.3","-113.5","21.8","10.1","12","15.3","7.5","12.7","37.8","9.6","-0.7","3","7.3","31.8","12","3.9","20.9","75.2","01","linear","tv","5","corner","nw","dorm2","sao_paulo"
"38.6","-97.8","18.1","9.1","9","8.8","8","7.2","30","3.1","-0.7","3.8","7","31.8","11.6","21","9.1","69.9","01","linear","tv","5","corner","nw","liv","sao_paulo"
"52.3","-76.3","15.6","9.6","4","10.8","9.4","9.1","12.4","20.9","-1.4","2.3","6.4","31.5","10.8","2.4","27.3","70.4","01","linear","tv","5","corner","se","dorm1","sao_paulo"
"55.6","-81.7","16","9.9","4","10.2","10.4","12.5","31.6","5.5","-1.4","2.6","6.8","30.8","11.4","3","25.1","71.9","01","linear","tv","5","corner","se","dorm2","sao_paulo"
"39.3","-105","19.4","11","8","8.3","12","9","33.3","4","-0.4","4.2","10.3","31.1","11.1","16.9","12.8","70.4","01","linear","tv","5","corner","se","liv","sao_paulo"
"52.4","-105.7","16.1","10.3","4.6","9.8","10.1","10.4","13.3","21.6","-1.1","2.6","10","31.6","10.7","2.4","28.2","69.4","01","linear","tv","5","corner","sw","dorm1","sao_paulo"
