"model","nvar","mae","rmse","rsquared"
"lm",10,15.1712907211684,18.760165700285,0.384620807869215
"lm",13,15.1808065477273,18.7726157885825,0.383800088080097
"lm",20,15.1986746811901,18.8059126714493,0.381594791340398
"brnn",10,6.58625159785053,8.58571301152159,0.871139970839034
"brnn",10,6.54502069042769,8.51320469337447,0.873295210215307
"brnn",10,6.58819020915329,8.57193888088795,0.871547218727015
"brnn",10,6.38626714178004,8.31968406904786,0.878869094249734
"brnn",10,6.55686685543248,8.51004666041056,0.873395889604841
"brnn",10,6.58163481496741,8.55099780083675,0.872177079965005
"brnn",10,6.56975450675513,8.53936028160214,0.8725255502823
"brnn",10,6.15001630638178,7.99978371742468,0.888300018144165
"brnn",10,6.5399233974823,8.48856553995803,0.873843837067297
"brnn",10,6.54965303716522,8.51503427398009,0.873249204515512
"brnn",10,6.49158332781963,8.41885216758536,0.876107530420284
"brnn",10,6.53020987172073,8.47768635185536,0.874361769906946
"brnn",10,6.54223040965636,8.4831485581712,0.874203361380105
"brnn",10,6.53193307601815,8.47787452688701,0.874351295833189
"brnn",10,6.51746293930451,8.44732618083391,0.875256937234544
"brnn",10,6.55383230032977,8.51528792553304,0.87325683460179
"brnn",10,6.4775692391894,8.41356994108538,0.876259860684141
"brnn",10,6.47887511273987,8.41263517035946,0.876272241353144
"brnn",10,6.30999686054141,8.18346109801271,0.882812258997752
"brnn",10,6.43612739163004,8.36729761187885,0.877611309637045
"brnn",10,6.45399870883773,8.37499135120603,0.877388024281712
"brnn",13,6.20704210748126,8.1390978072098,0.884186896925136
"brnn",13,6.20511608464282,8.13846197660314,0.884213499718186
"brnn",13,6.16907732492565,8.09490608553319,0.885446038483942
"brnn",13,6.08101556069004,7.99698008146495,0.888212855143938
"brnn",13,6.08182121968059,8.00829402608789,0.887901679608878
"brnn",13,6.11929910239021,8.02535698931677,0.887422531574374
"brnn",13,6.11896193428875,8.03240450396241,0.887223202257255
"brnn",13,6.09463626673515,8.00220288572726,0.88805762658726
"brnn",13,6.07712190049096,7.97987687462913,0.88868175864008
"brnn",13,6.03987987520499,7.95281871344718,0.889596892356198
"brnn",13,6.02820791558937,7.92176633248481,0.890314607219405
"brnn",13,6.01846036478039,7.8858580948377,0.891128336161162
"brnn",13,6.00420937807271,7.8969303346359,0.890991069315213
"brnn",13,6.04256943960517,7.90487582631438,0.890769522366744
"brnn",13,5.94986224208188,7.80507348558715,0.893506411512448
"brnn",13,5.86836889100435,7.7497449244103,0.895025495740591
"brnn",13,6.00229447139537,7.8587672479206,0.89203943071216
"brnn",13,5.8124126521851,7.62075079153716,0.89846563638222
"brnn",13,5.95192715185972,7.79915075901955,0.893686126046658
"brnn",13,5.92220582419835,7.77927308455876,0.894224413422784
"brnn",13,5.81980976871058,7.67108823648793,0.897151180540171
"brnn",20,5.88498623942609,7.80245902341511,0.893566011277915
"brnn",20,5.8897918585489,7.78473689482358,0.894051821908625
"brnn",20,5.82382690854517,7.73801245232712,0.895331409761968
"brnn",20,5.83748588673832,7.71403623655315,0.895969448809331
"brnn",20,5.78405503889607,7.66295885238851,0.897338222623402
"brnn",20,5.77149803477303,7.65980523487186,0.897433757571293
"brnn",20,5.73215112394613,7.58717389207437,0.899357034108605
"brnn",20,5.75524388106511,7.61559028992878,0.898615540918552
"brnn",20,5.73721510307426,7.57787091616135,0.899613050326491
"brnn",20,5.73879350418106,7.58681539408538,0.899381832100723
"brnn",20,5.7114392847004,7.54794190896172,0.900395758377296
"brnn",20,5.78992996408419,7.61323300953473,0.898694777160714
"brnn",20,5.65989724358869,7.50410982962457,0.901551137316183
"brnn",20,5.67223734282389,7.47337985679307,0.902361467358216
"brnn",20,5.63823376786773,7.45054984254985,0.902962661281602
"brnn",20,5.59735380912102,7.41088740582154,0.904001027500077
"brnn",20,5.62193422558968,7.43341726813626,0.903429686018936
"brnn",20,5.58159126120718,7.38468689092726,0.904676114943331
"brnn",20,5.56178194091795,7.34169677320334,0.905792281399415
"brnn",20,5.53973427693639,7.31339309738488,0.906507405154446
"brnn",20,5.48816352682817,7.26979940446623,0.907623646439845
"rf",10,10.9436850574718,13.4447493639215,0.849655319511374
"rf",10,3.03656435054359,4.55497397145344,0.964962448654697
"rf",10,2.51819035031453,3.87226731191112,0.974034045913763
"rf",10,2.40330444990608,3.73253770569013,0.975742882413435
"rf",10,2.42692135340448,3.81361428195423,0.974629702134365
"rf",10,2.4160314617476,3.80694572700803,0.974699558284519
"rf",10,2.41624159455708,3.80760633732969,0.97469054350188
"rf",10,2.41764840999252,3.81124189822367,0.974641066662286
"rf",13,10.910824300638,13.4794277865831,0.866917970550264
"rf",13,2.75650296456574,4.2264844059707,0.970015700326915
"rf",13,2.28804493379256,3.58278965760231,0.977896436687634
"rf",13,2.1728072703851,3.43434430600917,0.979545025526833
"rf",13,2.16983638165487,3.45766911559312,0.979201818051432
"rf",13,2.19469184755042,3.52753227745959,0.978310669781275
"rf",13,2.19269921146947,3.52352503261269,0.978361659290856
"rf",13,2.19392275742512,3.52452448295825,0.978349664055333
"rf",20,9.56788128757483,11.9451554381368,0.899775748135344
"rf",20,2.79978734055009,4.22001883831126,0.970605076949065
"rf",20,2.27394522333467,3.56170670076402,0.978300924205235
"rf",20,2.1703281991719,3.43482727710668,0.979663735304787
"rf",20,2.14986910131994,3.41262510864204,0.979885946579546
"rf",20,2.13895693857035,3.41414192437081,0.97981355802787
"rf",20,2.16403928914945,3.48707731989903,0.978860371902624
"rf",20,2.17615686304751,3.51131381013094,0.978551428781676
"xgbt",10,2.92524464261684,3.9909224236864,0.972282012548201
"xgbt",10,2.75910800819124,3.78797649433293,0.975003947301699
"xgbt",10,2.75376497300177,3.83254204991256,0.974359440581496
"xgbt",10,2.76309459132569,3.88280386945909,0.973623314835554
"xgbt",10,2.46513456717267,3.64900432426551,0.976760952610476
"xgbt",10,2.31503329803326,3.45509174354554,0.979140076257798
"xgbt",10,2.57236615181194,3.93205081494383,0.972971920926695
"xgbt",10,2.52334998362761,3.84035626051246,0.974220137502505
"xgbt",10,2.43867607402835,3.72260731143065,0.975827387452931
"xgbt",10,2.43132883945593,3.7258289402527,0.975701411771334
"xgbt",10,2.40766311662666,3.67317834957402,0.976414345374135
"xgbt",10,2.43711907521987,3.71378106337743,0.975887069695378
"xgbt",10,2.61631021005453,3.68339428517164,0.976346669375751
"xgbt",10,2.47339157607314,3.50174035822084,0.978601679699783
"xgbt",10,2.51029542061235,3.60415151554415,0.97730237345764
"xgbt",10,2.52889498757682,3.66726338860882,0.97644115479824
"xgbt",10,2.38046748749899,3.58063475509323,0.977608017361594
"xgbt",10,2.25344577067426,3.41091304333926,0.979658692677612
"xgbt",10,2.531463018426,3.9007673355324,0.973399059000721
"xgbt",10,2.48598636635406,3.81421871897357,0.974569395930514
"xgbt",10,2.43515524340455,3.72306721067264,0.975829093997439
"xgbt",10,2.43184586041654,3.73323407841113,0.975613214979711
"xgbt",10,2.41391056339182,3.68384655884303,0.976279203784152
"xgbt",10,2.44848628785451,3.72967228861878,0.97568337929924
"xgbt",10,2.44797717847289,3.52644531497253,0.978292103936188
"xgbt",10,2.329610690401,3.37114213442812,0.980151008309431
"xgbt",10,2.38522178618955,3.49384428227576,0.978663949007444
"xgbt",10,2.42491142660915,3.58024894676029,0.977539504090816
"xgbt",10,2.35128587876164,3.55874555147171,0.977879064488991
"xgbt",10,2.23662034662089,3.40163008082615,0.979766197259805
"xgbt",10,2.51663194686067,3.8897838365223,0.973548375525986
"xgbt",10,2.4761025141556,3.8106627027778,0.974619215886296
"xgbt",10,2.4406232898994,3.73190052024554,0.975718890529559
"xgbt",10,2.44061527283612,3.74438404036815,0.97547434560676
"xgbt",10,2.42556547561531,3.69826715950596,0.976094520577569
"xgbt",10,2.45959973138215,3.7436428926824,0.975502853872825
"xgbt",10,2.36590474188896,3.45614854446864,0.979136800186539
"xgbt",10,2.2549043876014,3.30809032500289,0.980879320585712
"xgbt",10,2.32556155210618,3.44478011278472,0.979255719350558
