"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.1","-70.8","21","11.9","8.4","12.9","8.9","12.6","16.6","26.3","-0.1","2.8","4.2","29","10.8","0","42.1","57.9","04","linear","tm","5","corner","ne","dorm1","curitiba"
"57.7","-77.4","22.4","12.4","12.5","14.1","9.2","16.1","40.3","9.2","-0.1","3.2","4.5","28.7","11.1","0","40.5","59.5","04","linear","tm","5","corner","ne","dorm2","curitiba"
"41.7","-144.7","23","14.1","14.3","11.3","11.8","12.9","44.3","5.9","0.2","4.4","13.7","29.1","10.4","5.1","28.2","66.7","04","linear","tm","5","corner","ne","liv","curitiba"
"54","-108.3","20.1","11.1","7.9","12.2","8.3","10.9","16.2","23.1","-0.3","2.8","6.1","28.8","10.6","0","40.8","59.2","04","linear","tm","5","corner","nw","dorm1","curitiba"
"57.6","-119.6","22.4","12","13","16.7","8.8","13.9","41.1","11.2","-0.3","3.3","6.7","28.6","10.8","0","38.5","61.5","04","linear","tm","5","corner","nw","dorm2","curitiba"
"41.2","-118.9","20.4","11.9","12.5","11.4","9.8","9.1","38.4","4.4","-0.3","3.7","8.8","29","9.6","5.8","26.1","68.1","04","linear","tm","5","corner","nw","liv","curitiba"
"54.1","-54.9","16.1","11.4","5","12.3","10.5","9.9","13.2","24.4","-1","2.4","3.2","29","10.5","0","45.3","54.7","04","linear","tm","5","corner","se","dorm1","curitiba"
"57.8","-58.3","15.5","11.4","4.8","10.6","10.2","12.6","31.6","6.6","-1","2.6","3.5","28.7","10.8","0","45.1","54.9","04","linear","tm","5","corner","se","dorm2","curitiba"
"42","-137.3","20.7","14.1","10","10.5","13","11.7","39.5","5.7","0.2","4","13.6","29","10.5","4.3","32","63.7","04","linear","tm","5","corner","se","liv","curitiba"
"54.1","-97","14.9","10.5","4.3","9.3","9.8","10.2","12.7","20.8","-1.2","2.4","5.6","28.9","10.6","0","43.1","56.9","04","linear","tm","5","corner","sw","dorm1","curitiba"
"57.7","-104.9","15.4","10.9","4.4","13.1","10.7","10.3","32.3","6.1","-1.3","2.7","6.1","28.8","11.1","0","41.8","58.2","04","linear","tm","5","corner","sw","dorm2","curitiba"
"41.5","-106.1","17.5","11.6","7.7","9.8","10.9","8","32.6","3.9","-0.5","3.1","8.2","29","10.2","4.6","29.9","65.5","04","linear","tm","5","corner","sw","liv","curitiba"
"43.9","-104.8","14.7","8.5","4.2","8.4","9.2","9.3","25.7","5.3","-1","2","4.6","28.3","11.3","0","36.1","63.9","04","linear","tm","5","middle","ne","dorm1","curitiba"
"56.3","-137.3","21","10.2","13.5","11.9","10.6","10.5","36","10.6","-1.1","3.1","6.1","28.6","11.4","0","34.9","65.1","04","linear","tm","5","middle","ne","dorm2","curitiba"
"44.4","-109.8","20.6","10.3","11.2","9.8","8.2","6.9","31.4","4.6","-0.9","3.3","5","28.9","11.3","8.5","19.7","71.9","04","linear","tm","5","middle","ne","liv","curitiba"
"43.9","-104","14.7","8.5","4.1","9.3","9.1","8.4","25.6","5.3","-1.1","2","4.6","28.3","11.3","0","36","64","04","linear","tm","5","middle","nw","dorm1","curitiba"
"56.3","-136.4","21","10.2","13.5","10.5","10.5","11.8","35.8","10.5","-1.1","3.1","6","28.6","11.4","0","34.9","65.1","04","linear","tm","5","middle","nw","dorm2","curitiba"
"44.4","-108.6","20.5","10.3","11","6.8","8.1","9.7","31","4.6","-0.9","3.3","4.9","28.9","11.3","8.4","19.6","71.9","04","linear","tm","5","middle","nw","liv","curitiba"
"44.1","-82.7","8.8","8","4.7","5.8","-1.5","5.9","12.8","2","-1.7","2","4","28.2","11","0","42.9","57.1","04","linear","tm","5","middle","se","dorm1","curitiba"
"56.5","-111.9","13","9.5","4.9","8.5","9.5","6.8","24.9","4.9","-1.7","2.3","5.4","28.6","11.1","0","41.1","58.9","04","linear","tm","5","middle","se","dorm2","curitiba"
"45.2","-88.8","14.8","9.8","4.9","7.2","8.6","5.1","23.5","2.3","-1.3","2.5","4.4","28.9","11","5.3","28.8","65.9","04","linear","tm","5","middle","se","liv","curitiba"
"44.1","-83.8","8.9","8","4.6","5.9","-1.3","5.7","13","1.9","-1.8","2.1","4.1","28.1","11.1","0","42.5","57.5","04","linear","tm","5","middle","sw","dorm1","curitiba"
"56.5","-111.6","13","9.5","4.9","6.9","9.5","8.5","25","4.9","-1.6","2.2","5.4","28.6","11.1","0","41.1","58.9","04","linear","tm","5","middle","sw","dorm2","curitiba"
"45.2","-88.4","14.7","9.8","4.9","5","8.4","7.1","23.1","2.3","-1.3","2.5","4.4","28.8","11","5.2","29","65.9","04","linear","tm","5","middle","sw","liv","curitiba"
