"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",11.9242752520741,0.899297091019662,9.54488343618953,0.0290699892250992,0.000351699478590772,0.0131463188223743
2,5,"extratrees",15.6287437063205,0.860277825992406,12.2488647186805,0.156450989957111,0.00814721642565847,0.119458326108175
36,5,"variance",3.51570647280826,0.978497048348245,2.17742820458467,0.00927088988526416,0.00014078114269717,0.00955906942803966
36,5,"extratrees",3.78179626406939,0.9755424387506,2.36401172195972,0.0173455065863639,0.000202771642528352,0.0111034065323718
