"sigma","C","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.014828409462959,0.25,21.5280295994938,0.358604307445769,16.0306546547474,1.45475680736412,0.00636467168476878,1.27015492651195
0.014828409462959,0.5,20.1866899758593,0.395776677460142,15.3179266156483,1.40846984232407,0.00300665472572868,1.37002077638049
0.014828409462959,1,19.1842585259836,0.41914193297868,14.8566301770411,1.58100654610346,0.0128030140418048,1.52427871783153
0.014828409462959,2,18.4884481053252,0.435185132172226,14.5915607402823,1.72801387035353,0.0302268523691433,1.57928133623044
0.014828409462959,4,18.2652807487165,0.443455312526016,14.592253578661,1.74109938646661,0.0429137262999716,1.68071505287634
0.014828409462959,8,18.3961926380642,0.442248269387727,14.6580513702394,2.06200184998769,0.0539847685630043,1.87708932609992
0.014828409462959,16,18.4236574793734,0.441231009030751,14.670569574792,2.062438818051,0.053772331488906,1.86842472642203
0.014828409462959,32,18.4236574793734,0.441231009030751,14.670569574792,2.062438818051,0.053772331488906,1.86842472642203
0.014828409462959,64,18.4236574793734,0.441231009030751,14.670569574792,2.062438818051,0.053772331488906,1.86842472642203
0.014828409462959,128,18.4236574793734,0.441231009030751,14.670569574792,2.062438818051,0.053772331488906,1.86842472642203
