"mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,20.0537617484634,0.599232789111779,15.7146433728857,1.13905186068012,0.0473051617004013,1.23757034938467
5,16.3629990588316,0.698329699140505,13.2381373236423,0.92908882124743,0.0610138676240845,1.11604795746505
9,14.2269202078391,0.718943016850873,11.6677630071386,0.0712936365706037,0.0753301731675678,0.199544026194468
13,13.0804322396061,0.739416288676155,10.7473761557704,0.392137552536612,0.0748876610713017,0.346990752035239
17,12.403609949173,0.754934114976006,10.1170365701674,0.586896086360753,0.0708429970280615,0.544225846920973
20,12.2205592015363,0.756992996117543,9.9633057099059,0.739115084055807,0.0700745555900522,0.714749976917237
24,11.8750920580358,0.766878040039896,9.65365069555953,0.723528469737346,0.0639912388645678,0.673368507794677
28,11.6722208486514,0.773336687499108,9.42186838083133,0.644120239277915,0.056871317060472,0.551245040928313
32,11.5577024850535,0.775871985525255,9.32032353397398,0.67746581497727,0.0559758770503394,0.561173720826405
36,11.3197178336277,0.784698855776537,9.06649689190067,0.571920222491258,0.049127657641162,0.451125244351711
