"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.4","-82","11.9","8","4.9","12.5","9.9","9.7","12.7","24.2","-0.4","2.1","4.5","27.2","11.6","0","43.2","56.8","04","linear","ref","1","corner","ne","dorm1","curitiba"
"58","-91.8","12.1","9.1","9.6","10.9","10.1","12.7","31.1","10.1","-0.3","2.5","4.7","26.4","12.7","0","38.8","61.2","04","linear","ref","1","corner","ne","dorm2","curitiba"
"41.6","-115.1","15.3","7.4","10.3","8.3","9.1","9.4","32.5","4.6","-0.1","3.2","8.1","26.2","12.2","0.1","24.9","75","04","linear","ref","1","corner","ne","liv","curitiba"
"54.4","-105.7","12.4","7.8","5","9.9","9.9","10","13.1","21.7","-0.3","2.2","5.8","27.3","11.4","0","42.8","57.2","04","linear","ref","1","corner","nw","dorm1","curitiba"
"58","-117.8","12.2","9.5","10.1","13.8","10.3","11.2","32.6","12.8","-0.2","2.6","6.2","26.4","12.1","0","38.3","61.7","04","linear","ref","1","corner","nw","dorm2","curitiba"
"41.3","-95.6","12.8","6.6","9.1","8.4","7.9","6.6","28.7","3.4","-0.4","2.7","5.8","26.1","11.3","0.1","24.3","75.6","04","linear","ref","1","corner","nw","liv","curitiba"
"54.5","-67.8","8.3","5.4","2.8","13.3","9.4","6.3","8.5","23.1","-1.2","1.6","3.8","27.3","11","0","47.4","52.6","04","linear","ref","1","corner","se","dorm1","curitiba"
"58.1","-74","8.9","5.1","2.9","7","7.1","8.6","21.6","4.1","-1.2","1.8","4.1","26.1","11.8","0","44.5","55.5","04","linear","ref","1","corner","se","dorm2","curitiba"
"42","-101.4","12.1","5.9","6.2","7.8","8.5","7.7","25.7","4.5","-0.1","2.5","7.8","26.2","12.1","0.1","32.9","67","04","linear","ref","1","corner","se","liv","curitiba"
"54.5","-92.3","8.8","5.3","2.9","6.5","9.4","10.8","8.9","20.7","-1.1","1.7","5.3","27.4","11.1","0","46.8","53.2","04","linear","ref","1","corner","sw","dorm1","curitiba"
"58.1","-100.4","9.1","5.5","3.1","9.7","7.7","7.2","22.9","4.7","-1.1","1.9","5.6","25.9","12","0","43.5","56.5","04","linear","ref","1","corner","sw","dorm2","curitiba"
"41.7","-80.7","9.7","5.2","5.1","6.6","7.3","6","21.8","3.2","-0.4","2.1","5.4","26.1","11.5","0.1","31.7","68.2","04","linear","ref","1","corner","sw","liv","curitiba"
"44.4","-90.9","8.5","5.6","0.2","7.2","11.8","7.5","18.1","8.6","-0.5","1.5","4.6","25.9","12.6","0","39.6","60.4","04","linear","ref","1","middle","ne","dorm1","curitiba"
"57","-119.6","9.4","9.6","10.8","9.9","14.3","8.5","29.3","14.3","-0.5","2.5","6.1","26.5","12.6","0","38.4","61.6","04","linear","ref","1","middle","ne","dorm2","curitiba"
"45.2","-95.2","10","8.4","8.8","8.1","8.9","5.6","25.3","6","-0.3","2.6","5","26.2","12.6","0.1","20.7","79.2","04","linear","ref","1","middle","ne","liv","curitiba"
"44.4","-90.6","8.4","5.6","0.2","7.5","11.8","7.2","18","8.6","-0.5","1.5","4.6","25.9","12.6","0","39.6","60.4","04","linear","ref","1","middle","nw","dorm1","curitiba"
"57","-119.2","9.3","9.6","10.8","8.5","14.3","9.9","29.2","14.3","-0.5","2.5","6.1","26.5","12.6","0","38.3","61.7","04","linear","ref","1","middle","nw","dorm2","curitiba"
"45.2","-94.7","10","8.3","8.7","5.5","8.9","8","25.1","6","-0.3","2.6","4.9","26.2","12.6","0.1","20.8","79.1","04","linear","ref","1","middle","nw","liv","curitiba"
"44.6","-66.4","5.2","2.3","4.7","3.9","-4.2","3.6","5.1","3","-1.2","1.2","3.9","25","11.6","0","49","51","04","linear","ref","1","middle","se","dorm1","curitiba"
"57.2","-89.2","5.3","5","5.2","5.7","6","4.3","16.1","5.2","-1","1.5","5.2","25.3","11.6","0","47.3","52.7","04","linear","ref","1","middle","se","dorm2","curitiba"
"46.3","-70","6.2","4.7","3.9","4.7","5.3","3.2","15","2.2","-0.7","1.5","4.2","25.3","11.7","0","34.6","65.4","04","linear","ref","1","middle","se","liv","curitiba"
"44.6","-66.8","5.2","2.3","4.7","3.6","-4.1","3.9","5.1","2.9","-1.2","1.2","3.9","25","11.6","0","48.9","51.1","04","linear","ref","1","middle","sw","dorm1","curitiba"
"57.2","-89.1","5.4","5","5.2","4.4","6","5.7","16.1","5.2","-1","1.5","5.2","25.3","11.6","0","47.3","52.7","04","linear","ref","1","middle","sw","dorm2","curitiba"
