"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","storey","corner","orient","weather"
"430.4","-822.9","251.8","108.6","75.3","178","149.1","151","192.8","360.6","11.5","30.1","7.6","29.2","8.3","0","37.6","62.4","01","Linear","C10","4","Intermediário","Canto","NE","Curitiba"
"428.2","-858","249.1","111","122.3","158.7","140.4","177.8","420.3","140.4","12.6","32.5","8.1","28.4","9.6","0","30.7","69.3","01","Linear","C10","4","Intermediário","Canto","NE","Curitiba"
"848.6","-3131.8","544","245.2","267.5","283.7","316.8","311.6","1017.2","162.5","17.9","131","15.2","27.5","9.4","1.8","17","81.2","01","Linear","C10","4","Intermediário","Canto","NE","Curitiba"
"429","-1076","262.8","114.3","79.5","156.1","142.7","236.3","201.1","413.6","10.2","32.2","9.2","30.5","8.2","0.1","34.9","64.9","01","Linear","C10","4","Intermediário","Canto","NW","Curitiba"
"427.3","-1069.7","247.1","110.6","128.8","171.8","134.7","156.8","430.8","161.2","11","33.6","9.9","28.5","9.3","0","29.4","70.6","01","Linear","C10","4","Intermediário","Canto","NW","Curitiba"
"837","-2943","539.6","244.7","270.5","285.8","293.7","291.5","972.8","168.7","13.7","125","10.6","28.7","9.4","3.1","14.4","82.5","01","Linear","C10","4","Intermediário","Canto","NW","Curitiba"
"431.5","-687.3","167.9","77.6","55.4","176.2","108.9","97.2","130.4","307.2","-1.5","23.5","6.4","29.2","7.9","0","43.9","56.1","01","Linear","C10","4","Intermediário","Canto","SE","Curitiba"
"429.6","-692","143.7","65.4","51.9","98.2","94.6","121.6","292.2","74.1","-0.4","23.9","6.8","28.3","8.6","0","40.9","59.1","01","Linear","C10","4","Intermediário","Canto","SE","Curitiba"
"857.7","-2666.6","471.7","210.7","212.4","247.9","343.8","219.6","878.4","145.3","13.6","108.5","13.4","28","9","1.1","22.7","76.2","01","Linear","C10","4","Intermediário","Canto","SE","Curitiba"
"430.2","-965.3","185.8","86.1","54.8","105","132.8","244","143.4","393.2","-1.8","27.1","9","30.8","7.9","0.1","40.6","59.3","01","Linear","C10","4","Intermediário","Canto","SW","Curitiba"
"428.9","-913.5","148.2","67.8","50.6","127.2","106.4","103.2","319.9","67.5","-1.2","26.6","9.5","28.5","8.7","0","39.4","60.6","01","Linear","C10","4","Intermediário","Canto","SW","Curitiba"
"847.8","-2498.4","484.5","219.6","204.3","204.5","351.9","278.2","863.7","175.2","13.5","108.1","9.9","28.8","9","2.1","19.2","78.7","01","Linear","C10","4","Intermediário","Canto","SW","Curitiba"
"434.4","-1054","158.2","62.7","-38.5","112.6","177.4","31.3","153.9","128.9","0.9","20.9","4.9","27.8","9.5","0","29.6","70.4","01","Linear","C10","4","Intermediário","Meio","NE","Curitiba"
"425.7","-1134.5","226.4","96.2","116.1","111.1","165","91.7","318.9","165","2.6","29","6.5","29","9.7","0","23.4","76.5","01","Linear","C10","4","Intermediário","Meio","NE","Curitiba"
"815.4","-2128.2","433.1","195.5","81","156.4","252.8","155.2","476.1","169.2","6.7","85","5.3","28.2","9.8","2.5","10.6","86.9","01","Linear","C10","4","Intermediário","Meio","NE","Curitiba"
"434.3","-1052.3","157.6","62.3","-39.6","31.1","176.9","111.8","152","128.2","0.7","20.9","4.9","27.8","9.5","0","29.5","70.5","01","Linear","C10","4","Intermediário","Meio","NW","Curitiba"
"425.5","-1134.2","226.3","96.1","116.6","91.6","164.1","112.1","320.3","164.1","2.4","28.8","6.5","29","9.6","0","23.2","76.7","01","Linear","C10","4","Intermediário","Meio","NW","Curitiba"
"815.3","-2123.8","438.3","198.7","81","157.3","252.7","172.7","495.1","168.6","6.4","86","5.2","28.2","9.7","2.5","10.5","87","01","Linear","C10","4","Intermediário","Meio","NW","Curitiba"
"436.7","-778.7","95.8","30.1","67.7","60.6","-31.6","41.2","97.4","40.6","-10.1","19.6","4.1","26.8","8.6","0","40.2","59.8","01","Linear","C10","4","Intermediário","Meio","SE","Curitiba"
"428.4","-814.7","111.5","49.7","55.6","65.2","69.4","50.3","184.9","55.6","-5.7","16.9","5.4","27.5","8.6","0","37.2","62.8","01","Linear","C10","4","Intermediário","Meio","SE","Curitiba"
"838.3","-1565","285.5","112.1","104.2","125.5","91.6","93.1","358.6","55.8","-10.2","57.9","4.4","27.3","8.8","0.2","21.3","78.5","01","Linear","C10","4","Intermediário","Meio","SE","Curitiba"
"436.6","-790.6","95.3","29.4","66.4","40","-31.8","60.2","95.2","39.4","-10.4","19.8","4.1","26.8","8.6","0","40","60","01","Linear","C10","4","Intermediário","Meio","SW","Curitiba"
"428.3","-819.4","111.8","49.9","55.2","50.6","70.1","65.9","186.7","55.2","-5.8","17","5.4","27.5","8.6","0","36.9","63.1","01","Linear","C10","4","Intermediário","Meio","SW","Curitiba"
"838.1","-1576.4","289.5","115.4","104.1","93.2","90.7","146.3","379.2","55.2","-10.5","58.4","4.4","27.3","8.8","0.2","21.2","78.6","01","Linear","C10","4","Intermediário","Meio","SW","Curitiba"
"340.9","-929.9","258.6","115.4","74","221.7","154","157.2","202","404.8","11.3","32.9","9.6","35.6","17","46.2","0.1","53.7","01","Linear","C10","4","Intermediário","Canto","NE","Rio de Janeiro"
"335.3","-965.2","258.1","116.2","130.7","163.5","145.2","183.2","443.9","145.2","12.6","35.3","10.3","34","17.8","52.3","0.1","47.7","01","Linear","C10","4","Intermediário","Canto","NE","Rio de Janeiro"
"684.4","-2744.5","522.6","268.2","272","289.7","302.6","298.7","992","171","15.9","129.6","13.6","34.3","17.9","68.6","0","31.4","01","Linear","C10","4","Intermediário","Canto","NE","Rio de Janeiro"
"338.8","-1112.4","258.9","115.4","76.2","158.4","153.3","219.3","204.6","402.6","11.6","33.6","11.6","36","17.2","48.4","0.1","51.5","01","Linear","C10","4","Intermediário","Canto","NW","Rio de Janeiro"
"334.2","-1141","259.6","117.5","134.4","187.2","146.2","164.5","451.7","180.5","12.7","36.2","12.4","33.9","18","53.5","0","46.5","01","Linear","C10","4","Intermediário","Canto","NW","Rio de Janeiro"
"677.7","-2504.5","503.8","256.6","253.2","281.2","286.5","272.2","934.5","158.7","11.1","121.8","10.3","34.2","17.4","70.6","0","29.4","01","Linear","C10","4","Intermediário","Canto","NW","Rio de Janeiro"
"345.4","-893.9","164.7","84.2","53.4","227.9","126.9","99.7","136.5","371.4","-2.8","26.4","17.2","36.2","17.2","39.6","0.2","60.2","01","Linear","C10","4","Intermediário","Canto","SE","Rio de Janeiro"
"341.8","-769.5","136.1","68.1","47.3","97.2","101","126","303.4","68","-2.4","26","17.1","35","17.7","43","0","57","01","Linear","C10","4","Intermediário","Canto","SE","Rio de Janeiro"
"704.1","-2107","447.4","227.1","191","258.4","340","202.5","831.8","160","11.4","105.4","12.5","34.7","17.5","58.3","0","41.7","01","Linear","C10","4","Intermediário","Canto","SE","Rio de Janeiro"
"344","-997.7","168.4","86","56.4","103.3","135.6","239.5","141.8","393","-1.6","27.7","18.5","36.4","16.8","41.1","0.2","58.7","01","Linear","C10","4","Intermediário","Canto","SW","Rio de Janeiro"
"341.5","-823.3","138.1","70","49.7","130.1","104.9","99.3","312.9","71","-1.6","26.9","18.7","34.7","17.4","43.3","0.1","56.6","01","Linear","C10","4","Intermediário","Canto","SW","Rio de Janeiro"
"702.2","-2055.8","453.9","231.2","191.9","204.4","352.1","261.2","846.2","163.4","11.6","105.8","11.5","34.6","16.8","59.6","0","40.4","01","Linear","C10","4","Intermediário","Canto","SW","Rio de Janeiro"
"335.5","-941.5","144","66.1","-39","110.2","178.4","34.2","152.3","131.5","-0.6","20.9","5","33","18.4","51.2","0","48.8","01","Linear","C10","4","Intermediário","Meio","NE","Rio de Janeiro"
"324.1","-1053.4","233.1","98.5","115","112.6","171","91.2","318.8","171","1.8","29.7","6.6","34.1","18.7","58.4","0","41.6","01","Linear","C10","4","Intermediário","Meio","NE","Rio de Janeiro"
"649.6","-1947.3","418.9","210.3","89.3","167.4","259.1","157.9","496.9","176.9","5.1","87.3","5.4","33.3","18.5","77.8","0","22.2","01","Linear","C10","4","Intermediário","Meio","NE","Rio de Janeiro"
"335.4","-939.8","143.8","66","-39.3","34","178.2","110.4","151.9","131.3","-0.7","20.9","5","33","18.4","51.2","0","48.8","01","Linear","C10","4","Intermediário","Meio","NW","Rio de Janeiro"
"323.9","-1051.4","233","98.4","115","90.7","170.8","113.2","318.9","170.8","1.7","29.7","6.6","34.1","18.7","58.5","0","41.5","01","Linear","C10","4","Intermediário","Meio","NW","Rio de Janeiro"
"649.6","-1941.3","420","211.2","89.3","157.8","259.5","173.7","503.2","177.1","5.2","87.5","5.3","33.2","18.5","77.8","0","22.2","01","Linear","C10","4","Intermediário","Meio","NW","Rio de Janeiro"
"345.8","-623.1","71.7","24.8","45.4","49.3","-43.2","32.9","61","23.4","-14.3","15.8","4.3","33.7","17.8","40.5","0","59.4","01","Linear","C10","4","Intermediário","Meio","SE","Rio de Janeiro"
"336.1","-656.4","92.1","43.9","36.5","56.5","58.7","40.7","155.9","36.5","-9.4","14.7","5.5","34.5","18.1","44.9","0","55.1","01","Linear","C10","4","Intermediário","Meio","SE","Rio de Janeiro"
"676.9","-1291.4","243.4","110","78.7","123","80.2","80","325.1","36.8","-17.8","50.6","4.5","34","18","58.1","0","41.9","01","Linear","C10","4","Intermediário","Meio","SE","Rio de Janeiro"
"345.7","-625.7","71.5","24.6","45.1","32.6","-43.5","49.1","60.1","23.1","-14.4","15.7","4.3","33.7","17.8","40.6","0","59.3","01","Linear","C10","4","Intermediário","Meio","SW","Rio de Janeiro"
"336","-656.7","92","43.9","36.5","40.7","58.7","56.6","156","36.5","-9.4","14.7","5.5","34.5","18.1","44.9","0","55.1","01","Linear","C10","4","Intermediário","Meio","SW","Rio de Janeiro"
"677","-1292.1","243.2","109.8","78.6","79.8","79.9","124.6","326.2","36.7","-17.7","50.6","4.5","34","18","58","0","42","01","Linear","C10","4","Intermediário","Meio","SW","Rio de Janeiro"
"399.6","-775.7","242","106.3","69","189.1","136.1","146.2","187","353.3","7","29.5","9.6","32.8","11.6","6.7","13.7","79.6","01","Linear","C10","4","Intermediário","Canto","NE","São Paulo"
"396.2","-780.6","241.5","108.3","120.2","153.3","129","168.2","411","129","8.4","32.1","9.8","31.9","12.2","8.3","9.2","82.5","01","Linear","C10","4","Intermediário","Canto","NE","São Paulo"
"781.1","-3021.7","541.9","252.4","271.8","285","305.5","304.7","1010","157","12.7","130.1","15","31.6","11.7","26.9","4.5","68.6","01","Linear","C10","4","Intermediário","Canto","NE","São Paulo"
"398.2","-1160.8","245.5","106.7","73.4","150.1","134.9","197.9","194.2","362","7","31.4","11.7","33.2","11.4","8.2","11.8","80","01","Linear","C10","4","Intermediário","Canto","NW","São Paulo"
"395.2","-1191.3","244.4","110.8","128.9","175.2","128.8","155.4","430.5","157.7","7.9","34","12.3","31.9","12.1","8.6","7.5","83.9","01","Linear","C10","4","Intermediário","Canto","NW","São Paulo"
"772","-2375.1","485.9","221.8","216.9","257.1","262","247.9","847.9","135.8","3.2","110.4","8.9","31.7","12.3","29.8","3.6","66.5","01","Linear","C10","4","Intermediário","Canto","NW","São Paulo"
"403","-922.1","175.1","84.7","58.6","207.6","123.1","105.3","143","351.5","-2.4","26.5","13.5","31.9","10.6","5.9","20.3","73.8","01","Linear","C10","4","Intermediário","Canto","SE","São Paulo"
"400.6","-882.6","150.2","70.6","54.5","105.9","106.8","133.1","324.5","75.8","-1.3","27.1","13.7","31","11.2","6.6","17.6","75.8","01","Linear","C10","4","Intermediário","Canto","SE","São Paulo"
"794.8","-2185.3","467.5","216","198.1","248.3","343.5","211.4","852","149.3","9.8","106","11.4","30.9","11.7","22","6.7","71.3","01","Linear","C10","4","Intermediário","Canto","SE","São Paulo"
"402.2","-1053.7","184.2","87.8","63.1","111.3","137","229.6","151.7","389.3","-0.7","28.6","15.7","32.4","10.5","6.9","20","73.1","01","Linear","C10","4","Intermediário","Canto","SW","São Paulo"
"400.6","-977.4","154.7","73.6","57.9","139.7","113.4","110.6","341.9","79.6","-0.2","28.5","16.4","30.9","11","6.9","18.4","74.7","01","Linear","C10","4","Intermediário","Canto","SW","São Paulo"
"795","-2186.7","483","226.6","203.8","218.5","377.2","262","899","162.4","12.1","109.3","11.3","31","11.6","22.8","7","70.2","01","Linear","C10","4","Intermediário","Canto","SW","São Paulo"
"400.4","-965.7","145.1","58.4","-50.6","107.5","163.4","24.8","127.7","117.4","-3.1","19.9","4.9","31.2","12.4","5.8","8.1","86.1","01","Linear","C10","4","Intermediário","Meio","NE","São Paulo"
"390.2","-1059.2","219.7","93.2","110.4","107.9","151.6","86.9","305.2","151.6","-1.3","28","6.5","32.1","12.6","10","5.9","84.1","01","Linear","C10","4","Intermediário","Meio","NE","São Paulo"
