"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","storey","corner","orient","weather"
"429.3","-865.6","256.4","158.4","82","167.6","140.9","165.3","214.2","341.6","9.8","34.3","8.5","30.7","7.7","0.1","38.6","61.3","00","Linear","C10","5","Cobertura","Canto","NE","Curitiba"
"426.5","-910.8","257.8","155.3","143.7","175","133.4","201.5","480.9","133.4","11","37.4","8.9","29.8","8.9","0.2","32.7","67.1","00","Linear","C10","5","Cobertura","Canto","NE","Curitiba"
"839.8","-3570.5","642","443","356.3","322.8","355.6","375.8","1236.8","173.7","19.8","159.4","16.9","30","8.6","7.9","15.2","76.8","00","Linear","C10","5","Cobertura","Canto","NE","Curitiba"
"427.9","-1131.4","267.1","155.9","84.7","169.1","134.1","224.3","220.9","391.3","8.4","36.1","10","31.9","7.6","0.5","36.6","62.9","00","Linear","C10","5","Cobertura","Canto","NW","Curitiba"
"425.7","-1141.9","254.3","149.9","149.1","193.1","127","171.2","487.3","153.1","9.2","38","10.7","30","8.6","0.2","31.5","68.2","00","Linear","C10","5","Cobertura","Canto","NW","Curitiba"
"827","-3302.3","628.1","414.3","351.8","344.4","327.4","327.4","1170.4","180.5","15.7","149.9","11.7","30.6","8.7","10.7","13","76.3","00","Linear","C10","5","Cobertura","Canto","NW","Curitiba"
"430.1","-757","185.7","146.8","50.1","162.9","130.6","118","159.2","302.3","-3.6","28.7","7.1","31","7.4","0.2","42.9","57","00","Linear","C10","5","Cobertura","Canto","SE","Curitiba"
"427.7","-774.7","164.8","136.8","47.4","121.1","119.3","151.4","366.4","72.9","-2.4","29.9","7.4","30.5","8.4","0.2","39.2","60.6","00","Linear","C10","5","Cobertura","Canto","SE","Curitiba"
"846.1","-3166.3","561","429.9","258.7","286.4","414.6","292.3","1103.7","148.3","11.1","139.2","15.1","30.4","8.3","6.8","19.5","73.7","00","Linear","C10","5","Cobertura","Canto","SE","Curitiba"
"428.9","-1058.6","204.8","150.2","50.1","125.1","148.7","230.4","171.5","382.8","-3.8","32.1","9.8","32.3","7.4","0.4","40.5","59.1","00","Linear","C10","5","Cobertura","Canto","SW","Curitiba"
"427","-1027.5","169.3","136.7","46.4","154.8","130.5","125.2","391.9","65.1","-3","32.4","10.3","30.5","8.3","0.2","38","61.8","00","Linear","C10","5","Cobertura","Canto","SW","Curitiba"
"835.9","-2907.9","565.5","413.2","244.6","271.8","418.4","310.8","1069.9","175.7","10.2","135.4","11.1","30.9","8.4","9.2","16","74.8","00","Linear","C10","5","Cobertura","Canto","SW","Curitiba"
"431.4","-1154.4","169.5","130","-23.8","121.1","165.7","59.5","209.5","113","-2.4","24","5.1","29.2","8.8","0.1","29.8","70.1","00","Linear","C10","5","Cobertura","Meio","NE","Curitiba"
"423.1","-1214.4","221.4","123.4","130.6","122.6","146.1","102.7","356","146.1","-0.6","31.4","6.7","30.2","8.9","0.3","25.6","74.1","00","Linear","C10","5","Cobertura","Meio","NE","Curitiba"
"801.6","-2325.1","467.2","293.8","131.8","184.9","242.4","175.3","582.6","151.8","0.8","100.9","5.4","29.7","9","11.1","10","78.9","00","Linear","C10","5","Cobertura","Meio","NE","Curitiba"
"431.3","-1151.2","168.7","129.2","-24.9","59.2","165.2","120","207.1","112.4","-2.6","24","5","29.2","8.8","0.1","29.7","70.2","00","Linear","C10","5","Cobertura","Meio","NW","Curitiba"
"422.9","-1212.4","221.3","122.9","130.9","102.6","145.2","123.4","356.9","145.2","-0.8","31.2","6.7","30.2","8.9","0.3","25.5","74.2","00","Linear","C10","5","Cobertura","Meio","NW","Curitiba"
"801.4","-2316.8","471.5","294.8","131.3","177.1","242.4","201.2","600.6","151.4","0.6","101.7","5.4","29.8","8.9","11.1","10","78.9","00","Linear","C10","5","Cobertura","Meio","NW","Curitiba"
"433.4","-917.3","105.8","126.3","61.1","76.5","-28.7","66.3","149.3","25.9","-14.3","28.7","4.4","29.4","8.3","0","37","62.9","00","Linear","C10","5","Cobertura","Meio","SE","Curitiba"
"425.3","-948.2","120.7","111.9","39.6","83.2","91.8","66.3","241.3","39.6","-9.5","21.5","5.8","30.1","8.3","0.1","34.9","64.9","00","Linear","C10","5","Cobertura","Meio","SE","Curitiba"
"820.5","-1852","321.6","277.2","102.9","156.6","140.5","122.5","481.4","41.1","-17.6","78.7","4.7","30.1","8.5","7.2","17.8","75.1","00","Linear","C10","5","Cobertura","Meio","SE","Curitiba"
"433.4","-929.8","105.5","125.4","59.9","65.2","-28.5","76","147.7","25","-14.6","29","4.4","29.4","8.3","0","36.8","63.1","00","Linear","C10","5","Cobertura","Meio","SW","Curitiba"
"425.3","-951.8","121","111.8","39.4","66.6","92.3","83.9","242.8","39.4","-9.6","21.6","5.8","30.1","8.3","0.1","34.8","65.1","00","Linear","C10","5","Cobertura","Meio","SW","Curitiba"
"820.3","-1861","325.6","278.3","103.2","122.3","139.3","176.4","500.3","40.9","-17.6","79","4.7","30.1","8.5","7.4","17.7","75","00","Linear","C10","5","Cobertura","Meio","SW","Curitiba"
"340.7","-969.3","258.6","160.8","80.9","214.5","149.4","171.8","223.7","392.9","10.5","37.2","10.4","37.2","16.6","45.6","0.3","54.1","00","Linear","C10","5","Cobertura","Canto","NE","Rio de Janeiro"
"334.3","-1020.6","263.2","157.9","152.1","179.9","141.6","207.5","504.4","141.6","11.8","40.3","11","35.9","17.3","52.6","0.1","47.3","00","Linear","C10","5","Cobertura","Canto","NE","Rio de Janeiro"
"675.9","-3165.2","615.4","437.1","356","332.8","344.6","362.4","1207.1","188.6","20.5","158.3","14.9","36.2","17.4","72.8","0","27.2","00","Linear","C10","5","Cobertura","Canto","NE","Rio de Janeiro"
"338.9","-1188.8","260.5","160.3","83.6","173.5","149.5","213.3","227.2","392.7","10.9","38.2","12.6","37.3","16.8","47.4","0.1","52.4","00","Linear","C10","5","Cobertura","Canto","NW","Rio de Janeiro"
"333.1","-1240.7","264.9","159.2","156.7","212.6","142.9","181.1","514.2","179","12","41.4","13.5","35.7","17.6","53.9","0.1","46","00","Linear","C10","5","Cobertura","Canto","NW","Rio de Janeiro"
"667.9","-2826.1","587.7","412.5","331.1","339.3","323","309.4","1130.2","172.6","14.3","147.6","11.2","36.2","17","74.4","0","25.6","00","Linear","C10","5","Cobertura","Canto","NW","Rio de Janeiro"
"344","-1053.1","188.2","161.1","55.7","228","156.7","126.4","173","393.7","-2.9","33.3","18.9","37.7","16.8","40.9","0.3","58.8","00","Linear","C10","5","Cobertura","Canto","SE","Rio de Janeiro"
"339.2","-938.1","162","146.8","50.4","125.8","130.8","162.7","393.7","76","-2.2","33.7","19.4","36.7","17.3","45.4","0.1","54.5","00","Linear","C10","5","Cobertura","Canto","SE","Rio de Janeiro"
"695.8","-2522.4","538.4","433.3","241.2","303.2","419.1","279.1","1071.4","171.3","11.7","138.2","13.8","36.5","17.1","63.6","0","36.4","00","Linear","C10","5","Cobertura","Canto","SE","Rio de Janeiro"
"342.8","-1170.3","192.9","163.5","59.2","130.7","164.8","241.6","179.3","416.9","-1.6","34.9","20.7","37.9","16.5","42","0.3","57.6","00","Linear","C10","5","Cobertura","Canto","SW","Rio de Janeiro"
"339","-1009.3","164.8","149.8","53","167.7","135.5","128.5","405.4","79.3","-1.4","34.8","21.5","36.5","17","45.5","0.1","54.4","00","Linear","C10","5","Cobertura","Canto","SW","Rio de Janeiro"
"694.1","-2446.3","544","436.7","241.5","280.3","433","305.8","1085.8","174.8","11.6","139","12.8","36.5","16.5","65.3","0","34.7","00","Linear","C10","5","Cobertura","Canto","SW","Rio de Janeiro"
"331.6","-1041.4","154.6","129.5","-23.7","119.2","171.6","61.1","208.1","120.1","-3.2","24.3","5.2","35.1","17.9","53.4","0","46.5","00","Linear","C10","5","Cobertura","Meio","NE","Rio de Janeiro"
"321.4","-1128.6","222.5","124.6","129.9","124.3","156.9","102.7","356.9","156.9","-0.7","32.3","6.9","35.5","18.2","58.7","0","41.3","00","Linear","C10","5","Cobertura","Meio","NE","Rio de Janeiro"
"634.8","-2138.3","449.8","298.5","138.2","196.3","254.5","178.9","603.2","164.7","0.7","103.2","5.6","35.5","18","80.4","0","19.6","00","Linear","C10","5","Cobertura","Meio","NE","Rio de Janeiro"
"331.5","-1038.7","154.2","129.2","-24.2","60.7","171.2","119.3","207.2","119.8","-3.2","24.2","5.2","35.1","17.9","53.5","0","46.5","00","Linear","C10","5","Cobertura","Meio","NW","Rio de Janeiro"
"321.2","-1125.7","222.3","124.3","129.8","102.2","156.5","124.8","356.9","156.5","-0.8","32.2","6.8","35.5","18.2","58.9","0","41.1","00","Linear","C10","5","Cobertura","Meio","NW","Rio de Janeiro"
"634.8","-2129.5","450.5","298.8","137.8","178.5","254.7","203.6","609.8","164.8","0.8","103.3","5.5","35.5","17.9","80.4","0","19.6","00","Linear","C10","5","Cobertura","Meio","NW","Rio de Janeiro"
"339.9","-776.6","83.4","121.4","45.3","67","-35.8","58.8","121","14.3","-17.3","25.7","4.7","35.7","17.5","45.7","0.1","54.2","00","Linear","C10","5","Cobertura","Meio","SE","Rio de Janeiro"
"330.8","-800","102.4","108.6","27","76.2","82.9","58.3","217.5","27","-12","19.9","6","36.3","17.7","48.5","0.1","51.5","00","Linear","C10","5","Cobertura","Meio","SE","Rio de Janeiro"
"658.5","-1604.7","281.7","269.6","84.9","155.3","131.4","112.7","455.9","28.4","-22.7","72.6","5","36.2","17.6","66.5","0","33.5","00","Linear","C10","5","Cobertura","Meio","SE","Rio de Janeiro"
"339.9","-780","83.3","121.2","45","58.6","-36","66.9","120.4","14.1","-17.3","25.7","4.7","35.7","17.5","45.7","0.1","54.2","00","Linear","C10","5","Cobertura","Meio","SW","Rio de Janeiro"
"330.8","-800.3","102.4","108.6","27","58.4","82.9","76.3","217.5","27","-12","19.9","6","36.3","17.7","48.5","0.1","51.4","00","Linear","C10","5","Cobertura","Meio","SW","Rio de Janeiro"
