"seed","storey","area","ratio","height","azimuth","shell_wall","abs_wall","shell_roof","abs_roof","wwr_liv","wwr_dorm","u_window","shgc","open_factor","blind","balcony","facade","mirror","epw","targ"
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,68.9992389649924
3,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,61.2819634703196
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,63.8036529680365
1,1,146.8203125,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,69.8732876712329
1,1,101.9296875,1.3124609375,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,69.9471080669711
1,1,101.9296875,1.5257421875,3.086328125,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,69.6693302891933
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.799203125,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,67.748097412481
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,1,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,70.1145357686454
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,67.8926940639269
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.280015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,69.1042617960426
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.278796875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,66.958904109589
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.6344296875,0.46644140625,0.4646484375,0,1.4140625,1,1,299,68.9984779299848
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.60771484375,0.4646484375,0,1.4140625,1,1,299,67.8280060882801
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.8069140625,0,1.4140625,1,1,299,73.644596651446
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,1,1.4140625,1,1,299,70.3907914764079
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.9503125,1,1,299,69.1723744292237
