"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","storey","corner","orient","weather"
"428.8","-880.4","271.1","159","82.7","166.8","140.4","167.8","217.6","340.1","9.6","34.9","8.6","30.8","7.6","0.2","38.4","61.4","01","Linear","C10","5","Cobertura","Canto","NE","Curitiba"
"425.9","-928.7","275.7","156.4","146.7","177.8","133.1","204.6","490","133.1","10.9","38.2","9","30.2","8.7","0.3","32.6","67.1","01","Linear","C10","5","Cobertura","Canto","NE","Curitiba"
"838.6","-3634.4","672.6","446.1","365.6","326.9","360.5","385.3","1265","173.2","19.4","163.1","16.9","30.4","8.4","9.1","15.3","75.6","01","Linear","C10","5","Cobertura","Canto","NE","Curitiba"
"427.5","-1148.8","279.5","156.3","85.3","171.4","133.7","223.4","224.2","389.6","8.2","36.7","10.1","32.1","7.5","0.6","36.4","63","01","Linear","C10","5","Cobertura","Canto","NW","Curitiba"
"425","-1164.4","271.5","151","152.2","196.3","126.7","173.9","496.3","152.7","9.1","38.8","10.8","30.3","8.5","0.4","31.4","68.2","01","Linear","C10","5","Cobertura","Canto","NW","Curitiba"
"825.7","-3354.9","658.1","416.7","359.9","353.1","331.5","330.7","1195.6","179.6","15.2","153.3","11.8","30.9","8.5","12.3","13","74.7","01","Linear","C10","5","Cobertura","Canto","NW","Curitiba"
"429.6","-770.1","195.8","146.6","49.3","161.4","130.7","120","162.2","299.2","-3.9","29.2","7.1","31.2","7.3","0.2","42.5","57.3","01","Linear","C10","5","Cobertura","Canto","SE","Curitiba"
"427.1","-791.8","179.9","137.5","46.9","123.7","122.4","154.5","375.4","72.1","-2.6","30.7","7.4","30.8","8.3","0.3","38.8","60.9","01","Linear","C10","5","Cobertura","Canto","SE","Curitiba"
"844.9","-3239.2","607","433.9","263.8","290.5","422.6","304.5","1133.4","148","10.7","143.3","15.2","30.8","8.1","7.9","19.4","72.7","01","Linear","C10","5","Cobertura","Canto","SE","Curitiba"
"428.5","-1073.2","211.4","150","49.4","127","149","229","174.3","380.1","-4.1","32.6","9.8","32.4","7.3","0.5","40.2","59.3","01","Linear","C10","5","Cobertura","Canto","SW","Curitiba"
"426.4","-1048.5","182.8","137.3","46","158","133.6","127.5","400.5","64.5","-3.3","33.1","10.4","30.7","8.1","0.3","37.6","62.1","01","Linear","C10","5","Cobertura","Canto","SW","Curitiba"
"834.6","-2965.6","608.1","416.8","248.8","283.3","426.3","314","1097.3","175.2","9.8","139.1","11.2","31.2","8.2","10.4","16.1","73.5","01","Linear","C10","5","Cobertura","Canto","SW","Curitiba"
"430.4","-1185.5","188.8","130.5","-20.1","124.3","165.9","65.7","224.2","111.6","-2.9","24.8","5.1","29.4","8.6","0.2","29.5","70.3","01","Linear","C10","5","Cobertura","Meio","NE","Curitiba"
"422.1","-1245.1","242.3","124.2","134.9","125.9","144.8","105.9","366.7","144.8","-1","32.4","6.8","30.4","8.8","0.6","25.5","73.9","01","Linear","C10","5","Cobertura","Meio","NE","Curitiba"
"799.6","-2386.1","500.9","295.5","142","188.6","243.2","180.6","604.3","150.1","-0.1","104.8","5.5","30","8.8","12.8","10.1","77.1","01","Linear","C10","5","Cobertura","Meio","NE","Curitiba"
"430.3","-1182.2","188","129.7","-21.3","65.4","165.4","123.2","221.7","110.9","-3.1","24.7","5.1","29.4","8.6","0.2","29.4","70.4","01","Linear","C10","5","Cobertura","Meio","NW","Curitiba"
"422","-1243.1","242.1","123.7","135.2","105.8","143.9","126.6","367.6","143.9","-1.2","32.2","6.7","30.4","8.8","0.6","25.4","74.1","01","Linear","C10","5","Cobertura","Meio","NW","Curitiba"
"799.4","-2377.9","505.4","296.5","141.4","182.3","243.2","205.1","622.3","149.7","-0.3","105.5","5.5","30","8.8","13.1","10.1","76.9","01","Linear","C10","5","Cobertura","Meio","NW","Curitiba"
"432.4","-955.3","133.4","126.5","60.8","79.5","-27.8","71.8","160.3","24","-15","30.6","4.5","29.8","8.2","0.1","36.2","63.7","01","Linear","C10","5","Cobertura","Meio","SE","Curitiba"
"424.4","-984.2","140.6","112.2","37.8","87","96.4","69.7","253.1","37.8","-10.1","22.5","5.9","30.4","8.2","0.2","34.3","65.5","01","Linear","C10","5","Cobertura","Meio","SE","Curitiba"
"818.3","-1929.4","378.5","279.7","103.8","161","150.9","128.4","504.7","39.3","-18.7","83.3","4.8","30.5","8.4","9.1","17.6","73.2","01","Linear","C10","5","Cobertura","Meio","SE","Curitiba"
"432.3","-967.6","133","125.7","59.7","70.7","-27.5","79","158.8","23.1","-15.2","30.8","4.5","29.8","8.2","0.1","36.1","63.8","01","Linear","C10","5","Cobertura","Meio","SW","Curitiba"
"424.3","-987.5","140.8","112.1","37.5","69.9","97","87.6","254.5","37.5","-10.2","22.6","5.9","30.5","8.2","0.2","34.2","65.6","01","Linear","C10","5","Cobertura","Meio","SW","Curitiba"
"818.1","-1937.8","381.7","280.7","104.1","128","149.7","180.6","523.3","39.1","-18.8","83.6","4.8","30.5","8.4","9.2","17.6","73.2","01","Linear","C10","5","Cobertura","Meio","SW","Curitiba"
"340","-985.4","276","161.3","81.6","213.9","149","174.4","227.3","391.5","10.3","37.9","10.4","37.3","16.5","46.2","0.3","53.5","01","Linear","C10","5","Cobertura","Canto","NE","Rio de Janeiro"
"333.3","-1041","283.5","159.1","155.3","183","141.4","210.9","514.2","141.4","11.7","41.1","11","36.1","17.3","53.3","0.1","46.6","01","Linear","C10","5","Cobertura","Canto","NE","Rio de Janeiro"
"674.3","-3233.1","650.1","440.7","365","337.3","349.8","371.9","1235.4","188.5","20.2","162.2","14.9","36.4","17.3","73.2","0","26.8","01","Linear","C10","5","Cobertura","Canto","NE","Rio de Janeiro"
"338.1","-1210.7","277.2","160.8","84.4","176.3","149","212.6","231","391.2","10.7","38.9","12.6","37.4","16.8","47.9","0.2","51.9","01","Linear","C10","5","Cobertura","Canto","NW","Rio de Janeiro"
"332.1","-1268.9","285.3","160.4","160.1","216.2","142.7","184.2","524.6","178.7","11.8","42.3","13.5","35.9","17.5","54.7","0.1","45.2","01","Linear","C10","5","Cobertura","Canto","NW","Rio de Janeiro"
"666.1","-2882.7","623.9","415.6","339.3","348.1","327.7","313","1156.1","171.9","13.8","151.3","11.3","36.4","16.9","74.7","0","25.3","01","Linear","C10","5","Cobertura","Canto","NW","Rio de Janeiro"
"343.2","-1071.3","197.9","161.4","55.5","227.6","157.5","128.9","176.5","393","-3","34","18.9","37.8","16.8","41.5","0.3","58.2","01","Linear","C10","5","Cobertura","Canto","SE","Rio de Janeiro"
"338.3","-963.4","177","148","50.5","128.9","134.4","166.6","404.3","76.2","-2.3","34.6","19.5","36.9","17.2","46.2","0.1","53.7","01","Linear","C10","5","Cobertura","Canto","SE","Rio de Janeiro"
"694.7","-2584.6","585.9","438.5","246.5","307.8","428.8","291.9","1103.1","171.9","11.6","142.5","13.8","36.7","17.1","64","0","36","01","Linear","C10","5","Cobertura","Canto","SE","Rio de Janeiro"
"342.1","-1190","202.4","163.9","59","133.3","165.8","241.3","183","416.4","-1.7","35.6","20.7","38","16.5","42.6","0.3","57.1","01","Linear","C10","5","Cobertura","Canto","SW","Rio de Janeiro"
"338","-1037.7","179.8","151.1","53.3","171.8","139.3","131.7","416.5","79.5","-1.5","35.7","21.6","36.7","17","46.3","0.2","53.5","01","Linear","C10","5","Cobertura","Canto","SW","Rio de Janeiro"
"693","-2504.3","592.6","441.8","246.7","292.9","443.3","310.2","1117.7","175.2","11.5","143.2","12.9","36.7","16.5","65.8","0","34.2","01","Linear","C10","5","Cobertura","Canto","SW","Rio de Janeiro"
"330","-1074.5","174.7","130.4","-20","122.8","172.5","67","223.1","119.2","-3.6","25.1","5.3","35.4","17.9","54.6","0.1","45.3","01","Linear","C10","5","Cobertura","Meio","NE","Rio de Janeiro"
"319.9","-1163.1","248.1","125.6","134.4","127.7","155.9","106.1","368.2","155.9","-1","33.3","6.9","35.8","18.2","59.7","0","40.3","01","Linear","C10","5","Cobertura","Meio","NE","Rio de Janeiro"
"632.4","-2204.4","486","301.1","148.4","200.8","256.2","184.8","626.6","163.6","0","107.5","5.6","35.9","17.9","80.6","0","19.4","01","Linear","C10","5","Cobertura","Meio","NE","Rio de Janeiro"
"329.9","-1071.9","174.3","130.1","-20.5","66.6","172.1","122.9","222.1","118.9","-3.7","25.1","5.2","35.4","17.8","54.7","0.1","45.3","01","Linear","C10","5","Cobertura","Meio","NW","Rio de Janeiro"
"319.7","-1160.2","247.9","125.3","134.3","105.6","155.5","128.3","368.2","155.5","-1.1","33.3","6.9","35.8","18.1","59.8","0","40.2","01","Linear","C10","5","Cobertura","Meio","NW","Rio de Janeiro"
"632.3","-2195.7","486.9","301.4","147.8","184.3","256.4","208.5","633.4","163.7","0","107.5","5.6","35.9","17.8","80.6","0","19.4","01","Linear","C10","5","Cobertura","Meio","NW","Rio de Janeiro"
"338","-817.5","111.2","122.5","45.9","70.6","-34.2","64.4","133.6","13.2","-17.8","27.8","4.8","36","17.4","47.4","0.1","52.5","01","Linear","C10","5","Cobertura","Meio","SE","Rio de Janeiro"
