"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"53.8","-131.3","23.5","9.4","10.1","12.9","7.8","14.7","18.7","26.9","-1.3","0","6.6","29.9","10.8","0","35.8","64.2","03","linear","sf","2","corner","ne","dorm1","curitiba"
"57.3","-152.4","25.9","11.3","13.8","18.4","8.8","17.9","47.3","8.8","-1.3","0","7.2","29.9","11.4","0","31.9","68.1","03","linear","sf","2","corner","ne","dorm2","curitiba"
"41","-115.5","22.1","9.4","11.4","10","9.9","11.6","37.8","5.1","-0.2","0","9.5","28.8","10.7","4.9","21.3","73.7","03","linear","sf","2","corner","ne","liv","curitiba"
"53.9","-130.2","23.3","9.3","10","14.6","7.7","12.4","18.4","26.2","-1.2","0","6.5","29.8","10.8","0","35.8","64.2","03","linear","sf","2","corner","nw","dorm1","curitiba"
"57.3","-152.7","26","11.3","13.9","18","8.8","18.4","47.4","11.7","-1.3","0","7.3","29.9","11.4","0","31.9","68.1","03","linear","sf","2","corner","nw","dorm2","curitiba"
"40.5","-110.1","21","8.7","10.7","10.8","9.3","9.2","35.6","4.5","-0.6","0","7.5","28.7","9.4","5.6","19.1","75.3","03","linear","sf","2","corner","nw","liv","curitiba"
"54","-109.1","16","6.8","5","9.9","8.6","10.6","13.5","20.7","-1.8","0","5.8","29.2","10.1","0","41.1","58.9","03","linear","sf","2","corner","se","dorm1","curitiba"
"57.6","-120.4","16.5","7.9","5.5","12.5","9.6","12.3","32.4","7.6","-1.7","0","6.2","28.7","10.5","0","39","61","03","linear","sf","2","corner","se","dorm2","curitiba"
"41.3","-104.2","19.2","7.5","8.4","8.4","9.6","9.7","31.9","4.3","-0.4","0","8.9","28.8","10.3","4.3","26.9","68.8","03","linear","sf","2","corner","se","liv","curitiba"
"54","-108.1","15.8","6.7","5","10.5","8.5","9.3","13.3","20","-1.8","0","5.8","29.3","10.1","0","41.2","58.8","03","linear","sf","2","corner","sw","dorm1","curitiba"
"57.6","-120.6","16.6","7.9","5.5","12.4","9.6","12.6","32.5","7.7","-1.7","0","6.2","28.7","10.5","0","39","61","03","linear","sf","2","corner","sw","dorm2","curitiba"
"40.9","-98.4","18","6.8","7.7","9","8.9","7.6","29.6","3.7","-0.9","0","6.9","29","10","4.2","24.2","71.6","03","linear","sf","2","corner","sw","liv","curitiba"
"43.9","-108.1","17.7","8","10","9.8","9.7","9.8","33","6.3","-1","0","5.1","28.3","11.6","0","33.8","66.2","03","linear","sf","2","middle","ne","dorm1","curitiba"
"56.3","-149.4","25.7","11","19.1","12.6","13.1","12.6","44.3","13.1","-1.4","0","7.1","29.9","11.3","0","32.1","67.9","03","linear","sf","2","middle","ne","dorm2","curitiba"
"43.6","-123.2","24.6","10.7","14.6","10","10.6","9.9","39.5","5.6","-1.1","0","5.8","29","11.3","10.7","12.7","76.6","03","linear","sf","2","middle","ne","liv","curitiba"
"43.9","-108.1","17.7","8","10","9.8","9.7","9.8","33","6.3","-1","0","5.1","28.3","11.6","0","33.8","66.2","03","linear","sf","2","middle","nw","dorm1","curitiba"
"56.3","-149.4","25.7","11","19.1","12.6","13.1","12.6","44.3","13.1","-1.4","0","7.1","29.9","11.3","0","32.1","67.9","03","linear","sf","2","middle","nw","dorm2","curitiba"
"43.6","-123.2","24.6","10.7","14.5","9.9","10.6","10","39.5","5.5","-1.1","0","5.8","29","11.3","10.7","12.7","76.6","03","linear","sf","2","middle","nw","liv","curitiba"
"44.1","-85.7","11.9","5.4","6","6.4","6.5","6.4","21.7","3.7","-1.3","0","4.4","27.4","10.6","0","41.4","58.6","03","linear","sf","2","middle","se","dorm1","curitiba"
"56.6","-116.6","16.1","7.6","8.1","8.5","12.9","8.5","29.9","8.1","-1.7","0","6","28.6","10.4","0","39.5","60.5","03","linear","sf","2","middle","se","dorm2","curitiba"
"44.5","-97.8","17.7","6.4","6.9","6.7","10","6.7","26.9","3.4","-1.5","0","5.1","28.9","10.4","5.9","22.1","72","03","linear","sf","2","middle","se","liv","curitiba"
"44.1","-85.7","11.9","5.4","6","6.4","6.5","6.4","21.7","3.7","-1.3","0","4.4","27.4","10.6","0","41.4","58.6","03","linear","sf","2","middle","sw","dorm1","curitiba"
"56.6","-116.6","16.1","7.6","8.1","8.5","12.9","8.5","29.9","8.1","-1.7","0","6","28.6","10.4","0","39.5","60.5","03","linear","sf","2","middle","sw","dorm2","curitiba"
"44.5","-97.8","17.7","6.4","6.9","6.7","10","6.7","26.9","3.4","-1.5","0","5.1","28.9","10.4","5.9","22.1","72","03","linear","sf","2","middle","sw","liv","curitiba"
"45.3","-130.1","25.1","9.9","11","14.4","8.7","15.7","19.8","29.9","-0.4","0","6.4","35.5","16.5","32.2","1","66.9","03","linear","sf","2","corner","ne","dorm1","rio_de_janeiro"
"47.9","-147.6","27","11.4","14.2","18.8","9.5","18.5","48.5","9.5","-0.3","0","7","35.8","17","35.5","0.5","64.1","03","linear","sf","2","corner","ne","dorm2","rio_de_janeiro"
"33.8","-108.5","21.5","9.8","11.5","10.1","10","11.6","38","5.2","-0.1","0","6.5","34.4","16.3","56.1","0","43.9","03","linear","sf","2","corner","ne","liv","rio_de_janeiro"
